city,population_2019,metro_area_name,census_reporter_file,census_reporter_link
"New York city, New York",8336817,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US36081032000,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US3651000
"Los Angeles city, California",3979576,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US06037123800,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0644000
"Chicago city, Illinois",2693976,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US17031081600,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US1714000
"Houston city, Texas",2320268,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US48201410100,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4835000
"Phoenix city, Arizona",1680992,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US04013611600,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0455000
"Philadelphia city, Pennsylvania",1584064,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US42101036202,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4260000
"San Antonio city, Texas",1547253,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US48029171925,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|2101036202
"San Diego city, California",1423851,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US06073003109,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0666000
"Dallas city, Texas",1343573,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US48113019212,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4819000
"San Jose city, California",1021795,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US06085503402,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0668000#
"Austin city, Texas",978908,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US48453001864,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4805000
"Jacksonville city, Florida",911507,"Jacksonville, FL (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US12031010301,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US1235000
"Fort Worth city, Texas",909585,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US48439110703,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4827000
"Columbus city, Ohio",898553,"Columbus, OH (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US39049009495,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US3918000#
"Charlotte city, North Carolina",885708,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US37119003006,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US3712000
"San Francisco city, California",881549,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US06075033201,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0667000
"Indianapolis city (balance), Indiana",876384,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US18097320204,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US1836003
"Seattle city, Washington",753675,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US53033003600,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US5363000
"Denver city, Colorado",727211,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US08031008391,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0820000
"Washington city, District of Columbia",705749,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US11001007503,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|06000US1100150000
"Boston city, Massachusetts",692600,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US25025000301,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US2507000
"El Paso city, Texas",681728,"El Paso, TX (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US48141000900,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4824000
"Nashville-Davidson metropolitan government (balance), Tennessee",670820,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US47037010106,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4752006
"Detroit city, Michigan",670031,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US26163513900,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US2622000
"Oklahoma City city, Oklahoma",655057,"Oklahoma City, OK (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US40109106403,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4055000
"Portland city, Oregon",654741,"Portland-South Portland, ME (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US41051002401,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4159000
"Las Vegas city, Nevada",651319,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US32003003004,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US3240000
"Memphis city, Tennessee",651073,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US47157006000,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4748000
"Louisville/Jefferson County metro government (balance), Kentucky",617638,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US21111011112,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US2148006
"Baltimore city, Maryland",593490,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US24510260800,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US2404000
"Milwaukee city, Wisconsin",590157,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US55079001300,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US5553000
"Albuquerque city, New Mexico",560513,"Albuquerque, NM (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US35001004752,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US3502000
"Tucson city, Arizona",548073,"Tucson, AZ (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US04019003002,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0477000
"Fresno city, California",531576,"Fresno, CA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US06019000600,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0627000
"Mesa city, Arizona",518012,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US04013422217,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0446000
"Sacramento city, California",513624,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US06067004701,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0664000
"Atlanta city, Georgia",506811,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US13121008500,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US1304000
"Kansas City city, Missouri",495327,"Kansas City, MO-KS (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US29095014300,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US2938000
"Colorado Springs city, Colorado",478221,"Colorado Springs, CO (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US08041005300,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0816000
"Omaha city, Nebraska",478192,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US31055006603,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US3137000
"Raleigh city, North Carolina",474069,"Raleigh-Cary, NC (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US37183052806,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US3755000#
"Miami city, Florida",467963,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US12086005704,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US1245000#
"Long Beach city, California",462628,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US06037573004,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0643000
"Virginia Beach city, Virginia",449974,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US51810045425,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US5182000
"Oakland city, California",433031,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US06001405700,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US0653000
"Minneapolis city, Minnesota",429606,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US27053011704,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US2743000
"Tulsa city, Oklahoma",401190,"Tulsa, OK (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US40131050406,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4075000
"Tampa city, Florida",399700,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US12057007103,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US1271000
"Arlington city, Texas",398854,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US48439111544,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US4804000
"New Orleans city, Louisiana",390144,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",acs2019_5yr_B03002_14000US22071000613,https://censusreporter.org/data/table/?table=B03002&geo_ids=140|16000US2255000
