GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
35001000107,"Census Tract 1.07, Bernalillo County, New Mexico",2448.0,1789.0,73.0,148.0,28.0,0.0,394.0,"Albuquerque city, New Mexico",False,-9.85,1.647,4.927,-1.923,4.763,0.0,+35.1254592,-106.4851056
35001000108,"Census Tract 1.08, Bernalillo County, New Mexico",2930.0,1688.0,60.0,349.0,40.0,0.0,748.0,"Albuquerque city, New Mexico",False,-10.692,-0.612,8.389,-2.644,4.397,-0.075,+35.1270736,-106.5067348
35001000109,"Census Tract 1.09, Bernalillo County, New Mexico",2443.0,1557.0,55.0,171.0,9.0,0.0,615.0,"Albuquerque city, New Mexico",False,-8.966,-0.136,4.69,-2.481,5.805,0.0,+35.1270871,-106.5245255
35001000110,"Census Tract 1.10, Bernalillo County, New Mexico",3884.0,2337.0,26.0,117.0,66.0,21.0,1232.0,"Albuquerque city, New Mexico",False,-10.035,-1.985,0.615,-0.641,9.659,0.541,+35.1198675,-106.5244775
35001000111,"Census Tract 1.11, Bernalillo County, New Mexico",3042.0,1894.0,81.0,3.0,114.0,0.0,837.0,"Albuquerque city, New Mexico",False,-10.733,0.521,-1.329,-0.116,8.615,0.0,+35.1198060,-106.5065439
35001000112,"Census Tract 1.12, Bernalillo County, New Mexico",2011.0,1397.0,45.0,17.0,56.0,0.0,502.0,"Albuquerque city, New Mexico",False,-9.087,0.606,-0.833,-0.385,10.278,-0.047,+35.1069429,-106.4841376
35001000113,"Census Tract 1.13, Bernalillo County, New Mexico",3463.0,2063.0,160.0,217.0,18.0,0.0,933.0,"Albuquerque city, New Mexico",False,-4.744,0.842,4.012,-1.512,0.498,-0.032,+35.1125274,-106.5067673
35001000114,"Census Tract 1.14, Bernalillo County, New Mexico",3173.0,1467.0,126.0,138.0,65.0,0.0,1329.0,"Albuquerque city, New Mexico",False,-11.984,1.834,1.008,0.303,7.749,-0.06,+35.1125918,-106.5243728
35001000115,"Census Tract 1.15, Bernalillo County, New Mexico",3329.0,1430.0,181.0,374.0,32.0,0.0,1247.0,"Albuquerque city, New Mexico",False,-19.458,1.773,7.506,-0.675,9.261,0.0,+35.1052704,-106.5242249
35001000116,"Census Tract 1.16, Bernalillo County, New Mexico",2890.0,1930.0,33.0,94.0,27.0,0.0,841.0,"Albuquerque city, New Mexico",False,-0.29,-1.581,0.755,-1.693,4.404,-0.032,+35.1050545,-106.5062014
35001000117,"Census Tract 1.17, Bernalillo County, New Mexico",2514.0,1392.0,17.0,81.0,74.0,0.0,926.0,"Albuquerque city, New Mexico",False,-14.714,-0.605,0.438,-1.077,15.491,0.0,+35.1270793,-106.5421520
35001000118,"Census Tract 1.18, Bernalillo County, New Mexico",2373.0,1290.0,71.0,110.0,68.0,0.0,834.0,"Albuquerque city, New Mexico",False,-12.571,-0.36,0.711,0.542,12.097,0.0,+35.1269225,-106.5597322
35001000119,"Census Tract 1.19, Bernalillo County, New Mexico",1809.0,1084.0,79.0,8.0,38.0,0.0,585.0,"Albuquerque city, New Mexico",False,-14.898,2.223,-0.658,-0.538,13.097,0.0,+35.1197991,-106.5600346
35001000120,"Census Tract 1.20, Bernalillo County, New Mexico",2998.0,1345.0,94.0,123.0,74.0,0.0,1323.0,"Albuquerque city, New Mexico",False,-16.164,0.93,0.054,0.118,14.013,0.0,+35.1199118,-106.5420787
35001000121,"Census Tract 1.21, Bernalillo County, New Mexico",5712.0,3177.0,488.0,341.0,75.0,0.0,1596.0,"Albuquerque city, New Mexico",False,-9.015,5.633,3.753,-2.757,2.413,-0.017,+35.1090849,-106.5419867
35001000122,"Census Tract 1.22, Bernalillo County, New Mexico",4448.0,2427.0,56.0,25.0,182.0,0.0,1667.0,"Albuquerque city, New Mexico",False,-13.386,-1.036,-1.683,-1.311,15.988,0.0,+35.1091892,-106.5598714
35001000123,"Census Tract 1.23, Bernalillo County, New Mexico",4290.0,1818.0,190.0,271.0,46.0,0.0,1994.0,"Albuquerque city, New Mexico",False,-17.483,1.569,4.053,-1.133,14.166,0.0,+35.0949188,-106.5414668
35001000124,"Census Tract 1.24, Bernalillo County, New Mexico",3971.0,1618.0,314.0,423.0,0.0,111.0,1457.0,"Albuquerque city, New Mexico",False,-14.495,3.6,5.025,-2.038,4.506,2.795,+35.0981156,-106.5604300
35001000125,"Census Tract 1.25, Bernalillo County, New Mexico",3925.0,2238.0,61.0,47.0,232.0,0.0,1255.0,"Albuquerque city, New Mexico",False,-13.764,-0.538,-0.183,-0.765,13.283,-0.022,+35.0948607,-106.4888520
35001000126,"Census Tract 1.26, Bernalillo County, New Mexico",2480.0,1498.0,44.0,137.0,34.0,0.0,689.0,"Albuquerque city, New Mexico",False,-5.659,-1.237,2.753,-1.297,2.602,0.0,+35.0975439,-106.5067542
35001000127,"Census Tract 1.27, Bernalillo County, New Mexico",2754.0,1462.0,1.0,225.0,13.0,0.0,985.0,"Albuquerque city, New Mexico",False,-7.87,-2.785,6.519,-3.037,4.909,0.0,+35.0980013,-106.5238795
35001000128,"Census Tract 1.28, Bernalillo County, New Mexico",3844.0,1387.0,115.0,488.0,104.0,0.0,1728.0,"Albuquerque city, New Mexico",False,-15.887,-0.945,9.879,0.616,6.037,0.0,+35.0908404,-106.5236494
35001000129,"Census Tract 1.29, Bernalillo County, New Mexico",3940.0,1873.0,45.0,232.0,214.0,0.0,1559.0,"Albuquerque city, New Mexico",False,-11.303,-2.59,0.157,1.633,12.848,-0.155,+35.0902019,-106.5059112
35001000203,"Census Tract 2.03, Bernalillo County, New Mexico",1916.0,966.0,53.0,185.0,28.0,0.0,678.0,"Albuquerque city, New Mexico",False,-14.694,-0.987,5.903,-0.01,9.524,0.0,+35.1278170,-106.5777771
35001000204,"Census Tract 2.04, Bernalillo County, New Mexico",3214.0,1083.0,168.0,132.0,30.0,0.0,1654.0,"Albuquerque city, New Mexico",False,-11.816,2.195,-2.109,-1.614,9.406,0.0,+35.1271221,-106.5952717
35001000205,"Census Tract 2.05, Bernalillo County, New Mexico",3398.0,1266.0,45.0,316.0,80.0,0.0,1637.0,"Albuquerque city, New Mexico",False,-5.963,-1.914,3.459,0.417,2.866,0.0,+35.1199109,-106.5952785
35001000206,"Census Tract 2.06, Bernalillo County, New Mexico",2929.0,1346.0,98.0,96.0,28.0,0.0,1288.0,"Albuquerque city, New Mexico",False,-14.195,1.291,1.099,-0.507,10.163,-0.125,+35.1203906,-106.5775787
35001000207,"Census Tract 2.07, Bernalillo County, New Mexico",2741.0,1315.0,68.0,53.0,67.0,0.0,1196.0,"Albuquerque city, New Mexico",False,-5.382,-0.316,-0.628,0.736,4.794,-0.029,+35.1093722,-106.5775575
35001000208,"Census Tract 2.08, Bernalillo County, New Mexico",2787.0,843.0,9.0,276.0,92.0,0.0,1468.0,"Albuquerque city, New Mexico",False,-8.328,-1.377,6.821,0.007,-0.285,-0.035,+35.1101426,-106.5953954
35001000300,"Census Tract 3, Bernalillo County, New Mexico",6230.0,3847.0,116.0,154.0,152.0,0.0,1704.0,"Albuquerque city, New Mexico",False,-9.767,0.16,-0.982,-0.605,7.938,-0.065,+35.0992330,-106.6157686
35001000401,"Census Tract 4.01, Bernalillo County, New Mexico",4193.0,2483.0,18.0,186.0,200.0,0.0,1203.0,"Albuquerque city, New Mexico",False,-7.14,-1.776,1.473,2.328,2.826,-0.047,+35.0992850,-106.5914848
35001000402,"Census Tract 4.02, Bernalillo County, New Mexico",3476.0,2332.0,60.0,2.0,102.0,0.0,870.0,"Albuquerque city, New Mexico",False,-1.577,-0.404,-3.109,0.131,2.523,-0.028,+35.0910699,-106.5908760
35001000501,"Census Tract 5.01, Bernalillo County, New Mexico",3158.0,1053.0,135.0,420.0,27.0,0.0,1497.0,"Albuquerque city, New Mexico",False,-28.203,1.759,6.917,-1.766,21.151,-0.039,+35.0800836,-106.5818291
35001000502,"Census Tract 5.02, Bernalillo County, New Mexico",4612.0,2740.0,99.0,322.0,59.0,0.0,1209.0,"Albuquerque city, New Mexico",False,-2.137,-0.369,0.599,-1.342,-0.038,-0.039,+35.0802552,-106.5952357
35001000601,"Census Tract 6.01, Bernalillo County, New Mexico",3982.0,1901.0,97.0,155.0,178.0,0.0,1523.0,"Albuquerque city, New Mexico",False,-17.652,-0.539,0.228,2.053,13.121,-0.027,+35.0919014,-106.5659628
35001000603,"Census Tract 6.03, Bernalillo County, New Mexico",4469.0,642.0,251.0,339.0,54.0,0.0,3205.0,"Albuquerque city, New Mexico",False,-5.54,2.426,-0.752,-1.356,6.126,-0.02,+35.0797082,-106.5555419
35001000604,"Census Tract 6.04, Bernalillo County, New Mexico",4180.0,762.0,86.0,273.0,41.0,0.0,2930.0,"Albuquerque city, New Mexico",False,-8.782,-2.068,-1.467,-2.037,13.255,0.0,+35.0802001,-106.5689498
35001000704,"Census Tract 7.04, Bernalillo County, New Mexico",3368.0,1381.0,48.0,144.0,64.0,0.0,1743.0,"Albuquerque city, New Mexico",False,-10.661,-3.059,1.081,-1.913,15.474,-0.054,+35.0824497,-106.5187142
35001000707,"Census Tract 7.07, Bernalillo County, New Mexico",6774.0,1563.0,69.0,100.0,31.0,0.0,4932.0,"Albuquerque city, New Mexico",False,-15.078,-3.835,-4.435,-3.633,26.041,-0.069,+35.0771087,-106.5419149
35001000708,"Census Tract 7.08, Bernalillo County, New Mexico",6415.0,2512.0,351.0,287.0,100.0,0.0,2717.0,"Albuquerque city, New Mexico",False,-10.406,0.815,-2.602,-2.387,7.859,-0.022,+35.0730846,-106.5201077
