GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
48439101302,"Census Tract 1013.02, Tarrant County, Texas",3438.0,724.0,1032.0,9.0,0.0,0.0,1614.0,"Arlington city, Texas",False,-15.49,-13.708,-0.586,-2.545,30.861,0.0,+32.7267357,-097.2169302
48439106400,"Census Tract 1064, Tarrant County, Texas",3399.0,1061.0,607.0,0.0,30.0,0.0,1616.0,"Arlington city, Texas",False,-29.339,-3.99,-1.478,0.791,31.931,0.0,+32.6937159,-097.2341883
48439106509,"Census Tract 1065.09, Tarrant County, Texas",5576.0,2014.0,1872.0,22.0,685.0,26.0,765.0,"Arlington city, Texas",False,-34.042,18.731,-0.508,7.848,4.415,0.348,+32.7844649,-097.1588166
48439106514,"Census Tract 1065.14, Tarrant County, Texas",5453.0,1233.0,3311.0,0.0,219.0,0.0,514.0,"Arlington city, Texas",False,-36.628,35.588,-0.93,-0.807,0.332,-0.029,+32.7509863,-097.1746810
48439111310,"Census Tract 1113.10, Tarrant County, Texas",11213.0,3250.0,4554.0,16.0,1067.0,0.0,2150.0,"Arlington city, Texas",False,-60.09,38.257,-0.293,6.927,13.724,-0.014,+32.6082493,-097.0894165
48439111402,"Census Tract 1114.02, Tarrant County, Texas",5656.0,3462.0,1113.0,0.0,98.0,0.0,846.0,"Arlington city, Texas",False,-18.068,10.313,-1.102,-0.47,7.197,-0.049,+32.6424571,-097.1696820
48439111404,"Census Tract 1114.04, Tarrant County, Texas",9577.0,5214.0,2128.0,62.0,499.0,12.0,1580.0,"Arlington city, Texas",False,-21.063,11.968,-0.51,2.521,6.478,0.082,+32.6426900,-097.2007467
48439111405,"Census Tract 1114.05, Tarrant County, Texas",2682.0,1461.0,357.0,0.0,54.0,0.0,768.0,"Arlington city, Texas",False,-31.108,11.769,-1.041,1.473,17.61,0.0,+32.6336509,-097.2305145
48439111406,"Census Tract 1114.06, Tarrant County, Texas",4465.0,2866.0,778.0,43.0,196.0,0.0,492.0,"Arlington city, Texas",False,-18.176,12.934,0.305,1.089,2.062,-0.012,+32.6041567,-097.1598836
48439111407,"Census Tract 1114.07, Tarrant County, Texas",3556.0,2479.0,528.0,16.0,245.0,0.0,221.0,"Arlington city, Texas",False,-12.651,10.358,-0.208,3.589,-2.742,-0.012,+32.6237395,-097.1396499
48439111408,"Census Tract 1114.08, Tarrant County, Texas",3929.0,2332.0,964.0,0.0,49.0,0.0,584.0,"Arlington city, Texas",False,-23.01,20.046,-0.658,-2.054,5.907,-0.012,+32.6280978,-097.1912897
48439111409,"Census Tract 1114.09, Tarrant County, Texas",5541.0,3615.0,572.0,0.0,258.0,19.0,677.0,"Arlington city, Texas",False,-17.123,5.833,-0.658,1.355,3.261,0.331,+32.6356606,-097.1547822
48439111505,"Census Tract 1115.05, Tarrant County, Texas",4831.0,3357.0,755.0,4.0,64.0,0.0,519.0,"Arlington city, Texas",False,-18.874,12.613,-1.138,-0.22,4.987,-0.05,+32.7316361,-097.1574881
