GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
13089020100,"Census Tract 201, DeKalb County, Georgia",1997.0,1717.0,36.0,0.0,38.0,0.0,158.0,"Atlanta city, Georgia",False,1.851,-1.057,-0.224,0.052,-2.856,0.0,+33.7998709,-084.3432667
13089020200,"Census Tract 202, DeKalb County, Georgia",1881.0,1426.0,145.0,0.0,189.0,0.0,17.0,"Atlanta city, Georgia",False,-10.955,1.207,-0.546,7.408,-2.188,0.0,+33.7756064,-084.3402667
13089020300,"Census Tract 203, DeKalb County, Georgia",4476.0,3928.0,171.0,24.0,35.0,0.0,147.0,"Atlanta city, Georgia",False,9.808,-13.197,0.014,-0.63,1.074,0.0,+33.7659856,-084.3295009
13089020400,"Census Tract 204, DeKalb County, Georgia",2701.0,2291.0,61.0,0.0,168.0,0.0,38.0,"Atlanta city, Georgia",False,-2.357,-3.842,-0.517,4.106,-1.934,0.0,+33.7660727,-084.3443392
13089020500,"Census Tract 205, DeKalb County, Georgia",3161.0,1510.0,1230.0,17.0,94.0,0.0,209.0,"Atlanta city, Georgia",True,40.527,-50.411,0.476,2.693,3.677,0.0,+33.7526586,-084.3416193
13089020600,"Census Tract 206, DeKalb County, Georgia",2050.0,812.0,925.0,30.0,34.0,0.0,129.0,"Atlanta city, Georgia",True,37.441,-51.602,1.14,1.521,5.739,0.0,+33.7576172,-084.3356822
13089020700,"Census Tract 207, DeKalb County, Georgia",2634.0,1668.0,825.0,0.0,33.0,0.0,56.0,"Atlanta city, Georgia",True,54.086,-49.015,-0.191,0.948,-7.687,0.0,+33.7538960,-084.3249841
13089020801,"Census Tract 208.01, DeKalb County, Georgia",2509.0,1600.0,591.0,0.0,13.0,0.0,18.0,"Atlanta city, Georgia",False,50.911,-60.933,-0.258,0.334,-1.273,0.0,+33.7558508,-084.3162221
13089020802,"Census Tract 208.02, DeKalb County, Georgia",4411.0,1714.0,2155.0,0.0,110.0,0.0,182.0,"Atlanta city, Georgia",False,24.924,-34.403,-0.225,2.354,1.738,-0.028,+33.7469340,-084.3020704
13089020900,"Census Tract 209, DeKalb County, Georgia",5927.0,2955.0,2467.0,0.0,238.0,0.0,146.0,"Atlanta city, Georgia",True,33.956,-39.262,-0.248,3.457,0.305,0.0,+33.7365044,-084.3368900
13089021415,"Census Tract 214.15, DeKalb County, Georgia",3687.0,2576.0,187.0,69.0,325.0,0.0,518.0,"Atlanta city, Georgia",False,37.239,-7.478,1.643,4.532,-35.955,-0.008,+33.8397088,-084.3448974
13089022401,"Census Tract 224.01, DeKalb County, Georgia",3873.0,3008.0,210.0,6.0,268.0,0.0,283.0,"Atlanta city, Georgia",False,-12.285,0.861,-0.257,4.137,5.323,-0.026,+33.7884482,-084.3430661
13089022402,"Census Tract 224.02, DeKalb County, Georgia",6698.0,2998.0,1385.0,0.0,1531.0,0.0,509.0,"Atlanta city, Georgia",False,-24.902,11.252,-0.197,5.651,4.596,-0.022,+33.7981091,-084.3224275
13089023601,"Census Tract 236.01, DeKalb County, Georgia",3188.0,1040.0,2055.0,20.0,57.0,0.0,9.0,"Atlanta city, Georgia",True,28.6,-28.944,0.337,1.305,-1.488,0.0,+33.7347291,-084.2987230
13089023700,"Census Tract 237, DeKalb County, Georgia",6054.0,865.0,4764.0,0.0,24.0,1.0,100.0,"Atlanta city, Georgia",True,10.595,-16.132,-0.174,0.208,0.593,0.017,+33.7313084,-084.3183573
13089023801,"Census Tract 238.01, DeKalb County, Georgia",4125.0,1344.0,2337.0,104.0,47.0,0.0,153.0,"Atlanta city, Georgia",True,23.429,-29.275,2.17,0.932,-0.382,0.0,+33.7174077,-084.3384079
