GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
48021950300,"Census Tract 9503, Bastrop County, Texas",16034.0,9400.0,1087.0,29.0,276.0,0.0,4947.0,"Austin city, Texas",False,-13.505,-4.582,-0.814,0.968,16.387,-0.027,+30.0749428,-097.4530736
48209010901,"Census Tract 109.01, Hays County, Texas",8310.0,6710.0,89.0,0.0,192.0,0.0,1262.0,"Austin city, Texas",False,-4.925,0.239,-0.363,1.054,3.43,-0.03,+30.1306036,-097.9200071
48209010908,"Census Tract 109.08, Hays County, Texas",15448.0,4869.0,1065.0,65.0,254.0,0.0,9069.0,"Austin city, Texas",True,-7.09,3.816,-0.562,1.251,2.048,-0.012,+30.0546634,-097.8008814
48453000101,"Census Tract 1.01, Travis County, Texas",4411.0,3660.0,11.0,17.0,95.0,0.0,494.0,"Austin city, Texas",False,-8.818,-0.435,-0.135,0.978,5.508,0.0,+30.3231686,-097.7532670
48453000102,"Census Tract 1.02, Travis County, Texas",2580.0,2348.0,15.0,0.0,73.0,0.0,100.0,"Austin city, Texas",False,-1.834,-0.077,-1.122,1.59,0.084,0.0,+30.3262719,-097.7668011
48453000203,"Census Tract 2.03, Travis County, Texas",2334.0,1431.0,228.0,11.0,224.0,33.0,380.0,"Austin city, Texas",False,-10.278,-0.836,0.323,1.192,7.572,1.413,+30.3126203,-097.7366662
48453000204,"Census Tract 2.04, Travis County, Texas",3096.0,2308.0,41.0,0.0,179.0,0.0,416.0,"Austin city, Texas",False,-9.783,-0.591,-1.01,1.639,5.359,-0.035,+30.3071636,-097.7444646
48453000205,"Census Tract 2.05, Travis County, Texas",3930.0,2653.0,84.0,12.0,272.0,0.0,748.0,"Austin city, Texas",False,-4.807,-1.515,-0.859,3.859,0.149,-0.016,+30.3261646,-097.7343267
48453000206,"Census Tract 2.06, Travis County, Texas",3375.0,2652.0,98.0,11.0,87.0,0.0,464.0,"Austin city, Texas",False,6.265,-0.748,-0.838,-0.484,-5.136,-0.016,+30.3261412,-097.7435231
48453000302,"Census Tract 3.02, Travis County, Texas",5235.0,3646.0,218.0,33.0,617.0,19.0,563.0,"Austin city, Texas",False,-5.588,2.419,-0.233,-0.214,1.422,0.363,+30.3025591,-097.7265034
