GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
24510010100,"Census Tract 101, Baltimore city, Maryland",3035.0,2614.0,205.0,0.0,135.0,0.0,67.0,"Baltimore city, Maryland",True,-6.542,4.05,-0.753,3.352,-0.018,0.0,+39.2786343,-076.5745793
24510010200,"Census Tract 102, Baltimore city, Maryland",2858.0,2450.0,128.0,0.0,126.0,0.0,92.0,"Baltimore city, Maryland",True,15.258,-13.168,-1.89,2.977,-4.98,-0.03,+39.2880851,-076.5740101
24510010300,"Census Tract 103, Baltimore city, Maryland",2380.0,2012.0,39.0,0.0,154.0,0.0,111.0,"Baltimore city, Maryland",True,-3.408,-1.224,-1.607,5.416,-0.409,0.0,+39.2883650,-076.5802265
24510010400,"Census Tract 104, Baltimore city, Maryland",2834.0,2219.0,167.0,0.0,181.0,0.0,186.0,"Baltimore city, Maryland",False,-8.717,3.083,-1.616,3.298,1.334,0.0,+39.2781675,-076.5795274
24510010500,"Census Tract 105, Baltimore city, Maryland",1888.0,1441.0,47.0,9.0,31.0,0.0,331.0,"Baltimore city, Maryland",True,5.054,-5.945,-1.421,-0.414,2.192,0.0,+39.2888746,-076.5858889
24510020100,"Census Tract 201, Baltimore city, Maryland",1636.0,1189.0,208.0,26.0,51.0,0.0,157.0,"Baltimore city, Maryland",True,6.561,-1.55,-0.463,0.364,-4.367,0.0,+39.2887712,-076.5887716
24510020200,"Census Tract 202, Baltimore city, Maryland",1678.0,1078.0,170.0,0.0,148.0,0.0,246.0,"Baltimore city, Maryland",False,11.937,-4.336,-1.854,6.288,-12.917,-0.045,+39.2886357,-076.5920299
24510020300,"Census Tract 203, Baltimore city, Maryland",3761.0,2855.0,138.0,0.0,308.0,0.0,263.0,"Baltimore city, Maryland",False,-8.289,-1.896,-0.69,5.265,1.347,0.0,+39.2808610,-076.5940789
24510030100,"Census Tract 301, Baltimore city, Maryland",2386.0,352.0,1834.0,31.0,11.0,0.0,151.0,"Baltimore city, Maryland",False,-0.7,-2.305,0.368,-0.216,2.942,-0.042,+39.2894076,-076.5965752
24510030200,"Census Tract 302, Baltimore city, Maryland",2273.0,1096.0,776.0,0.0,149.0,0.0,230.0,"Baltimore city, Maryland",False,-16.984,7.783,-0.775,3.885,6.329,0.0,+39.2865363,-076.6022612
24510040100,"Census Tract 401, Baltimore city, Maryland",5051.0,1889.0,1499.0,30.0,866.0,49.0,501.0,"Baltimore city, Maryland",True,-4.809,-12.646,-0.154,5.932,7.734,0.97,+39.2902267,-076.6145019
24510040200,"Census Tract 402, Baltimore city, Maryland",984.0,422.0,329.0,0.0,129.0,9.0,34.0,"Baltimore city, Maryland",False,4.47,-13.65,-0.374,1.002,1.661,0.915,+39.2903223,-076.6250565
24510060100,"Census Tract 601, Baltimore city, Maryland",2653.0,750.0,1182.0,88.0,132.0,0.0,551.0,"Baltimore city, Maryland",True,3.607,-21.015,1.909,3.537,14.416,0.0,+39.2946533,-076.5751514
