GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
25025000100,"Census Tract 1, Suffolk County, Massachusetts",5884.0,3366.0,410.0,0.0,1223.0,0.0,720.0,"Boston city, Massachusetts",False,-13.611,1.978,-0.554,9.847,3.442,0.0,+42.3614844,-071.1385888
25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",4125.0,2964.0,187.0,0.0,355.0,0.0,316.0,"Boston city, Massachusetts",False,-5.763,1.008,-0.283,-0.373,0.226,0.0,+42.3540651,-071.1611678
25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",4461.0,2683.0,91.0,0.0,458.0,0.0,1207.0,"Boston city, Massachusetts",False,-4.137,-5.578,-0.255,-5.172,15.796,0.0,+42.3526051,-071.1543443
25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",3074.0,2044.0,280.0,0.0,266.0,0.0,417.0,"Boston city, Massachusetts",False,-14.349,5.722,-0.068,0.613,8.023,0.0,+42.3541437,-071.1688210
25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",3447.0,2239.0,150.0,0.0,553.0,47.0,374.0,"Boston city, Massachusetts",False,-16.05,2.057,-0.299,3.135,7.656,1.364,+42.3472585,-071.1676864
25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",5696.0,3894.0,199.0,0.0,938.0,0.0,537.0,"Boston city, Massachusetts",False,-8.137,0.578,-0.138,1.613,4.839,0.0,+42.3438495,-071.1492929
25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",3700.0,2651.0,48.0,0.0,463.0,0.0,372.0,"Boston city, Massachusetts",False,-5.091,-1.733,-0.393,-0.561,5.256,0.0,+42.3441742,-071.1588288
25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",5540.0,4138.0,129.0,11.0,604.0,0.0,583.0,"Boston city, Massachusetts",False,-0.04,0.315,-0.116,-2.974,3.443,0.0,+42.3315048,-071.1574973
25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",2087.0,1521.0,45.0,18.0,279.0,0.0,96.0,"Boston city, Massachusetts",False,-6.43,-1.319,0.672,2.996,-1.115,-0.014,+42.3396332,-071.1501028
25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",4959.0,3357.0,140.0,62.0,885.0,0.0,416.0,"Boston city, Massachusetts",False,-11.615,-0.652,1.06,7.474,2.674,-0.014,+42.3414661,-071.1438307
25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",3798.0,2465.0,114.0,0.0,558.0,0.0,367.0,"Boston city, Massachusetts",False,-5.797,-0.162,-0.322,-0.28,1.576,0.0,+42.3509820,-071.1456705
25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",4158.0,2034.0,221.0,42.0,862.0,0.0,829.0,"Boston city, Massachusetts",False,-3.963,-9.747,0.66,7.645,3.908,0.0,+42.3492498,-071.1424588
25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",4368.0,2663.0,365.0,47.0,716.0,0.0,455.0,"Boston city, Massachusetts",False,-4.428,3.129,0.927,-2.277,3.696,-0.043,+42.3469580,-071.1379847
25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",2020.0,978.0,82.0,0.0,620.0,0.0,265.0,"Boston city, Massachusetts",False,-12.49,-1.768,-0.305,11.451,1.836,-0.053,+42.3513284,-071.1282176
25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",4688.0,2131.0,288.0,0.0,1503.0,0.0,527.0,"Boston city, Massachusetts",True,-15.45,0.316,-0.305,12.819,-0.042,-0.053,+42.3500028,-071.1334045
25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",6701.0,3588.0,322.0,41.0,1353.0,0.0,1088.0,"Boston city, Massachusetts",False,-0.013,-0.756,0.399,1.04,-1.111,-0.088,+42.3568717,-071.1297577
25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",5852.0,3142.0,407.0,7.0,1335.0,0.0,706.0,"Boston city, Massachusetts",False,-13.484,0.656,-0.162,6.175,3.363,-0.056,+42.3594779,-071.1212633
25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",3686.0,1917.0,115.0,3.0,944.0,0.0,579.0,"Boston city, Massachusetts",False,-19.069,-0.232,-0.224,7.377,9.004,-0.051,+42.3497819,-071.1034526
25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",5004.0,3208.0,177.0,7.0,901.0,0.0,432.0,"Boston city, Massachusetts",False,-8.713,0.1,-0.12,1.819,2.178,0.0,+42.3494300,-071.0937493
