GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
37119000100,"Census Tract 1, Mecklenburg County, North Carolina",5897.0,4157.0,587.0,82.0,366.0,0.0,463.0,"Charlotte city, North Carolina",False,10.247,-25.364,1.125,3.9,6.609,0.0,+35.2259232,-080.8441775
37119000300,"Census Tract 3, Mecklenburg County, North Carolina",1115.0,770.0,319.0,0.0,10.0,0.0,0.0,"Charlotte city, North Carolina",False,9.105,-10.016,-0.237,0.66,-0.237,0.0,+35.2134103,-080.8408505
37119000400,"Census Tract 4, Mecklenburg County, North Carolina",3490.0,2719.0,465.0,0.0,124.0,0.0,92.0,"Charlotte city, North Carolina",False,29.098,-32.956,-1.637,2.363,0.701,0.0,+35.2202375,-080.8567430
37119000500,"Census Tract 5, Mecklenburg County, North Carolina",5438.0,3066.0,1630.0,2.0,58.0,0.0,366.0,"Charlotte city, North Carolina",False,8.697,-18.555,-0.56,-0.166,5.071,0.0,+35.2329005,-080.8487065
37119000600,"Census Tract 6, Mecklenburg County, North Carolina",2962.0,1342.0,1230.0,0.0,160.0,0.0,100.0,"Charlotte city, North Carolina",False,26.561,-36.195,-0.627,4.376,1.667,0.0,+35.2251079,-080.8322606
37119000700,"Census Tract 7, Mecklenburg County, North Carolina",1001.0,437.0,487.0,8.0,33.0,0.0,36.0,"Charlotte city, North Carolina",True,39.758,-20.614,0.799,-11.246,-8.698,0.0,+35.2385898,-080.8190353
37119000800,"Census Tract 8, Mecklenburg County, North Carolina",2975.0,425.0,2113.0,0.0,44.0,239.0,40.0,"Charlotte city, North Carolina",True,11.253,-18.488,-0.194,-2.555,-1.753,8.034,+35.2281854,-080.8194074
37119000900,"Census Tract 9, Mecklenburg County, North Carolina",1825.0,692.0,1030.0,6.0,64.0,0.0,21.0,"Charlotte city, North Carolina",True,32.792,-21.045,0.013,-7.766,-4.426,0.0,+35.2373294,-080.8103873
37119001000,"Census Tract 10, Mecklenburg County, North Carolina",3031.0,2632.0,95.0,35.0,44.0,0.0,106.0,"Charlotte city, North Carolina",False,11.226,-15.802,0.756,-0.011,0.215,0.0,+35.2256272,-080.8083740
37119001100,"Census Tract 11, Mecklenburg County, North Carolina",2991.0,2586.0,222.0,0.0,20.0,0.0,71.0,"Charlotte city, North Carolina",False,15.304,-13.733,-1.224,-0.593,-1.949,0.0,+35.2144543,-080.8066303
37119001200,"Census Tract 12, Mecklenburg County, North Carolina",5055.0,2773.0,1161.0,0.0,293.0,0.0,780.0,"Charlotte city, North Carolina",False,3.614,-1.925,-0.666,3.076,-4.364,0.0,+35.2238478,-080.7885556
37119001300,"Census Tract 13, Mecklenburg County, North Carolina",4084.0,1778.0,1619.0,0.0,85.0,0.0,527.0,"Charlotte city, North Carolina",True,4.87,-8.377,-1.227,-2.272,5.472,0.0,+35.2377407,-080.7892612
