GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
17031010100,"Census Tract 101, Cook County, Illinois",4599.0,1853.0,2045.0,0.0,46.0,0.0,523.0,"Chicago city, Illinois",False,17.809,-12.87,-1.094,-2.209,-2.948,-0.019,+42.0212564,-087.6698316
17031010201,"Census Tract 102.01, Cook County, Illinois",7455.0,2328.0,2481.0,15.0,287.0,0.0,1671.0,"Chicago city, Illinois",False,10.64,-5.016,-0.117,-0.391,-12.977,0.0,+42.0160077,-087.6801484
17031010202,"Census Tract 102.02, Cook County, Illinois",2896.0,879.0,974.0,35.0,155.0,0.0,753.0,"Chicago city, Illinois",False,9.765,-4.663,0.891,1.111,-9.39,0.0,+42.0160507,-087.6733216
17031010300,"Census Tract 103, Cook County, Illinois",6485.0,3051.0,1995.0,6.0,66.0,7.0,1099.0,"Chicago city, Illinois",False,1.01,-2.189,-0.403,-3.374,1.561,0.108,+42.0159407,-087.6665351
17031010400,"Census Tract 104, Cook County, Illinois",5213.0,3361.0,1104.0,0.0,241.0,0.0,392.0,"Chicago city, Illinois",False,10.482,4.258,-0.376,-14.682,-0.724,-0.038,+42.0064109,-087.6588157
17031010501,"Census Tract 105.01, Cook County, Illinois",4102.0,1902.0,1358.0,0.0,233.0,0.0,387.0,"Chicago city, Illinois",False,2.636,7.01,-0.64,-5.203,-7.552,0.0,+42.0094119,-087.6639583
17031010502,"Census Tract 105.02, Cook County, Illinois",3089.0,1610.0,669.0,10.0,262.0,0.0,465.0,"Chicago city, Illinois",False,8.388,-4.439,-0.316,-2.401,-1.933,0.0,+42.0045173,-087.6633273
17031010503,"Census Tract 105.03, Cook County, Illinois",1806.0,1204.0,255.0,0.0,225.0,0.0,54.0,"Chicago city, Illinois",False,22.935,-11.976,-0.64,1.575,-13.996,0.0,+42.0003207,-087.6631262
17031010600,"Census Tract 106, Cook County, Illinois",6395.0,3335.0,1139.0,0.0,204.0,0.0,1536.0,"Chicago city, Illinois",False,18.129,-12.128,-0.334,-3.316,-3.928,-0.014,+42.0062774,-087.6676830
17031010701,"Census Tract 107.01, Cook County, Illinois",3620.0,1489.0,849.0,0.0,310.0,0.0,943.0,"Chicago city, Illinois",False,19.261,-5.633,-0.361,3.249,-16.232,-0.009,+42.0091482,-087.6786204
17031010702,"Census Tract 107.02, Cook County, Illinois",5082.0,1636.0,1599.0,0.0,361.0,0.0,1377.0,"Chicago city, Illinois",False,10.32,2.378,-0.361,1.789,-15.186,-0.009,+42.0090199,-087.6727257
17031020100,"Census Tract 201, Cook County, Illinois",3618.0,1134.0,1206.0,0.0,171.0,0.0,935.0,"Chicago city, Illinois",False,-8.95,8.353,-0.44,-9.253,7.048,0.0,+42.0157210,-087.6871169
