GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
08041000101,"Census Tract 1.01, El Paso County, Colorado",5892.0,4251.0,240.0,129.0,67.0,0.0,1009.0,"Colorado Springs city, Colorado",False,-9.626,-1.698,1.379,-1.799,8.958,-0.017,+38.8827260,-104.7779277
08041000102,"Census Tract 1.02, El Paso County, Colorado",3387.0,2709.0,108.0,20.0,0.0,0.0,450.0,"Colorado Springs city, Colorado",False,-8.793,1.65,-0.074,-1.69,6.044,0.0,+38.8638068,-104.7671221
08041000202,"Census Tract 2.02, El Paso County, Colorado",4655.0,3389.0,237.0,9.0,19.0,0.0,742.0,"Colorado Springs city, Colorado",False,-6.757,0.139,-1.297,-3.727,6.644,-0.042,+38.8950867,-104.7720070
08041000203,"Census Tract 2.03, El Paso County, Colorado",4318.0,3397.0,164.0,4.0,78.0,0.0,518.0,"Colorado Springs city, Colorado",False,-4.018,0.989,-1.155,-0.403,1.264,-0.024,+38.8889973,-104.8042617
08041000301,"Census Tract 3.01, El Paso County, Colorado",3376.0,2025.0,62.0,0.0,33.0,0.0,1127.0,"Colorado Springs city, Colorado",False,-18.149,-1.184,-1.844,-0.803,18.475,-0.032,+38.8798052,-104.8031544
08041000302,"Census Tract 3.02, El Paso County, Colorado",5021.0,2938.0,506.0,65.0,157.0,0.0,1182.0,"Colorado Springs city, Colorado",False,-15.478,4.531,-0.855,-2.393,11.121,-0.053,+38.8903897,-104.8219967
08041000400,"Census Tract 4, El Paso County, Colorado",2214.0,1729.0,0.0,65.0,49.0,0.0,307.0,"Colorado Springs city, Colorado",False,-7.516,-1.453,1.212,0.715,4.876,0.0,+38.8697973,-104.8042701
08041000500,"Census Tract 5, El Paso County, Colorado",2100.0,1701.0,166.0,0.0,6.0,0.0,99.0,"Colorado Springs city, Colorado",True,-7.126,6.427,-1.192,-0.429,-2.964,-0.095,+38.8648856,-104.8120156
08041000600,"Census Tract 6, El Paso County, Colorado",3007.0,2484.0,10.0,9.0,40.0,0.0,360.0,"Colorado Springs city, Colorado",False,-2.371,-2.011,-0.935,0.035,2.071,0.0,+38.8644641,-104.7853352
08041000700,"Census Tract 7, El Paso County, Colorado",3413.0,2367.0,260.0,40.0,50.0,0.0,564.0,"Colorado Springs city, Colorado",False,-5.285,0.454,-0.37,-1.256,3.133,-0.06,+38.8550267,-104.7855084
08041000800,"Census Tract 8, El Paso County, Colorado",2985.0,2395.0,12.0,26.0,12.0,0.0,457.0,"Colorado Springs city, Colorado",False,-1.014,-2.973,-0.543,-1.01,3.28,-0.138,+38.8544726,-104.8006846
08041000900,"Census Tract 9, El Paso County, Colorado",2399.0,1960.0,51.0,2.0,83.0,0.0,140.0,"Colorado Springs city, Colorado",False,-7.321,-0.23,-0.806,2.127,0.236,0.0,+38.8554929,-104.8149195
08041001000,"Census Tract 10, El Paso County, Colorado",2301.0,2003.0,0.0,0.0,0.0,10.0,145.0,"Colorado Springs city, Colorado",False,-5.388,-0.781,-0.699,-1.48,2.069,0.435,+38.8592810,-104.8259251
08041001101,"Census Tract 11.01, El Paso County, Colorado",1490.0,885.0,67.0,15.0,6.0,0.0,498.0,"Colorado Springs city, Colorado",False,-13.814,1.166,-1.403,-3.991,18.186,0.0,+38.8701033,-104.8288393
08041001104,"Census Tract 11.04, El Paso County, Colorado",3161.0,2285.0,175.0,59.0,26.0,17.0,651.0,"Colorado Springs city, Colorado",False,-3.942,2.002,0.196,-1.104,4.244,0.538,+38.8651678,-104.8431949
08041001301,"Census Tract 13.01, El Paso County, Colorado",2099.0,1633.0,15.0,23.0,0.0,0.0,377.0,"Colorado Springs city, Colorado",True,-4.638,-1.913,-1.333,-1.274,6.93,-0.08,+38.8483933,-104.8632762
08041001302,"Census Tract 13.02, El Paso County, Colorado",5399.0,4305.0,97.0,125.0,70.0,0.0,549.0,"Colorado Springs city, Colorado",False,0.329,-1.291,1.125,-0.675,-3.838,-0.167,+38.8564697,-104.8543921
08041001400,"Census Tract 14, El Paso County, Colorado",3321.0,2877.0,4.0,44.0,24.0,0.0,317.0,"Colorado Springs city, Colorado",True,1.705,-1.39,-0.295,0.119,-1.191,-0.055,+38.8407892,-104.8473980
08041001500,"Census Tract 15, El Paso County, Colorado",2145.0,1786.0,83.0,11.0,0.0,0.0,166.0,"Colorado Springs city, Colorado",True,9.705,-0.583,-1.539,-1.781,-10.031,0.0,+38.8400832,-104.8366718
08041001600,"Census Tract 16, El Paso County, Colorado",3359.0,2601.0,92.0,7.0,151.0,0.0,347.0,"Colorado Springs city, Colorado",False,-4.878,-0.568,-1.097,0.703,1.562,-0.061,+38.8444894,-104.8237983
08041001700,"Census Tract 17, El Paso County, Colorado",1882.0,1514.0,90.0,0.0,41.0,17.0,152.0,"Colorado Springs city, Colorado",True,6.69,-2.741,-1.81,-0.536,-5.554,0.903,+38.8447519,-104.8138738
08041001800,"Census Tract 18, El Paso County, Colorado",1952.0,1650.0,17.0,0.0,5.0,3.0,241.0,"Colorado Springs city, Colorado",False,-2.066,-1.05,-1.072,-1.889,4.437,0.109,+38.8430499,-104.8022651
08041001900,"Census Tract 19, El Paso County, Colorado",4873.0,2734.0,436.0,87.0,71.0,0.0,1474.0,"Colorado Springs city, Colorado",False,-13.321,1.412,-0.168,-0.335,11.459,-0.092,+38.8455898,-104.7848078
08041002000,"Census Tract 20, El Paso County, Colorado",6834.0,4319.0,425.0,263.0,171.0,53.0,1438.0,"Colorado Springs city, Colorado",False,-9.439,-2.027,2.573,-0.252,6.39,0.704,+38.8494179,-104.7665861
08041002101,"Census Tract 21.01, El Paso County, Colorado",3755.0,2418.0,287.0,32.0,75.0,0.0,778.0,"Colorado Springs city, Colorado",False,-6.602,0.003,-1.44,0.058,3.88,-0.059,+38.8331676,-104.7855982
