GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
48085031202,"Census Tract 312.02, Collin County, Texas",4982.0,3386.0,389.0,30.0,53.0,0.0,1019.0,"Dallas city, Texas",False,-16.77,6.068,-1.159,0.519,9.257,-0.021,+33.0018783,-096.3996405
48085031310,"Census Tract 313.10, Collin County, Texas",11899.0,6033.0,1168.0,96.0,424.0,0.0,3290.0,"Dallas city, Texas",False,-36.613,8.409,-0.58,2.814,18.69,-0.01,+33.0026693,-096.5074486
48085031649,"Census Tract 316.49, Collin County, Texas",4491.0,3213.0,385.0,0.0,528.0,0.0,259.0,"Dallas city, Texas",False,-14.952,7.063,-0.49,3.597,2.625,0.0,+33.0207666,-096.8180137
48085031704,"Census Tract 317.04, Collin County, Texas",3642.0,2176.0,420.0,0.0,272.0,0.0,522.0,"Dallas city, Texas",False,-15.843,5.124,-0.653,0.196,4.615,0.0,+32.9924775,-096.8365225
48085031706,"Census Tract 317.06, Collin County, Texas",2468.0,2141.0,69.0,0.0,114.0,0.0,97.0,"Dallas city, Texas",False,1.992,-0.552,-0.433,-3.534,0.779,0.0,+32.9930127,-096.8209776
48085031708,"Census Tract 317.08, Collin County, Texas",4216.0,2228.0,923.0,11.0,285.0,0.0,570.0,"Dallas city, Texas",False,-26.81,17.545,-0.195,-2.177,7.347,0.0,+32.9928098,-096.8051254
48085031709,"Census Tract 317.09, Collin County, Texas",4300.0,1847.0,318.0,0.0,1367.0,0.0,523.0,"Dallas city, Texas",False,-34.989,3.002,-0.211,19.458,7.747,-0.023,+33.0043451,-096.7824903
48085031711,"Census Tract 317.11, Collin County, Texas",3311.0,2066.0,581.0,7.0,208.0,10.0,360.0,"Dallas city, Texas",False,-16.038,11.422,-0.47,-1.476,4.182,0.289,+33.0019565,-096.8357321
48085031712,"Census Tract 317.12, Collin County, Texas",5112.0,2087.0,1467.0,0.0,290.0,0.0,918.0,"Dallas city, Texas",False,-37.61,22.571,-0.681,-2.085,11.267,-0.013,+33.0098213,-096.8387131
48085031713,"Census Tract 317.13, Collin County, Texas",4521.0,1322.0,1292.0,0.0,255.0,0.0,1012.0,"Dallas city, Texas",False,-45.552,20.843,-0.791,-1.622,13.45,-0.064,+33.0023401,-096.8245576
48085031714,"Census Tract 317.14, Collin County, Texas",6725.0,1532.0,2256.0,0.0,299.0,0.0,2460.0,"Dallas city, Texas",False,-52.012,25.811,-0.791,-2.816,27.646,-0.064,+33.0081469,-096.8206600
48085031715,"Census Tract 317.15, Collin County, Texas",2783.0,1951.0,184.0,0.0,148.0,0.0,383.0,"Dallas city, Texas",False,-5.418,-0.107,-0.529,-5.693,7.867,-0.044,+33.0076501,-096.8079570
48085031716,"Census Tract 317.16, Collin County, Texas",2500.0,1506.0,192.0,7.0,262.0,19.0,306.0,"Dallas city, Texas",False,-15.282,0.961,-0.249,-0.531,6.345,0.716,+33.0003946,-096.8033975
48085031717,"Census Tract 317.17, Collin County, Texas",1923.0,865.0,169.0,4.0,380.0,0.0,400.0,"Dallas city, Texas",False,-30.54,2.069,-0.321,8.75,14.906,-0.044,+33.0066102,-096.7986044
