GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
08031000102,"Census Tract 1.02, Denver County, Colorado",3491.0,2365.0,67.0,38.0,41.0,0.0,846.0,"Denver city, Colorado",True,8.021,0.513,-0.434,0.237,-11.413,-0.117,+39.7811473,-105.0398400
08031000201,"Census Tract 2.01, Denver County, Colorado",3820.0,1750.0,53.0,60.0,8.0,21.0,1899.0,"Denver city, Colorado",True,14.376,0.244,0.154,-1.026,-14.417,0.527,+39.7875057,-105.0117378
08031000202,"Census Tract 2.02, Denver County, Colorado",4006.0,1904.0,251.0,159.0,79.0,11.0,1628.0,"Denver city, Colorado",True,22.891,3.39,3.055,1.169,-29.595,0.275,+39.7800230,-105.0120683
08031000301,"Census Tract 3.01, Denver County, Colorado",5869.0,4423.0,6.0,0.0,98.0,0.0,1275.0,"Denver city, Colorado",True,15.932,-1.359,-1.278,0.794,-14.701,-0.018,+39.7730308,-105.0392349
08031000302,"Census Tract 3.02, Denver County, Colorado",4587.0,3568.0,99.0,26.0,129.0,0.0,619.0,"Denver city, Colorado",False,11.173,0.3,-0.089,0.626,-14.729,0.0,+39.7639304,-105.0462665
08031000303,"Census Tract 3.03, Denver County, Colorado",4665.0,3771.0,45.0,0.0,122.0,40.0,618.0,"Denver city, Colorado",False,17.954,-0.328,-1.047,1.198,-19.702,0.857,+39.7639664,-105.0323023
08031000401,"Census Tract 4.01, Denver County, Colorado",3601.0,1909.0,72.0,21.0,44.0,0.0,1527.0,"Denver city, Colorado",True,21.355,0.796,-0.781,0.34,-21.766,0.0,+39.7729368,-105.0182645
08031000402,"Census Tract 4.02, Denver County, Colorado",5750.0,4068.0,57.0,201.0,81.0,0.0,1216.0,"Denver city, Colorado",False,36.578,-0.763,2.469,0.767,-40.874,0.0,+39.7630716,-105.0177145
08031000501,"Census Tract 5.01, Denver County, Colorado",2183.0,1667.0,126.0,30.0,16.0,7.0,358.0,"Denver city, Colorado",False,13.573,4.949,0.396,-1.12,-16.643,0.321,+39.7524826,-105.0501134
08031000502,"Census Tract 5.02, Denver County, Colorado",6006.0,3951.0,263.0,134.0,159.0,0.0,1437.0,"Denver city, Colorado",False,21.454,1.984,0.586,-1.931,-22.685,-0.065,+39.7525265,-105.0321855
08031000600,"Census Tract 6, Denver County, Colorado",3490.0,2335.0,13.0,0.0,160.0,0.0,964.0,"Denver city, Colorado",True,52.761,-0.829,-1.502,4.044,-54.961,-0.09,+39.7521405,-105.0192167
08031000701,"Census Tract 7.01, Denver County, Colorado",4516.0,1957.0,279.0,147.0,47.0,0.0,2143.0,"Denver city, Colorado",True,7.441,4.909,1.963,-0.387,-12.212,-0.091,+39.7394309,-105.0461516
08031000702,"Census Tract 7.02, Denver County, Colorado",4799.0,1784.0,260.0,48.0,95.0,14.0,2438.0,"Denver city, Colorado",True,22.202,0.287,-0.669,-1.935,-22.81,0.292,+39.7405533,-105.0321628
08031000800,"Census Tract 8, Denver County, Colorado",1437.0,146.0,627.0,36.0,36.0,0.0,599.0,"Denver city, Colorado",False,0.066,23.58,0.433,-12.335,-10.923,-0.201,+39.7357997,-105.0210767
08031000902,"Census Tract 9.02, Denver County, Colorado",6145.0,1367.0,181.0,296.0,59.0,0.0,4450.0,"Denver city, Colorado",False,-6.217,2.099,3.63,-0.209,4.515,-0.018,+39.7185409,-105.0464605
08031000903,"Census Tract 9.03, Denver County, Colorado",6021.0,1595.0,14.0,193.0,0.0,0.0,4243.0,"Denver city, Colorado",False,5.765,-0.79,2.314,-0.891,-5.306,-0.017,+39.7189492,-105.0318583
08031000904,"Census Tract 9.04, Denver County, Colorado",5583.0,1321.0,177.0,35.0,24.0,0.0,4026.0,"Denver city, Colorado",False,6.887,0.871,-0.621,-0.978,-5.945,-0.018,+39.7304631,-105.0466804
08031000905,"Census Tract 9.05, Denver County, Colorado",4263.0,1306.0,37.0,44.0,0.0,0.0,2876.0,"Denver city, Colorado",True,16.253,-0.203,-0.131,-0.821,-14.87,0.0,+39.7304643,-105.0320196
08031001000,"Census Tract 10, Denver County, Colorado",4803.0,541.0,228.0,9.0,268.0,0.0,3714.0,"Denver city, Colorado",False,-6.927,2.059,-1.647,3.243,2.704,0.0,+39.7171717,-105.0152226
08031001101,"Census Tract 11.01, Denver County, Colorado",2484.0,950.0,135.0,107.0,58.0,0.0,1269.0,"Denver city, Colorado",True,26.864,3.153,2.927,1.855,-33.207,-0.03,+39.7729192,-105.0047028
08031001102,"Census Tract 11.02, Denver County, Colorado",4799.0,3222.0,44.0,10.0,120.0,0.0,1403.0,"Denver city, Colorado",True,47.863,-0.28,-0.78,1.633,-47.718,-0.03,+39.7634977,-105.0055945
08031001301,"Census Tract 13.01, Denver County, Colorado",5259.0,1286.0,88.0,42.0,323.0,8.0,3493.0,"Denver city, Colorado",False,-2.848,0.546,0.307,1.346,0.545,0.152,+39.7048065,-105.0186498
08031001302,"Census Tract 13.02, Denver County, Colorado",3974.0,1052.0,23.0,116.0,62.0,0.0,2644.0,"Denver city, Colorado",False,-5.919,-0.24,2.1,0.213,2.173,-0.053,+39.7030892,-105.0023728
08031001401,"Census Tract 14.01, Denver County, Colorado",6401.0,1587.0,154.0,0.0,382.0,0.0,4166.0,"Denver city, Colorado",False,-4.289,0.356,-0.788,-0.059,3.153,-0.018,+39.6932437,-105.0098557
08031001402,"Census Tract 14.02, Denver County, Colorado",4743.0,1125.0,315.0,20.0,540.0,5.0,2533.0,"Denver city, Colorado",True,-10.058,4.642,-0.516,4.477,-2.578,0.006,+39.6859194,-105.0128544
08031001403,"Census Tract 14.03, Denver County, Colorado",3032.0,2093.0,41.0,0.0,54.0,0.0,742.0,"Denver city, Colorado",True,4.734,-0.858,-1.778,-0.141,-5.129,0.0,+39.6809562,-104.9932566
08031001500,"Census Tract 15, Denver County, Colorado",4377.0,1453.0,182.0,19.0,53.0,0.0,2551.0,"Denver city, Colorado",True,16.23,1.06,-0.985,0.4,-19.193,-0.116,+39.7811003,-104.9863420
08031001600,"Census Tract 16, Denver County, Colorado",12361.0,7821.0,1612.0,62.0,247.0,0.0,1831.0,"Denver city, Colorado",False,29.824,2.332,-1.68,1.079,-37.441,0.0,+39.7619905,-104.9852908
08031001701,"Census Tract 17.01, Denver County, Colorado",7500.0,6219.0,71.0,34.0,695.0,0.0,401.0,"Denver city, Colorado",False,7.774,-2.918,-0.401,-0.8,-3.822,-0.045,+39.7534350,-105.0004473
08031001702,"Census Tract 17.02, Denver County, Colorado",4491.0,3204.0,122.0,28.0,160.0,0.0,705.0,"Denver city, Colorado",False,-2.223,-5.562,-0.674,-0.377,3.678,0.0,+39.7451210,-104.9931602
08031001800,"Census Tract 18, Denver County, Colorado",3570.0,1659.0,179.0,82.0,68.0,0.0,1543.0,"Denver city, Colorado",False,2.558,1.447,1.051,-1.323,-4.344,-0.028,+39.7309638,-104.9958416
08031001901,"Census Tract 19.01, Denver County, Colorado",3346.0,998.0,697.0,36.0,59.0,0.0,1519.0,"Denver city, Colorado",True,10.932,8.091,-1.472,-4.657,-12.809,-0.033,+39.7331806,-105.0086286
08031001902,"Census Tract 19.02, Denver County, Colorado",778.0,542.0,11.0,8.0,0.0,0.0,176.0,"Denver city, Colorado",False,36.474,-9.07,-1.089,-7.347,-23.12,-0.036,+39.7458193,-105.0082697
08031002000,"Census Tract 20, Denver County, Colorado",2256.0,1685.0,193.0,0.0,115.0,17.0,215.0,"Denver city, Colorado",False,0.053,2.093,-1.292,1.867,-4.525,0.431,+39.7353735,-104.9911970
08031002100,"Census Tract 21, Denver County, Colorado",6568.0,4286.0,262.0,87.0,155.0,0.0,1567.0,"Denver city, Colorado",True,25.549,0.702,-0.517,1.345,-29.791,-0.069,+39.7152048,-104.9961928
08031002300,"Census Tract 23, Denver County, Colorado",5528.0,2950.0,1222.0,219.0,93.0,0.0,1044.0,"Denver city, Colorado",True,33.867,-24.122,3.358,0.913,-13.666,0.0,+39.7563555,-104.9665589
08031002402,"Census Tract 24.02, Denver County, Colorado",2034.0,1256.0,368.0,0.0,7.0,0.0,226.0,"Denver city, Colorado",False,27.876,-24.003,-2.185,-0.604,-9.168,-0.059,+39.7500576,-104.9755909
08031002403,"Census Tract 24.03, Denver County, Colorado",4529.0,2384.0,775.0,56.0,95.0,0.0,978.0,"Denver city, Colorado",True,33.488,-17.518,0.25,1.413,-22.406,-0.027,+39.7533770,-104.9801597
08031002601,"Census Tract 26.01, Denver County, Colorado",3869.0,2649.0,312.0,30.0,92.0,0.0,760.0,"Denver city, Colorado",True,4.308,-0.957,-0.964,-2.84,0.63,0.0,+39.7437081,-104.9837279
08031002602,"Census Tract 26.02, Denver County, Colorado",2885.0,2333.0,117.0,23.0,48.0,0.0,302.0,"Denver city, Colorado",False,25.082,-9.203,-0.016,-0.4,-16.799,0.0,+39.7433380,-104.9771526
08031002701,"Census Tract 27.01, Denver County, Colorado",4592.0,3489.0,180.0,0.0,105.0,0.0,570.0,"Denver city, Colorado",False,1.955,-2.536,-1.896,-1.229,-1.033,0.0,+39.7360351,-104.9836454
08031002702,"Census Tract 27.02, Denver County, Colorado",6495.0,5200.0,43.0,5.0,268.0,0.0,732.0,"Denver city, Colorado",True,0.552,-4.24,-1.139,-0.07,1.78,-0.039,+39.7296535,-104.9801748
08031002703,"Census Tract 27.03, Denver County, Colorado",5217.0,3864.0,379.0,69.0,268.0,0.0,489.0,"Denver city, Colorado",False,2.445,0.623,-0.314,2.037,-6.973,-0.096,+39.7360299,-104.9764383
08031002801,"Census Tract 28.01, Denver County, Colorado",3002.0,2538.0,34.0,0.0,98.0,0.0,264.0,"Denver city, Colorado",False,1.101,-1.96,-0.91,0.717,-0.595,0.0,+39.7239208,-104.9782121
08031002802,"Census Tract 28.02, Denver County, Colorado",4060.0,3211.0,129.0,40.0,74.0,0.0,543.0,"Denver city, Colorado",False,8.737,-0.215,-0.887,-0.446,-8.036,0.0,+39.7177365,-104.9841763
08031002803,"Census Tract 28.03, Denver County, Colorado",4999.0,4112.0,73.0,0.0,285.0,0.0,367.0,"Denver city, Colorado",False,-2.955,-1.632,-0.959,3.592,-0.569,-0.048,+39.7154033,-104.9770642
08031002901,"Census Tract 29.01, Denver County, Colorado",3559.0,2898.0,44.0,0.0,151.0,0.0,306.0,"Denver city, Colorado",False,-0.837,-0.839,-1.283,2.922,-4.081,-0.038,+39.7038284,-104.9839316
08031002902,"Census Tract 29.02, Denver County, Colorado",4239.0,3659.0,37.0,0.0,88.0,0.0,272.0,"Denver city, Colorado",False,-4.143,-0.108,-0.491,-0.159,1.02,-0.082,+39.7015908,-104.9767276
08031003001,"Census Tract 30.01, Denver County, Colorado",5874.0,5084.0,49.0,33.0,43.0,0.0,480.0,"Denver city, Colorado",False,-0.304,-0.993,-0.549,-0.775,-0.303,0.0,+39.6866128,-104.9810561
08031003002,"Census Tract 30.02, Denver County, Colorado",2780.0,2070.0,37.0,8.0,123.0,0.0,496.0,"Denver city, Colorado",False,-10.181,-0.566,-0.902,2.155,8.247,-0.112,+39.6731774,-104.9806072
08031003003,"Census Tract 30.03, Denver County, Colorado",3346.0,2495.0,190.0,8.0,171.0,0.0,442.0,"Denver city, Colorado",False,-7.64,2.251,-1.176,-0.202,6.262,-0.063,+39.6827343,-104.9672191
08031003004,"Census Tract 30.04, Denver County, Colorado",6559.0,5495.0,229.0,0.0,332.0,0.0,383.0,"Denver city, Colorado",False,-0.828,0.826,-0.943,0.112,-0.253,-0.054,+39.6703116,-104.9660675
08031003101,"Census Tract 31.01, Denver County, Colorado",1812.0,989.0,314.0,4.0,1.0,0.0,391.0,"Denver city, Colorado",False,19.117,-28.348,-0.969,-1.198,6.29,0.0,+39.7487003,-104.9665497
08031003102,"Census Tract 31.02, Denver County, Colorado",3527.0,2659.0,257.0,2.0,161.0,0.0,340.0,"Denver city, Colorado",False,15.39,-14.535,-1.913,2.632,-3.743,0.0,+39.7433727,-104.9665826
08031003201,"Census Tract 32.01, Denver County, Colorado",5853.0,5073.0,77.0,0.0,36.0,33.0,424.0,"Denver city, Colorado",False,8.239,-5.02,-1.756,-2.038,-3.004,0.564,+39.7345851,-104.9688689
08031003202,"Census Tract 32.02, Denver County, Colorado",3456.0,2950.0,134.0,29.0,105.0,0.0,161.0,"Denver city, Colorado",False,4.413,-3.416,-0.738,0.771,-2.601,-0.099,+39.7345677,-104.9623127
08031003203,"Census Tract 32.03, Denver County, Colorado",3032.0,2800.0,29.0,46.0,11.0,0.0,96.0,"Denver city, Colorado",False,-1.795,0.417,1.113,-1.959,0.675,0.0,+39.7222971,-104.9659994
08031003300,"Census Tract 33, Denver County, Colorado",3215.0,2757.0,26.0,10.0,68.0,0.0,327.0,"Denver city, Colorado",False,-6.49,-0.627,-0.335,0.14,6.58,0.0,+39.7291072,-104.9507867
08031003401,"Census Tract 34.01, Denver County, Colorado",2658.0,2398.0,15.0,5.0,24.0,6.0,176.0,"Denver city, Colorado",False,-3.49,-0.069,-0.403,-0.871,3.539,0.142,+39.7118123,-104.9668409
08031003402,"Census Tract 34.02, Denver County, Colorado",4856.0,4327.0,38.0,41.0,96.0,0.0,281.0,"Denver city, Colorado",False,-3.351,0.199,0.12,-0.405,2.237,0.0,+39.6974964,-104.9657821
08031003500,"Census Tract 35, Denver County, Colorado",6636.0,832.0,228.0,110.0,12.0,0.0,5448.0,"Denver city, Colorado",True,2.639,-2.214,0.674,-0.207,-0.922,-0.015,+39.7825208,-104.9574846
08031003601,"Census Tract 36.01, Denver County, Colorado",4552.0,1694.0,629.0,18.0,5.0,0.0,2119.0,"Denver city, Colorado",True,31.262,-8.118,-0.347,-0.226,-24.431,-0.018,+39.7671839,-104.9662007
08031003602,"Census Tract 36.02, Denver County, Colorado",4862.0,1442.0,704.0,13.0,72.0,14.0,2423.0,"Denver city, Colorado",True,23.665,-25.911,-0.487,-0.878,-0.378,0.288,+39.7674098,-104.9500860
08031003603,"Census Tract 36.03, Denver County, Colorado",3530.0,1868.0,1187.0,0.0,0.0,0.0,317.0,"Denver city, Colorado",True,43.111,-32.833,-0.77,-0.859,-12.709,-0.089,+39.7565108,-104.9502093
08031003701,"Census Tract 37.01, Denver County, Colorado",3677.0,2843.0,304.0,0.0,87.0,0.0,414.0,"Denver city, Colorado",False,4.167,-4.026,-0.895,-0.507,1.226,-0.141,+39.7444161,-104.9509827
08031003702,"Census Tract 37.02, Denver County, Colorado",4994.0,3961.0,268.0,0.0,64.0,0.0,450.0,"Denver city, Colorado",False,2.575,-2.618,-1.338,-1.573,-1.671,0.0,+39.7365218,-104.9543646
08031003703,"Census Tract 37.03, Denver County, Colorado",3266.0,2435.0,61.0,0.0,94.0,0.0,519.0,"Denver city, Colorado",False,3.918,-10.472,-1.768,0.161,3.682,0.0,+39.7361181,-104.9450408
08031003800,"Census Tract 38, Denver County, Colorado",6850.0,5820.0,146.0,0.0,327.0,0.0,371.0,"Denver city, Colorado",False,-5.489,0.759,-0.597,1.811,1.458,-0.04,+39.7193788,-104.9492942
08031003901,"Census Tract 39.01, Denver County, Colorado",4204.0,3669.0,139.0,0.0,88.0,0.0,211.0,"Denver city, Colorado",False,-7.121,2.49,-0.245,0.352,2.488,0.0,+39.7049882,-104.9504384
08031003902,"Census Tract 39.02, Denver County, Colorado",4502.0,3869.0,17.0,4.0,213.0,0.0,307.0,"Denver city, Colorado",False,-2.672,-0.683,-0.542,1.834,0.967,0.0,+39.6904268,-104.9497575
08031004002,"Census Tract 40.02, Denver County, Colorado",3525.0,2814.0,0.0,10.0,89.0,10.0,494.0,"Denver city, Colorado",False,-12.483,-1.413,0.054,0.521,10.006,0.284,+39.6614740,-104.9500752
08031004003,"Census Tract 40.03, Denver County, Colorado",4217.0,3230.0,12.0,17.0,113.0,0.0,590.0,"Denver city, Colorado",False,-9.98,-2.31,-0.502,1.014,6.398,0.0,+39.6599028,-104.9311833
08031004004,"Census Tract 40.04, Denver County, Colorado",1965.0,1723.0,41.0,0.0,31.0,0.0,145.0,"Denver city, Colorado",False,-2.275,-0.555,-0.47,-0.301,3.562,0.0,+39.6475695,-104.9218531
08031004005,"Census Tract 40.05, Denver County, Colorado",3299.0,2423.0,122.0,35.0,117.0,0.0,535.0,"Denver city, Colorado",False,-5.235,0.072,0.182,-3.706,7.572,-0.037,+39.6814221,-104.9504003
08031004006,"Census Tract 40.06, Denver County, Colorado",4857.0,3653.0,16.0,13.0,431.0,0.0,438.0,"Denver city, Colorado",False,-14.813,-0.758,-0.215,5.178,4.815,-0.024,+39.6729505,-104.9500398
08031004101,"Census Tract 41.01, Denver County, Colorado",4589.0,1323.0,1621.0,46.0,78.0,0.0,1118.0,"Denver city, Colorado",True,24.482,-33.816,0.455,1.122,-0.964,0.0,+39.7757235,-104.9318372
08031004102,"Census Tract 41.02, Denver County, Colorado",5054.0,1383.0,1905.0,0.0,24.0,0.0,1506.0,"Denver city, Colorado",True,22.447,-33.729,-0.441,0.034,7.086,0.0,+39.7720890,-104.9123002
08031004103,"Census Tract 41.03, Denver County, Colorado",5593.0,3403.0,1355.0,0.0,88.0,42.0,498.0,"Denver city, Colorado",False,24.066,-29.284,-0.757,0.021,1.863,0.694,+39.7565221,-104.9314085
08031004104,"Census Tract 41.04, Denver County, Colorado",4758.0,2373.0,1474.0,0.0,55.0,0.0,537.0,"Denver city, Colorado",True,32.404,-34.124,-0.628,-0.268,-3.942,0.0,+39.7565128,-104.9128475
08031004106,"Census Tract 41.06, Denver County, Colorado",13570.0,9972.0,858.0,206.0,574.0,0.0,1346.0,"Denver city, Colorado",False,42.729,-26.764,-0.113,3.337,-23.712,0.0,+39.7796085,-104.8757375
08031004107,"Census Tract 41.07, Denver County, Colorado",13352.0,9711.0,863.0,21.0,814.0,19.0,1258.0,"Denver city, Colorado",False,,,,,,,+39.7759183,-104.8940178
08031004201,"Census Tract 42.01, Denver County, Colorado",4979.0,4035.0,243.0,35.0,113.0,0.0,416.0,"Denver city, Colorado",False,1.394,-3.515,0.156,-0.113,-0.324,-0.022,+39.7455935,-104.9314404
08031004202,"Census Tract 42.02, Denver County, Colorado",4567.0,3462.0,577.0,10.0,176.0,0.0,257.0,"Denver city, Colorado",False,7.063,-7.583,-0.235,1.005,-1.809,-0.05,+39.7455989,-104.9128777
08031004301,"Census Tract 43.01, Denver County, Colorado",5086.0,3781.0,195.0,15.0,155.0,83.0,616.0,"Denver city, Colorado",False,4.672,-5.414,-0.608,-5.718,1.099,1.592,+39.7328898,-104.9355186
08031004302,"Census Tract 43.02, Denver County, Colorado",2662.0,2246.0,76.0,13.0,0.0,0.0,292.0,"Denver city, Colorado",False,2.734,-2.609,-0.436,-3.415,2.934,0.0,+39.7329350,-104.9264364
08031004303,"Census Tract 43.03, Denver County, Colorado",4199.0,3592.0,59.0,0.0,80.0,19.0,254.0,"Denver city, Colorado",False,-7.595,0.151,-0.102,0.036,2.593,0.452,+39.7183935,-104.9315454
08031004304,"Census Tract 43.04, Denver County, Colorado",5739.0,4796.0,167.0,91.0,71.0,0.0,477.0,"Denver city, Colorado",False,4.916,-6.787,0.767,-1.22,0.421,0.0,+39.7328580,-104.9129517
08031004306,"Census Tract 43.06, Denver County, Colorado",5325.0,4243.0,330.0,48.0,158.0,0.0,409.0,"Denver city, Colorado",False,2.66,-4.178,0.089,-0.033,0.223,0.0,+39.7185505,-104.9129970
08031004403,"Census Tract 44.03, Denver County, Colorado",4342.0,1881.0,716.0,75.0,21.0,0.0,1577.0,"Denver city, Colorado",True,14.625,-11.137,0.243,-1.119,-3.815,-0.02,+39.7443925,-104.8948131
08031004404,"Census Tract 44.04, Denver County, Colorado",6698.0,1902.0,2445.0,52.0,743.0,0.0,1313.0,"Denver city, Colorado",False,-4.163,-2.844,-0.365,8.634,-4.044,-0.02,+39.7365094,-104.8940558
08031004405,"Census Tract 44.05, Denver County, Colorado",8976.0,6419.0,468.0,167.0,552.0,0.0,1206.0,"Denver city, Colorado",False,10.13,-17.058,0.133,3.434,2.276,0.0,+39.7197979,-104.8889134
08031004503,"Census Tract 45.03, Denver County, Colorado",4390.0,704.0,139.0,14.0,0.0,0.0,3533.0,"Denver city, Colorado",False,-4.354,2.226,-1.247,-1.212,5.049,-0.027,+39.7005623,-105.0458901
08031004504,"Census Tract 45.04, Denver County, Colorado",4638.0,422.0,187.0,129.0,139.0,0.0,3798.0,"Denver city, Colorado",False,-11.291,3.092,1.215,1.785,6.46,-0.027,+39.7077750,-105.0468182
08031004505,"Census Tract 45.05, Denver County, Colorado",4884.0,523.0,140.0,67.0,195.0,0.0,3995.0,"Denver city, Colorado",False,-2.887,0.921,-0.365,-1.819,5.175,-0.052,+39.7076012,-105.0324194
