GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
26163500100,"Census Tract 5001, Wayne County, Michigan",3369.0,199.0,3123.0,0.0,0.0,0.0,15.0,"Detroit city, Michigan",False,-25.955,28.142,-0.67,-0.994,-0.918,0.0,+42.4444012,-082.9509210
26163500200,"Census Tract 5002, Wayne County, Michigan",2834.0,175.0,2640.0,0.0,0.0,0.0,19.0,"Detroit city, Michigan",False,-16.984,20.649,-0.742,-1.811,-0.31,0.0,+42.4461070,-082.9633179
26163500300,"Census Tract 5003, Wayne County, Michigan",1900.0,101.0,1744.0,0.0,21.0,0.0,6.0,"Detroit city, Michigan",False,-9.013,10.96,-0.868,-1.609,-0.661,0.0,+42.4388723,-082.9656436
26163500400,"Census Tract 5004, Wayne County, Michigan",1052.0,27.0,999.0,0.0,0.0,0.0,6.0,"Detroit city, Michigan",False,-1.241,0.452,-0.221,-0.797,-0.006,0.0,+42.4261558,-082.9793388
26163500500,"Census Tract 5005, Wayne County, Michigan",1289.0,27.0,1255.0,0.0,0.0,0.0,7.0,"Detroit city, Michigan",False,-1.514,2.481,-0.41,-0.384,-0.071,0.0,+42.4241342,-082.9679434
26163500600,"Census Tract 5006, Wayne County, Michigan",2891.0,4.0,2884.0,0.0,0.0,0.0,0.0,"Detroit city, Michigan",False,-6.819,9.247,-0.261,-1.258,-0.8,0.0,+42.4315247,-082.9651767
26163500700,"Census Tract 5007, Wayne County, Michigan",4608.0,147.0,4292.0,102.0,0.0,0.0,0.0,"Detroit city, Michigan",False,-21.317,20.228,1.962,-0.503,-1.321,0.0,+42.4296143,-082.9473354
26163500800,"Census Tract 5008, Wayne County, Michigan",3179.0,219.0,2844.0,22.0,34.0,0.0,10.0,"Detroit city, Michigan",False,-26.149,27.121,0.191,-0.509,-1.61,0.0,+42.4246567,-082.9351961
26163500900,"Census Tract 5009, Wayne County, Michigan",3550.0,129.0,3351.0,9.0,0.0,0.0,25.0,"Detroit city, Michigan",False,-6.803,7.585,0.168,-1.399,-0.329,0.0,+42.4223547,-082.9475915
26163501000,"Census Tract 5010, Wayne County, Michigan",3094.0,48.0,3036.0,0.0,0.0,0.0,0.0,"Detroit city, Michigan",False,-4.385,6.528,-0.171,-1.026,-0.684,0.0,+42.4187277,-082.9515643
26163501100,"Census Tract 5011, Wayne County, Michigan",2886.0,62.0,2662.0,0.0,0.0,0.0,135.0,"Detroit city, Michigan",False,-1.859,-2.464,-0.135,-0.231,3.946,0.0,+42.4128318,-082.9601613
26163501200,"Census Tract 5012, Wayne County, Michigan",1648.0,21.0,1602.0,0.0,0.0,0.0,0.0,"Detroit city, Michigan",False,-2.314,1.858,-0.187,-0.156,-0.655,0.0,+42.4114378,-082.9513106
26163501300,"Census Tract 5013, Wayne County, Michigan",3011.0,52.0,2924.0,0.0,0.0,10.0,16.0,"Detroit city, Michigan",False,-2.671,2.683,-0.298,-0.158,0.005,0.332,+42.4033691,-082.9505464
26163501400,"Census Tract 5014, Wayne County, Michigan",3258.0,546.0,2660.0,0.0,0.0,0.0,1.0,"Detroit city, Michigan",False,0.76,-0.378,-0.289,-0.378,-0.992,-0.022,+42.4091565,-082.9385211
26163501500,"Census Tract 5015, Wayne County, Michigan",4516.0,437.0,4014.0,0.0,0.0,0.0,26.0,"Detroit city, Michigan",False,-35.217,38.394,-0.539,-2.318,-0.714,-0.023,+42.4183458,-082.9264930
26163501600,"Census Tract 5016, Wayne County, Michigan",2149.0,359.0,1737.0,0.0,0.0,0.0,21.0,"Detroit city, Michigan",False,-38.556,40.307,-0.758,-0.853,-1.203,0.0,+42.4129438,-082.9207135
26163501700,"Census Tract 5017, Wayne County, Michigan",1888.0,532.0,1259.0,29.0,41.0,0.0,33.0,"Detroit city, Michigan",False,-26.963,26.93,0.409,1.01,-0.189,-0.035,+42.4042423,-082.9212936
26163501800,"Census Tract 5018, Wayne County, Michigan",4733.0,1044.0,3207.0,20.0,0.0,0.0,139.0,"Detroit city, Michigan",False,-9.763,2.874,-0.029,-1.017,1.6,0.0,+42.3983391,-082.9316723
26163501900,"Census Tract 5019, Wayne County, Michigan",2872.0,140.0,2621.0,0.0,6.0,0.0,84.0,"Detroit city, Michigan",False,-3.54,1.226,-0.123,-0.16,2.162,0.0,+42.3952603,-082.9401000
26163502000,"Census Tract 5020, Wayne County, Michigan",2076.0,135.0,1849.0,1.0,0.0,0.0,22.0,"Detroit city, Michigan",False,2.321,-5.038,-0.213,-0.058,0.131,0.0,+42.3932938,-082.9469658
26163503100,"Census Tract 5031, Wayne County, Michigan",3096.0,127.0,2935.0,0.0,0.0,0.0,5.0,"Detroit city, Michigan",False,-11.519,13.409,-0.444,-1.775,-0.519,0.0,+42.4461390,-082.9778892
26163503200,"Census Tract 5032, Wayne County, Michigan",2453.0,124.0,2329.0,0.0,0.0,0.0,0.0,"Detroit city, Michigan",False,-6.781,10.877,-0.294,-2.45,-0.823,-0.02,+42.4454982,-082.9953169
26163503300,"Census Tract 5033, Wayne County, Michigan",3508.0,46.0,3410.0,0.0,31.0,0.0,11.0,"Detroit city, Michigan",False,-7.196,10.841,-0.312,-3.378,-0.033,0.0,+42.4383158,-082.9950446
26163503400,"Census Tract 5034, Wayne County, Michigan",955.0,44.0,831.0,0.0,75.0,0.0,0.0,"Detroit city, Michigan",False,-5.968,19.409,-0.529,-12.133,-0.916,0.0,+42.4389974,-082.9801546
26163503500,"Census Tract 5035, Wayne County, Michigan",2784.0,9.0,2716.0,32.0,27.0,0.0,0.0,"Detroit city, Michigan",False,-4.355,8.637,0.854,-4.158,-0.73,0.0,+42.4312541,-082.9922641
26163503600,"Census Tract 5036, Wayne County, Michigan",1431.0,27.0,1269.0,0.0,81.0,0.0,4.0,"Detroit city, Michigan",False,-5.048,11.302,-0.545,-8.634,-0.447,0.0,+42.4249818,-082.9967805
26163503900,"Census Tract 5039, Wayne County, Michigan",2071.0,52.0,1904.0,0.0,0.0,0.0,94.0,"Detroit city, Michigan",False,-0.605,-2.87,-0.142,-0.873,3.595,0.0,+42.4134536,-082.9873463
26163504000,"Census Tract 5040, Wayne County, Michigan",1241.0,20.0,1201.0,18.0,2.0,0.0,0.0,"Detroit city, Michigan",False,-1.511,1.402,1.331,0.121,-0.949,0.0,+42.4169793,-082.9776759
26163504100,"Census Tract 5041, Wayne County, Michigan",1357.0,0.0,1353.0,0.0,0.0,0.0,0.0,"Detroit city, Michigan",False,-3.519,4.039,-0.098,-0.065,-0.489,0.0,+42.4153882,-082.9679696
26163504200,"Census Tract 5042, Wayne County, Michigan",1926.0,81.0,1835.0,0.0,0.0,0.0,0.0,"Detroit city, Michigan",False,2.97,-2.729,-0.19,-0.048,-0.428,0.0,+42.4081536,-082.9717594
