GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
48141000101,"Census Tract 1.01, El Paso County, Texas",7291.0,1600.0,489.0,37.0,119.0,0.0,4893.0,"El Paso city, Texas",False,-13.751,-4.021,0.016,-4.017,20.085,-0.032,+31.8862970,-106.4292123
48141000106,"Census Tract 1.06, El Paso County, Texas",5897.0,1372.0,875.0,10.0,319.0,0.0,3281.0,"El Paso city, Texas",False,-17.189,0.368,-0.287,-0.134,17.304,-0.076,+31.9205526,-106.4304194
48141000107,"Census Tract 1.07, El Paso County, Texas",5161.0,826.0,372.0,25.0,72.0,0.0,3828.0,"El Paso city, Texas",False,-6.322,-2.489,-0.03,-1.754,10.075,-0.033,+31.9206798,-106.4147125
48141000108,"Census Tract 1.08, El Paso County, Texas",2558.0,635.0,213.0,14.0,43.0,0.0,1618.0,"El Paso city, Texas",False,-4.857,2.883,0.027,0.155,0.562,-0.069,+31.9196203,-106.4013581
48141000109,"Census Tract 1.09, El Paso County, Texas",3872.0,470.0,228.0,16.0,0.0,0.0,3044.0,"El Paso city, Texas",False,-6.992,1.344,-0.149,-1.539,4.856,-0.024,+31.9099400,-106.4155944
48141000110,"Census Tract 1.10, El Paso County, Texas",3995.0,559.0,657.0,0.0,41.0,0.0,2701.0,"El Paso city, Texas",False,-15.97,6.981,-0.676,-1.543,10.552,-0.081,+31.9025703,-106.4156657
48141000111,"Census Tract 1.11, El Paso County, Texas",2715.0,816.0,200.0,0.0,46.0,0.0,1570.0,"El Paso city, Texas",False,-14.386,-7.011,-0.921,-3.157,22.841,-0.035,+31.9063474,-106.4373817
48141000112,"Census Tract 1.12, El Paso County, Texas",4350.0,678.0,178.0,29.0,90.0,0.0,3324.0,"El Paso city, Texas",False,-11.265,-5.27,-0.014,0.346,15.116,-0.106,+31.9058466,-106.4289587
48141000204,"Census Tract 2.04, El Paso County, Texas",5771.0,1136.0,401.0,0.0,39.0,0.0,4003.0,"El Paso city, Texas",False,-9.46,-1.378,-0.6,-1.875,10.305,0.0,+31.8896868,-106.4004849
48141000205,"Census Tract 2.05, El Paso County, Texas",4411.0,600.0,380.0,19.0,27.0,0.0,3404.0,"El Paso city, Texas",False,-8.001,2.154,0.036,-0.966,7.701,0.0,+31.8864723,-106.4123370
48141000206,"Census Tract 2.06, El Paso County, Texas",4624.0,544.0,151.0,40.0,16.0,0.0,3839.0,"El Paso city, Texas",False,-13.008,-0.3,0.359,-1.131,13.641,0.0,+31.8743006,-106.4153585
48141000207,"Census Tract 2.07, El Paso County, Texas",4750.0,640.0,162.0,16.0,113.0,0.0,3726.0,"El Paso city, Texas",False,-8.374,-3.848,0.042,0.54,9.95,-0.028,+31.9037320,-106.3965237
48141000208,"Census Tract 2.08, El Paso County, Texas",4253.0,605.0,402.0,93.0,58.0,0.0,3177.0,"El Paso city, Texas",False,-7.623,2.193,1.892,-0.475,6.208,-0.028,+31.9180554,-106.3860004
48141000301,"Census Tract 3.01, El Paso County, Texas",5692.0,619.0,84.0,41.0,0.0,0.0,4926.0,"El Paso city, Texas",True,-1.49,-3.039,0.454,-0.767,4.781,0.0,+31.8573628,-106.4296231
48141000302,"Census Tract 3.02, El Paso County, Texas",5824.0,199.0,44.0,0.0,50.0,0.0,5473.0,"El Paso city, Texas",False,-8.156,-2.077,-0.507,-0.106,10.105,0.0,+31.8618680,-106.4175432
48141000401,"Census Tract 4.01, El Paso County, Texas",5936.0,1544.0,419.0,15.0,236.0,0.0,3606.0,"El Paso city, Texas",False,-24.262,-1.411,-0.451,0.049,24.949,-0.088,+31.8419201,-106.4740235
48141000403,"Census Tract 4.03, El Paso County, Texas",3391.0,351.0,166.0,0.0,25.0,0.0,2800.0,"El Paso city, Texas",False,-11.76,0.081,-0.757,-1.257,12.593,-0.206,+31.8605493,-106.4453315
48141000404,"Census Tract 4.04, El Paso County, Texas",3675.0,179.0,108.0,8.0,125.0,0.0,3246.0,"El Paso city, Texas",False,-2.183,-0.854,-0.036,2.707,0.284,-0.069,+31.8636267,-106.4365338
48141000600,"Census Tract 6, El Paso County, Texas",4762.0,243.0,222.0,26.0,55.0,0.0,4144.0,"El Paso city, Texas",False,-5.1,1.86,0.204,0.577,1.011,-0.021,+31.8322690,-106.4485058
48141000800,"Census Tract 8, El Paso County, Texas",5544.0,184.0,57.0,0.0,0.0,0.0,5303.0,"El Paso city, Texas",False,-4.704,-2.154,-0.099,-0.564,7.72,-0.017,+31.8167719,-106.4517236
48141000900,"Census Tract 9, El Paso County, Texas",9279.0,1346.0,891.0,163.0,188.0,0.0,6700.0,"El Paso city, Texas",False,4.487,8.702,1.466,1.576,-15.883,-0.093,+31.8029414,-106.4764766
48141001001,"Census Tract 10.01, El Paso County, Texas",3097.0,149.0,10.0,0.0,29.0,0.0,2885.0,"El Paso city, Texas",False,-3.385,-0.196,-0.231,0.561,2.535,-0.058,+31.7996854,-106.4619536
