GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
48439101302,"Census Tract 1013.02, Tarrant County, Texas",3438.0,724.0,1032.0,9.0,0.0,0.0,1614.0,"Fort Worth city, Texas",False,-15.49,-13.708,-0.586,-2.545,30.861,0.0,+32.7267357,-097.2169302
48439106400,"Census Tract 1064, Tarrant County, Texas",3399.0,1061.0,607.0,0.0,30.0,0.0,1616.0,"Fort Worth city, Texas",False,-29.339,-3.99,-1.478,0.791,31.931,0.0,+32.6937159,-097.2341883
48439106509,"Census Tract 1065.09, Tarrant County, Texas",5576.0,2014.0,1872.0,22.0,685.0,26.0,765.0,"Fort Worth city, Texas",False,-34.042,18.731,-0.508,7.848,4.415,0.348,+32.7844649,-097.1588166
48439106514,"Census Tract 1065.14, Tarrant County, Texas",5453.0,1233.0,3311.0,0.0,219.0,0.0,514.0,"Fort Worth city, Texas",False,-36.628,35.588,-0.93,-0.807,0.332,-0.029,+32.7509863,-097.1746810
48439111405,"Census Tract 1114.05, Tarrant County, Texas",2682.0,1461.0,357.0,0.0,54.0,0.0,768.0,"Fort Worth city, Texas",False,-31.108,11.769,-1.041,1.473,17.61,0.0,+32.6336509,-097.2305145
48439113102,"Census Tract 1131.02, Tarrant County, Texas",4604.0,2312.0,1041.0,0.0,285.0,0.0,721.0,"Fort Worth city, Texas",False,-23.729,11.305,-0.713,0.812,7.389,0.0,+32.7916818,-097.1185548
48439113108,"Census Tract 1131.08, Tarrant County, Texas",4657.0,3502.0,223.0,0.0,309.0,0.0,437.0,"Fort Worth city, Texas",False,-12.071,2.458,-0.613,0.945,5.607,-0.025,+32.7684903,-097.1330818
48439121606,"Census Tract 1216.06, Tarrant County, Texas",3385.0,2246.0,304.0,0.0,224.0,38.0,420.0,"Fort Worth city, Texas",False,-17.236,3.348,-1.008,1.471,8.375,1.123,+32.7211139,-097.1925304
48121020306,"Census Tract 203.06, Denton County, Texas",7227.0,5127.0,349.0,74.0,484.0,0.0,1025.0,"Fort Worth city, Texas",False,-15.285,2.967,-0.561,5.417,5.312,-0.044,+33.0010074,-097.2546596
48121020308,"Census Tract 203.08, Denton County, Texas",12185.0,8379.0,644.0,263.0,124.0,0.0,2480.0,"Fort Worth city, Texas",False,-20.604,4.319,0.807,0.086,13.297,0.0,+33.0439289,-097.3331914
