GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06019000100,"Census Tract 1, Fresno County, California",3676.0,737.0,421.0,256.0,177.0,11.0,2207.0,"Fresno city, California",False,-1.766,-6.369,6.02,1.367,4.466,0.299,+36.7369244,-119.7927732
06019000200,"Census Tract 2, Fresno County, California",2689.0,165.0,319.0,19.0,217.0,0.0,1981.0,"Fresno city, California",False,1.848,-15.583,-0.695,-4.975,20.164,0.0,+36.7354931,-119.8055062
06019000300,"Census Tract 3, Fresno County, California",4225.0,222.0,950.0,11.0,104.0,19.0,2801.0,"Fresno city, California",False,2.633,-12.423,-0.028,-6.063,12.782,0.45,+36.7264620,-119.8010347
06019000400,"Census Tract 4, Fresno County, California",5498.0,436.0,160.0,70.0,600.0,0.0,4284.0,"Fresno city, California",True,-0.86,-2.695,-0.019,5.435,-0.753,0.0,+36.7276566,-119.7762088
06019000501,"Census Tract 5.01, Fresno County, California",2532.0,207.0,177.0,18.0,64.0,35.0,2049.0,"Fresno city, California",False,-0.412,-1.053,-0.713,-9.531,11.458,1.382,+36.7426772,-119.7748470
06019000502,"Census Tract 5.02, Fresno County, California",3594.0,509.0,60.0,50.0,321.0,0.0,2624.0,"Fresno city, California",False,5.575,-6.375,-0.033,-3.127,3.545,0.0,+36.7444099,-119.7815454
06019000600,"Census Tract 6, Fresno County, California",4750.0,911.0,637.0,34.0,130.0,0.0,3035.0,"Fresno city, California",True,4.184,4.68,-1.441,-9.082,2.261,0.0,+36.7430630,-119.7933565
06019000700,"Census Tract 7, Fresno County, California",3664.0,95.0,707.0,13.0,311.0,0.0,2448.0,"Fresno city, California",False,-2.979,-16.203,-0.472,3.573,13.844,-0.024,+36.7340933,-119.8272190
06019000800,"Census Tract 8, Fresno County, California",1292.0,205.0,112.0,7.0,62.0,0.0,903.0,"Fresno city, California",False,11.196,-8.316,-0.095,-7.94,4.924,0.0,+36.7101875,-119.8353195
06019000901,"Census Tract 9.01, Fresno County, California",2759.0,19.0,423.0,61.0,581.0,0.0,1727.0,"Fresno city, California",True,-0.708,-23.152,1.833,1.693,22.401,0.0,+36.7104696,-119.8043010
06019000902,"Census Tract 9.02, Fresno County, California",5191.0,93.0,606.0,43.0,564.0,0.0,3800.0,"Fresno city, California",True,0.395,-26.81,0.45,-8.5,33.01,0.0,+36.7177690,-119.8042772
06019001000,"Census Tract 10, Fresno County, California",4255.0,74.0,929.0,32.0,596.0,0.0,2585.0,"Fresno city, California",False,-2.905,-22.875,0.158,-2.975,28.004,0.0,+36.6977507,-119.8043140
06019001100,"Census Tract 11, Fresno County, California",2780.0,70.0,550.0,2.0,27.0,0.0,2058.0,"Fresno city, California",False,-0.025,-20.867,-0.676,-0.562,19.579,0.0,+36.7096962,-119.7816972
06019001201,"Census Tract 12.01, Fresno County, California",5935.0,316.0,234.0,188.0,466.0,0.0,4812.0,"Fresno city, California",True,-2.646,-1.377,2.016,3.723,-0.159,-0.038,+36.7113232,-119.7578793
06019001202,"Census Tract 12.02, Fresno County, California",4561.0,66.0,233.0,8.0,587.0,30.0,3645.0,"Fresno city, California",False,-3.466,-9.37,-0.798,1.382,12.174,0.563,+36.7026848,-119.7410276
06019001301,"Census Tract 13.01, Fresno County, California",5342.0,174.0,10.0,68.0,315.0,0.0,4803.0,"Fresno city, California",False,-6.892,-2.522,0.069,-2.145,12.532,-0.05,+36.7322589,-119.7499923
06019001303,"Census Tract 13.03, Fresno County, California",2420.0,28.0,244.0,17.0,400.0,0.0,1644.0,"Fresno city, California",False,-4.451,-0.41,-0.324,-13.167,15.293,-0.023,+36.7250069,-119.7591482
06019001304,"Census Tract 13.04, Fresno County, California",5383.0,282.0,528.0,2.0,1124.0,0.0,3432.0,"Fresno city, California",False,-0.369,-0.684,-0.989,-8.815,11.115,-0.023,+36.7250147,-119.7455349
06019001407,"Census Tract 14.07, Fresno County, California",4798.0,465.0,556.0,26.0,840.0,0.0,2838.0,"Fresno city, California",False,-21.815,-6.34,-0.389,6.399,21.356,0.0,+36.7322737,-119.7273757
06019001408,"Census Tract 14.08, Fresno County, California",2677.0,1006.0,75.0,36.0,268.0,5.0,1171.0,"Fresno city, California",False,6.072,-15.126,0.414,-1.097,5.949,0.187,+36.7252331,-119.7276686
06019001409,"Census Tract 14.09, Fresno County, California",2174.0,856.0,97.0,23.0,464.0,0.0,612.0,"Fresno city, California",False,10.303,-4.728,-0.13,6.329,-16.759,-0.066,+36.7290408,-119.7091895
06019001410,"Census Tract 14.10, Fresno County, California",12169.0,1043.0,585.0,153.0,3517.0,0.0,6590.0,"Fresno city, California",False,-20.5,-4.383,0.069,13.887,9.244,-0.066,+36.7108631,-119.7165706
06019001411,"Census Tract 14.11, Fresno County, California",6926.0,1246.0,358.0,98.0,1933.0,19.0,3167.0,"Fresno city, California",False,-19.738,-2.449,-0.042,10.718,10.333,0.257,+36.7433674,-119.6911747
06019001412,"Census Tract 14.12, Fresno County, California",2979.0,726.0,32.0,4.0,902.0,0.0,1240.0,"Fresno city, California",False,-13.357,-6.544,-1.323,13.088,6.232,-0.017,+36.7435859,-119.6639754
06019001413,"Census Tract 14.13, Fresno County, California",6823.0,1570.0,166.0,35.0,1730.0,12.0,3197.0,"Fresno city, California",False,-28.944,-2.651,-1.441,16.868,15.154,0.176,+36.7215506,-119.6658663
06019001414,"Census Tract 14.14, Fresno County, California",8555.0,1770.0,427.0,53.0,2675.0,24.0,3534.0,"Fresno city, California",False,-31.264,-0.093,-1.334,22.781,9.607,0.281,+36.7172762,-119.6864585
06019001500,"Census Tract 15, Fresno County, California",2407.0,464.0,30.0,0.0,93.0,0.0,1811.0,"Fresno city, California",False,-6.073,-0.733,-1.113,0.031,8.091,0.0,+36.6871053,-119.7170769
06019001800,"Census Tract 18, Fresno County, California",4837.0,1285.0,17.0,20.0,241.0,0.0,3210.0,"Fresno city, California",False,-11.421,-0.865,-1.388,-0.692,13.83,-0.09,+36.6523126,-119.8133073
06019001900,"Census Tract 19, Fresno County, California",2868.0,458.0,310.0,126.0,255.0,0.0,1801.0,"Fresno city, California",False,-17.226,2.907,3.448,0.384,14.441,0.0,+36.7085379,-119.8872955
06019002000,"Census Tract 20, Fresno County, California",6284.0,860.0,646.0,75.0,471.0,0.0,4178.0,"Fresno city, California",False,-15.373,3.994,-0.873,-5.816,18.2,-0.05,+36.7572835,-119.8328811
06019002100,"Census Tract 21, Fresno County, California",6200.0,1436.0,584.0,41.0,19.0,0.0,4098.0,"Fresno city, California",False,-11.687,4.947,-0.734,-6.045,13.7,-0.018,+36.7590503,-119.8157426
06019002200,"Census Tract 22, Fresno County, California",3617.0,1242.0,174.0,32.0,68.0,74.0,1937.0,"Fresno city, California",True,-6.85,-0.831,-1.561,-2.938,8.57,2.021,+36.7585393,-119.8037024
06019002300,"Census Tract 23, Fresno County, California",3559.0,1117.0,105.0,69.0,16.0,0.0,2256.0,"Fresno city, California",False,3.502,-2.595,-0.471,-8.723,8.712,0.0,+36.7561221,-119.7942162
06019002400,"Census Tract 24, Fresno County, California",4401.0,313.0,152.0,0.0,992.0,0.0,2934.0,"Fresno city, California",False,-5.917,-2.583,-1.888,3.536,7.123,-0.124,+36.7583430,-119.7810169
06019002501,"Census Tract 25.01, Fresno County, California",4720.0,346.0,386.0,38.0,646.0,0.0,3247.0,"Fresno city, California",False,-5.625,4.454,-0.078,-10.671,11.23,-0.019,+36.7613690,-119.7634701
06019002502,"Census Tract 25.02, Fresno County, California",4577.0,193.0,40.0,38.0,891.0,19.0,3367.0,"Fresno city, California",False,-2.421,-2.445,-0.859,-13.978,19.282,0.415,+36.7540821,-119.7634761
06019002601,"Census Tract 26.01, Fresno County, California",4971.0,164.0,19.0,23.0,392.0,0.0,4357.0,"Fresno city, California",False,-4.95,-2.871,-0.912,0.609,8.205,-0.017,+36.7468175,-119.7634304
06019002602,"Census Tract 26.02, Fresno County, California",3480.0,464.0,262.0,5.0,130.0,0.0,2564.0,"Fresno city, California",False,-8.141,4.308,-0.872,0.486,3.016,-0.087,+36.7395172,-119.7634540
06019002701,"Census Tract 27.01, Fresno County, California",4209.0,334.0,7.0,54.0,316.0,0.0,3523.0,"Fresno city, California",False,-10.358,-3.337,-0.551,1.136,13.869,0.0,+36.7468158,-119.7453946
06019002702,"Census Tract 27.02, Fresno County, California",4891.0,333.0,212.0,0.0,333.0,2.0,3881.0,"Fresno city, California",False,-0.169,0.747,-1.13,-15.76,14.119,0.041,+36.7395305,-119.7453908
06019002800,"Census Tract 28, Fresno County, California",4435.0,140.0,166.0,84.0,813.0,0.0,3271.0,"Fresno city, California",False,-7.773,1.02,0.377,-19.3,26.885,0.0,+36.7577975,-119.7453754
06019002903,"Census Tract 29.03, Fresno County, California",3791.0,630.0,313.0,0.0,788.0,0.0,1976.0,"Fresno city, California",False,-0.762,1.892,-1.278,-2.102,0.454,-0.05,+36.7390889,-119.7262432
06019002904,"Census Tract 29.04, Fresno County, California",3132.0,393.0,261.0,51.0,725.0,0.0,1710.0,"Fresno city, California",True,-4.832,1.969,0.35,0.26,2.929,-0.05,+36.7468034,-119.7272849
06019002905,"Census Tract 29.05, Fresno County, California",3046.0,413.0,188.0,17.0,498.0,0.0,1894.0,"Fresno city, California",False,-11.242,-3.285,-0.624,-0.438,14.694,-0.025,+36.7540333,-119.7262741
06019002906,"Census Tract 29.06, Fresno County, California",5229.0,524.0,383.0,52.0,1326.0,52.0,2881.0,"Fresno city, California",False,-14.78,-2.132,-0.188,8.572,7.611,0.969,+36.7613333,-119.7272786
06019003001,"Census Tract 30.01, Fresno County, California",3241.0,265.0,402.0,61.0,1002.0,0.0,1451.0,"Fresno city, California",False,-12.132,-0.703,0.798,13.405,-2.626,0.0,+36.7577834,-119.7092921
06019003003,"Census Tract 30.03, Fresno County, California",4366.0,620.0,357.0,36.0,1081.0,8.0,2250.0,"Fresno city, California",False,-21.717,-1.759,-0.35,14.035,9.994,0.183,+36.7395013,-119.7091535
06019003004,"Census Tract 30.04, Fresno County, California",2412.0,630.0,35.0,50.0,330.0,0.0,1320.0,"Fresno city, California",False,-9.799,-8.485,0.898,2.957,13.185,0.0,+36.7467812,-119.7091581
06019003104,"Census Tract 31.04, Fresno County, California",4159.0,1372.0,164.0,26.0,822.0,0.0,1561.0,"Fresno city, California",False,-26.819,-0.021,-1.052,12.211,11.657,-0.096,+36.7768768,-119.7185951
06019003201,"Census Tract 32.01, Fresno County, California",5151.0,773.0,164.0,46.0,908.0,12.0,3148.0,"Fresno city, California",False,-21.506,-1.878,-0.599,7.136,15.797,0.233,+36.7759071,-119.7430753
06019003202,"Census Tract 32.02, Fresno County, California",5745.0,1263.0,451.0,0.0,1071.0,0.0,2826.0,"Fresno city, California",False,-9.026,-0.635,-1.534,6.894,2.647,-0.039,+36.7687041,-119.7431686
06019003301,"Census Tract 33.01, Fresno County, California",3179.0,712.0,280.0,48.0,144.0,0.0,1933.0,"Fresno city, California",False,-14.507,4.598,0.149,-2.768,11.032,-0.038,+36.7759433,-119.7634790
06019003302,"Census Tract 33.02, Fresno County, California",4666.0,838.0,422.0,59.0,200.0,0.0,3072.0,"Fresno city, California",False,-18.944,4.834,-0.097,-3.012,16.065,-0.038,+36.7686679,-119.7635148
06019003400,"Census Tract 34, Fresno County, California",5456.0,837.0,202.0,125.0,663.0,10.0,3503.0,"Fresno city, California",False,-12.865,-2.73,0.253,-6.126,19.658,0.063,+36.7724800,-119.7791954
