GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
48157670101,"Census Tract 6701.01, Fort Bend County, Texas",6633.0,169.0,2036.0,0.0,11.0,0.0,4376.0,"Houston city, Texas",False,-1.391,-22.752,-0.064,-0.872,24.535,-0.011,+29.5883002,-095.4549394
48157670102,"Census Tract 6701.02, Fort Bend County, Texas",3320.0,29.0,1837.0,0.0,54.0,0.0,1400.0,"Houston city, Texas",False,-3.066,1.884,-0.064,0.589,0.731,-0.011,+29.5843101,-095.4643780
48157670200,"Census Tract 6702, Fort Bend County, Texas",7801.0,151.0,4262.0,41.0,134.0,0.0,3254.0,"Houston city, Texas",False,-2.752,-11.106,0.324,0.72,13.418,0.0,+29.5929656,-095.4759525
48157670300,"Census Tract 6703, Fort Bend County, Texas",3319.0,89.0,2123.0,18.0,137.0,0.0,896.0,"Houston city, Texas",False,0.124,-20.951,0.305,3.442,15.604,0.0,+29.5952554,-095.4872480
48157670400,"Census Tract 6704, Fort Bend County, Texas",5242.0,103.0,3845.0,0.0,3.0,0.0,1010.0,"Houston city, Texas",False,-0.187,-17.239,-0.166,-1.504,13.781,0.0,+29.6082283,-095.5008091
48157670500,"Census Tract 6705, Fort Bend County, Texas",4745.0,256.0,3043.0,10.0,244.0,0.0,1087.0,"Houston city, Texas",False,-4.055,-10.338,0.095,2.831,9.761,0.0,+29.6139695,-095.5188704
48157670601,"Census Tract 6706.01, Fort Bend County, Texas",9711.0,247.0,7565.0,0.0,10.0,0.0,1714.0,"Houston city, Texas",False,-0.482,-8.395,-0.086,-1.305,8.629,-0.01,+29.5904086,-095.5142381
48157670602,"Census Tract 6706.02, Fort Bend County, Texas",2027.0,50.0,1260.0,0.0,7.0,0.0,710.0,"Houston city, Texas",False,-0.559,-24.135,-0.086,-1.063,26.006,-0.01,+29.5897531,-095.5019698
48157670700,"Census Tract 6707, Fort Bend County, Texas",7283.0,1493.0,3122.0,31.0,1383.0,0.0,971.0,"Houston city, Texas",False,1.522,-19.285,-0.182,16.845,-2.286,0.0,+29.5705082,-095.4563779
48157670800,"Census Tract 6708, Fort Bend County, Texas",17725.0,501.0,8557.0,24.0,363.0,0.0,8170.0,"Houston city, Texas",False,-16.515,16.353,0.045,0.602,-0.671,0.0,+29.5234624,-095.4691296
48157670902,"Census Tract 6709.02, Fort Bend County, Texas",9045.0,386.0,5623.0,0.0,117.0,0.0,2824.0,"Houston city, Texas",False,-47.879,43.15,-0.362,-9.922,14.495,-0.013,+29.5487179,-095.4843175
48157671900,"Census Tract 6719, Fort Bend County, Texas",4164.0,2350.0,324.0,0.0,655.0,0.0,661.0,"Houston city, Texas",False,-10.721,1.466,-0.475,2.557,3.787,0.0,+29.6517302,-095.5867750
48157672001,"Census Tract 6720.01, Fort Bend County, Texas",8512.0,1625.0,1351.0,18.0,3948.0,0.0,1467.0,"Houston city, Texas",False,-19.494,2.057,-0.244,14.381,2.772,-0.017,+29.6415745,-095.6107924
48157672301,"Census Tract 6723.01, Fort Bend County, Texas",7435.0,1145.0,1338.0,0.0,3118.0,0.0,1754.0,"Houston city, Texas",False,-51.174,12.992,-0.427,30.626,7.253,-0.012,+29.6564735,-095.6343384
48157672302,"Census Tract 6723.02, Fort Bend County, Texas",9462.0,4588.0,427.0,26.0,2506.0,0.0,1638.0,"Houston city, Texas",False,-18.085,-0.491,-0.152,15.174,0.973,-0.012,+29.6430069,-095.6296611
