GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
18097310103,"Census Tract 3101.03, Marion County, Indiana",7878.0,4725.0,2208.0,19.0,241.0,0.0,479.0,"Indianapolis city (balance), Indiana",False,-18.343,13.888,-0.007,-2.415,4.542,0.0,+39.8888161,-086.2952092
18097310104,"Census Tract 3101.04, Marion County, Indiana",2934.0,2273.0,511.0,0.0,24.0,0.0,99.0,"Indianapolis city (balance), Indiana",False,-2.889,6.086,-0.277,-2.146,-1.28,0.0,+39.9182841,-086.2390016
18097310105,"Census Tract 3101.05, Marion County, Indiana",3766.0,1931.0,1419.0,29.0,18.0,0.0,334.0,"Indianapolis city (balance), Indiana",False,-19.655,14.27,0.525,-2.551,6.972,0.0,+39.9037291,-086.2444770
18097310106,"Census Tract 3101.06, Marion County, Indiana",4184.0,1627.0,1334.0,0.0,32.0,0.0,1003.0,"Indianapolis city (balance), Indiana",False,-36.944,14.833,-0.375,-2.393,20.814,-0.08,+39.9050362,-086.2112490
18097310108,"Census Tract 3101.08, Marion County, Indiana",3290.0,2540.0,377.0,19.0,126.0,0.0,136.0,"Indianapolis city (balance), Indiana",False,-11.861,6.926,0.408,-0.759,2.774,0.0,+39.8392095,-086.3174103
18097310110,"Census Tract 3101.10, Marion County, Indiana",3064.0,1396.0,1297.0,0.0,172.0,0.0,120.0,"Indianapolis city (balance), Indiana",False,-25.111,20.799,-0.385,1.218,1.189,0.0,+39.8453099,-086.2830259
18097310111,"Census Tract 3101.11, Marion County, Indiana",3965.0,1226.0,2064.0,0.0,101.0,0.0,326.0,"Indianapolis city (balance), Indiana",False,-39.751,30.524,-0.385,-1.849,5.495,0.0,+39.8302599,-086.2867912
18097310201,"Census Tract 3102.01, Marion County, Indiana",3886.0,1499.0,1746.0,0.0,0.0,0.0,554.0,"Indianapolis city (balance), Indiana",False,-27.411,21.296,-0.43,-5.674,10.465,0.0,+39.8896540,-086.2370538
18097310203,"Census Tract 3102.03, Marion County, Indiana",5611.0,1729.0,2503.0,0.0,60.0,0.0,1158.0,"Indianapolis city (balance), Indiana",False,-15.895,1.066,-0.409,-2.422,15.282,0.0,+39.8743270,-086.2551653
18097310204,"Census Tract 3102.04, Marion County, Indiana",5830.0,1003.0,3802.0,22.0,176.0,0.0,576.0,"Indianapolis city (balance), Indiana",False,-29.505,21.671,-0.032,-0.472,4.524,0.0,+39.8755545,-086.2213237
18097310305,"Census Tract 3103.05, Marion County, Indiana",5956.0,992.0,2967.0,0.0,263.0,0.0,1348.0,"Indianapolis city (balance), Indiana",False,-16.367,-0.309,-0.172,1.457,9.367,-0.038,+39.8443420,-086.2698563
18097310306,"Census Tract 3103.06, Marion County, Indiana",5956.0,513.0,3955.0,11.0,118.0,0.0,1192.0,"Indianapolis city (balance), Indiana",False,-17.674,8.926,-0.252,-2.098,8.585,0.0,+39.8312731,-086.2525581
18097310308,"Census Tract 3103.08, Marion County, Indiana",3438.0,642.0,1915.0,5.0,96.0,0.0,524.0,"Indianapolis city (balance), Indiana",False,-27.277,14.28,0.06,-1.908,7.908,0.0,+39.8607527,-086.2293113
18097310309,"Census Tract 3103.09, Marion County, Indiana",3837.0,642.0,2906.0,0.0,76.0,0.0,167.0,"Indianapolis city (balance), Indiana",False,-37.42,40.109,-0.399,-4.128,1.291,-0.053,+39.8598041,-086.2480123
18097310310,"Census Tract 3103.10, Marion County, Indiana",5056.0,1457.0,2998.0,0.0,84.0,0.0,417.0,"Indianapolis city (balance), Indiana",False,-25.335,23.669,-0.399,-4.448,5.187,-0.053,+39.8606826,-086.2626487
18097310311,"Census Tract 3103.11, Marion County, Indiana",6477.0,1568.0,4037.0,0.0,109.0,0.0,593.0,"Indianapolis city (balance), Indiana",False,-17.362,15.649,-0.279,-1.622,1.59,-0.011,+39.8387342,-086.2252117
18097310312,"Census Tract 3103.12, Marion County, Indiana",7215.0,1178.0,3488.0,0.0,92.0,0.0,2069.0,"Indianapolis city (balance), Indiana",False,-25.244,1.665,-0.279,-2.03,21.111,-0.011,+39.8464294,-086.2459793
18097320105,"Census Tract 3201.05, Marion County, Indiana",4581.0,2554.0,950.0,0.0,313.0,0.0,409.0,"Indianapolis city (balance), Indiana",False,-26.309,10.011,-0.264,3.636,6.075,0.0,+39.9193983,-086.1935391
18097320106,"Census Tract 3201.06, Marion County, Indiana",2557.0,1380.0,693.0,0.0,154.0,0.0,165.0,"Indianapolis city (balance), Indiana",False,-24.824,13.178,-0.121,4.413,1.061,-0.04,+39.9233095,-086.1737002
18097320107,"Census Tract 3201.07, Marion County, Indiana",1997.0,1678.0,228.0,0.0,41.0,0.0,50.0,"Indianapolis city (balance), Indiana",False,-5.445,4.526,-0.221,0.454,0.905,0.0,+39.9197558,-086.1554502
18097320108,"Census Tract 3201.08, Marion County, Indiana",5642.0,2075.0,2505.0,0.0,150.0,0.0,787.0,"Indianapolis city (balance), Indiana",False,-15.049,12.409,-0.377,-0.836,1.955,-0.02,+39.9047551,-086.1934762
18097320109,"Census Tract 3201.09, Marion County, Indiana",2452.0,1856.0,243.0,34.0,257.0,0.0,44.0,"Indianapolis city (balance), Indiana",False,-11.412,1.14,1.238,8.4,0.27,0.0,+39.9049600,-086.1744727
18097320202,"Census Tract 3202.02, Marion County, Indiana",4548.0,4097.0,91.0,18.0,125.0,0.0,150.0,"Indianapolis city (balance), Indiana",False,-5.595,0.035,0.08,1.947,2.206,0.0,+39.8984484,-086.1302148
18097320203,"Census Tract 3202.03, Marion County, Indiana",2756.0,2098.0,381.0,0.0,180.0,0.0,67.0,"Indianapolis city (balance), Indiana",False,-9.073,6.458,-0.316,2.778,-0.059,0.0,+39.9234784,-086.1299520
18097320204,"Census Tract 3202.04, Marion County, Indiana",5791.0,3361.0,1357.0,13.0,677.0,0.0,213.0,"Indianapolis city (balance), Indiana",False,-22.013,15.458,-0.197,8.136,-3.198,0.0,+39.9184128,-086.1092043
18097320301,"Census Tract 3203.01, Marion County, Indiana",3264.0,2967.0,161.0,0.0,106.0,0.0,11.0,"Indianapolis city (balance), Indiana",False,-4.997,3.129,-0.029,1.764,-0.332,0.0,+39.8918289,-086.1118392
18097320303,"Census Tract 3203.03, Marion County, Indiana",3520.0,1939.0,953.0,0.0,215.0,0.0,278.0,"Indianapolis city (balance), Indiana",False,-24.984,19.402,-0.347,0.595,1.653,-0.039,+39.9177100,-086.0757836
18097320304,"Census Tract 3203.04, Marion County, Indiana",6947.0,5748.0,567.0,0.0,102.0,0.0,313.0,"Indianapolis city (balance), Indiana",False,-9.542,5.044,-0.247,-0.505,2.533,-0.035,+39.8990070,-086.0854201
18097320400,"Census Tract 3204, Marion County, Indiana",2888.0,1902.0,561.0,24.0,129.0,0.0,119.0,"Indianapolis city (balance), Indiana",False,-7.3,-1.284,0.621,2.964,-0.028,0.0,+39.8726360,-086.0846645
18097320500,"Census Tract 3205, Marion County, Indiana",3322.0,2678.0,457.0,0.0,41.0,0.0,138.0,"Indianapolis city (balance), Indiana",False,-1.603,3.784,-0.36,-2.04,0.189,-0.03,+39.8759789,-086.1102868
18097320600,"Census Tract 3206, Marion County, Indiana",2323.0,2155.0,53.0,0.0,32.0,0.0,52.0,"Indianapolis city (balance), Indiana",False,-1.798,0.794,-0.831,0.27,0.473,0.0,+39.8815701,-086.1296164
18097320700,"Census Tract 3207, Marion County, Indiana",2004.0,1892.0,66.0,22.0,18.0,0.0,0.0,"Indianapolis city (balance), Indiana",False,-0.537,1.028,0.808,-0.263,-1.161,0.0,+39.8764733,-086.1483450
18097320800,"Census Tract 3208, Marion County, Indiana",2985.0,2686.0,144.0,0.0,66.0,0.0,42.0,"Indianapolis city (balance), Indiana",False,-6.496,3.32,-0.032,1.027,0.735,0.0,+39.8948069,-086.1560958
