GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
12031000100,"Census Tract 1, Duval County, Florida",5443.0,1740.0,3414.0,37.0,48.0,0.0,204.0,"Jacksonville city, Florida",False,-15.144,13.57,0.005,0.026,1.905,-0.016,+30.3804190,-081.6433674
12031000200,"Census Tract 2, Duval County, Florida",2310.0,40.0,2058.0,0.0,0.0,0.0,137.0,"Jacksonville city, Florida",False,-3.557,-4.198,-0.224,-0.112,5.032,0.0,+30.3622768,-081.6300390
12031000300,"Census Tract 3, Duval County, Florida",2227.0,631.0,1339.0,0.0,0.0,0.0,97.0,"Jacksonville city, Florida",False,1.721,-9.384,-0.423,-0.352,1.43,0.0,+30.3503330,-081.6311550
12031000600,"Census Tract 6, Duval County, Florida",5375.0,2246.0,1561.0,2.0,690.0,0.0,705.0,"Jacksonville city, Florida",False,-20.685,0.975,-0.504,10.832,7.462,0.0,+30.3028846,-081.6373406
12031000700,"Census Tract 7, Duval County, Florida",4451.0,3211.0,542.0,0.0,246.0,0.0,337.0,"Jacksonville city, Florida",False,-9.051,-1.254,-0.386,3.14,5.256,0.0,+30.2870913,-081.6578323
12031000800,"Census Tract 8, Duval County, Florida",2786.0,2214.0,181.0,0.0,78.0,0.0,238.0,"Jacksonville city, Florida",False,-5.481,-1.264,-0.577,1.122,3.719,-0.052,+30.3133055,-081.6576334
12031001000,"Census Tract 10, Duval County, Florida",4207.0,1252.0,2618.0,18.0,59.0,0.0,204.0,"Jacksonville city, Florida",False,-1.923,-2.736,-0.097,0.752,2.798,0.0,+30.3316498,-081.6517170
12031001100,"Census Tract 11, Duval County, Florida",1889.0,1087.0,583.0,25.0,58.0,0.0,97.0,"Jacksonville city, Florida",True,31.094,-37.524,0.592,1.974,2.029,-0.046,+30.3395855,-081.6522836
12031001200,"Census Tract 12, Duval County, Florida",1783.0,898.0,643.0,0.0,49.0,0.0,79.0,"Jacksonville city, Florida",True,26.026,-34.385,-0.613,1.177,1.748,-0.038,+30.3470960,-081.6533775
12031001300,"Census Tract 13, Duval County, Florida",3846.0,292.0,3219.0,0.0,9.0,0.0,244.0,"Jacksonville city, Florida",False,0.212,-6.778,-0.399,-0.06,5.019,-0.021,+30.3585448,-081.6576206
12031001400,"Census Tract 14, Duval County, Florida",5044.0,917.0,3977.0,0.0,31.0,0.0,72.0,"Jacksonville city, Florida",False,-3.549,2.879,-0.447,0.22,0.069,-0.017,+30.3752097,-081.6656409
12031001500,"Census Tract 15, Duval County, Florida",4321.0,78.0,3943.0,0.0,0.0,10.0,256.0,"Jacksonville city, Florida",False,1.23,-6.681,-0.198,-0.067,4.851,0.209,+30.3561218,-081.6707568
12031001600,"Census Tract 16, Duval County, Florida",1497.0,81.0,1300.0,0.0,0.0,0.0,57.0,"Jacksonville city, Florida",False,4.035,-10.289,-0.179,-0.12,2.971,0.0,+30.3447170,-081.6678825
12031002101,"Census Tract 21.01, Duval County, Florida",3166.0,2581.0,300.0,15.0,23.0,0.0,220.0,"Jacksonville city, Florida",False,0.241,-4.104,-0.444,-0.725,4.68,-0.017,+30.3094236,-081.7028216
12031002102,"Census Tract 21.02, Duval County, Florida",2575.0,2265.0,89.0,0.0,31.0,0.0,97.0,"Jacksonville city, Florida",False,6.68,-10.124,-0.918,-0.247,1.498,-0.017,+30.3019349,-081.6959386
12031002200,"Census Tract 22, Duval County, Florida",4277.0,3716.0,180.0,24.0,9.0,0.0,270.0,"Jacksonville city, Florida",False,-6.209,2.053,-0.152,-0.978,3.786,-0.022,+30.2929776,-081.7059131
12031002300,"Census Tract 23, Duval County, Florida",1632.0,1508.0,52.0,0.0,28.0,0.0,24.0,"Jacksonville city, Florida",False,-2.982,1.907,-0.834,1.271,-0.364,0.0,+30.2826914,-081.7145385
12031002400,"Census Tract 24, Duval County, Florida",1903.0,1690.0,6.0,0.0,0.0,0.0,178.0,"Jacksonville city, Florida",False,-7.724,-0.188,-0.905,-0.804,8.147,0.0,+30.2734733,-081.7051903
12031002501,"Census Tract 25.01, Duval County, Florida",3871.0,1961.0,1379.0,0.0,31.0,0.0,306.0,"Jacksonville city, Florida",False,-11.397,3.872,-0.57,-1.416,4.883,-0.012,+30.3158643,-081.7085969
12031002502,"Census Tract 25.02, Duval County, Florida",3772.0,2958.0,313.0,0.0,127.0,0.0,129.0,"Jacksonville city, Florida",True,16.364,-23.454,-0.57,1.15,0.398,-0.012,+30.3132677,-081.7226262
12031002600,"Census Tract 26, Duval County, Florida",3485.0,391.0,2704.0,11.0,14.0,0.0,256.0,"Jacksonville city, Florida",False,3.578,-12.779,0.003,0.134,6.028,0.0,+30.3272925,-081.6933183
12031002701,"Census Tract 27.01, Duval County, Florida",3233.0,282.0,2634.0,4.0,0.0,0.0,123.0,"Jacksonville city, Florida",False,-10.147,2.478,-0.227,-0.351,2.372,0.0,+30.3450251,-081.7086597
12031002702,"Census Tract 27.02, Duval County, Florida",4198.0,954.0,2977.0,0.0,8.0,0.0,158.0,"Jacksonville city, Florida",False,-8.93,6.146,-0.608,-0.563,1.964,0.0,+30.3356969,-081.7139135
12031002801,"Census Tract 28.01, Duval County, Florida",4461.0,121.0,4324.0,0.0,0.0,0.0,16.0,"Jacksonville city, Florida",False,2.311,-2.122,-0.036,-0.036,-0.079,-0.018,+30.3574422,-081.6984469
12031002802,"Census Tract 28.02, Duval County, Florida",4652.0,138.0,4141.0,13.0,64.0,0.0,171.0,"Jacksonville city, Florida",False,2.223,-9.179,0.058,1.356,2.954,0.0,+30.3435934,-081.6897844
12031002901,"Census Tract 29.01, Duval County, Florida",3672.0,88.0,3296.0,25.0,0.0,0.0,263.0,"Jacksonville city, Florida",False,1.832,-8.914,0.551,-0.109,6.662,0.0,+30.3603409,-081.6826576
