GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
29037060100,"Census Tract 601, Cass County, Missouri",1548.0,1432.0,36.0,0.0,0.0,0.0,62.0,"Kansas City city, Missouri",False,15.819,-10.668,-1.338,-2.341,-2.063,-0.048,+38.8323206,-094.5495699
29047020201,"Census Tract 202.01, Clay County, Missouri",4290.0,3035.0,475.0,0.0,251.0,0.0,323.0,"Kansas City city, Missouri",False,-11.801,6.31,-1.133,0.145,1.991,-0.084,+39.1595021,-094.5660990
29047020202,"Census Tract 202.02, Clay County, Missouri",4596.0,3570.0,269.0,8.0,266.0,0.0,330.0,"Kansas City city, Missouri",False,-15.15,4.553,-0.319,2.497,5.334,0.0,+39.1738753,-094.5893357
29047020300,"Census Tract 203, Clay County, Missouri",6662.0,4362.0,785.0,248.0,510.0,0.0,473.0,"Kansas City city, Missouri",False,-21.035,7.066,3.027,3.888,3.011,-0.085,+39.1905718,-094.5719226
29047020400,"Census Tract 204, Clay County, Missouri",2565.0,1289.0,714.0,0.0,67.0,0.0,459.0,"Kansas City city, Missouri",False,-33.036,21.522,-0.605,-0.488,11.543,0.0,+39.1786542,-094.5522179
29047020500,"Census Tract 205, Clay County, Missouri",5983.0,4411.0,748.0,0.0,267.0,0.0,380.0,"Kansas City city, Missouri",False,-10.76,7.557,-1.505,1.304,0.794,0.0,+39.1626227,-094.5448286
29047020602,"Census Tract 206.02, Clay County, Missouri",3872.0,2543.0,643.0,13.0,199.0,0.0,221.0,"Kansas City city, Missouri",False,-14.485,7.159,-0.798,2.548,-0.419,0.0,+39.1608182,-094.5057032
29047020603,"Census Tract 206.03, Clay County, Missouri",3247.0,2794.0,83.0,0.0,101.0,0.0,154.0,"Kansas City city, Missouri",False,-4.032,-0.581,-1.464,1.946,0.978,0.0,+39.1875089,-094.5055514
29047020604,"Census Tract 206.04, Clay County, Missouri",5204.0,3164.0,717.0,17.0,97.0,0.0,977.0,"Kansas City city, Missouri",False,-27.264,10.743,-1.032,-0.016,13.451,0.0,+39.1768989,-094.5138858
29047020901,"Census Tract 209.01, Clay County, Missouri",5570.0,4434.0,366.0,109.0,42.0,0.0,670.0,"Kansas City city, Missouri",False,-12.815,5.094,1.227,-0.901,8.47,0.0,+39.1926537,-094.5350321
29047020902,"Census Tract 209.02, Clay County, Missouri",2065.0,1681.0,6.0,6.0,66.0,0.0,233.0,"Kansas City city, Missouri",False,-7.921,-1.52,-1.005,1.274,5.794,-0.039,+39.2052822,-094.5110928
29047021204,"Census Tract 212.04, Clay County, Missouri",5240.0,3344.0,604.0,0.0,301.0,0.0,727.0,"Kansas City city, Missouri",False,-16.297,4.361,-1.521,2.665,6.194,-0.018,+39.2081244,-094.5932301
29047021205,"Census Tract 212.05, Clay County, Missouri",8049.0,6649.0,484.0,0.0,201.0,0.0,459.0,"Kansas City city, Missouri",False,-6.976,2.666,-1.108,0.234,2.097,-0.024,+39.2560738,-094.5425055
29047021206,"Census Tract 212.06, Clay County, Missouri",8084.0,6001.0,585.0,0.0,280.0,18.0,765.0,"Kansas City city, Missouri",False,-18.688,4.837,-0.464,2.133,6.76,0.223,+39.2384452,-094.5514106
29047021207,"Census Tract 212.07, Clay County, Missouri",3634.0,2621.0,617.0,0.0,59.0,0.0,289.0,"Kansas City city, Missouri",False,-16.334,13.888,-0.803,-0.821,2.977,0.0,+39.2567024,-094.5885925
29047021208,"Census Tract 212.08, Clay County, Missouri",5976.0,4857.0,639.0,0.0,18.0,0.0,331.0,"Kansas City city, Missouri",False,-7.183,7.602,-0.803,-2.144,0.563,0.0,+39.2358034,-094.5924749
29047021303,"Census Tract 213.03, Clay County, Missouri",4555.0,3887.0,224.0,0.0,0.0,0.0,212.0,"Kansas City city, Missouri",True,-8.925,4.28,-2.296,-0.128,1.975,0.0,+39.2869383,-094.5311788
29047021305,"Census Tract 213.05, Clay County, Missouri",8090.0,6706.0,421.0,14.0,44.0,0.0,576.0,"Kansas City city, Missouri",False,-8.301,2.458,-0.679,-0.82,3.332,0.0,+39.2995050,-094.5776471
29047021306,"Census Tract 213.06, Clay County, Missouri",6899.0,5629.0,336.0,156.0,222.0,0.0,584.0,"Kansas City city, Missouri",False,-9.662,2.126,1.715,1.768,4.708,-0.031,+39.2730872,-094.5796524
29047021307,"Census Tract 213.07, Clay County, Missouri",5765.0,4374.0,319.0,31.0,415.0,0.0,429.0,"Kansas City city, Missouri",False,-14.195,1.735,-0.253,5.464,3.963,0.0,+39.2343799,-094.4829161
29047021309,"Census Tract 213.09, Clay County, Missouri",5099.0,4340.0,160.0,0.0,273.0,0.0,224.0,"Kansas City city, Missouri",False,-4.913,-0.68,-0.786,3.608,0.902,0.0,+39.2571608,-094.4800829
29047021310,"Census Tract 213.10, Clay County, Missouri",8973.0,7312.0,701.0,49.0,158.0,0.0,458.0,"Kansas City city, Missouri",False,-8.539,3.994,-0.24,0.015,1.613,0.0,+39.2845861,-094.4885907
29047021803,"Census Tract 218.03, Clay County, Missouri",8150.0,6655.0,231.0,0.0,230.0,0.0,488.0,"Kansas City city, Missouri",False,-14.332,1.737,-0.424,2.324,4.156,-0.025,+39.2949550,-094.4472630
29047021804,"Census Tract 218.04, Clay County, Missouri",7362.0,7274.0,2.0,0.0,0.0,0.0,49.0,"Kansas City city, Missouri",False,2.817,-1.07,-0.424,-0.498,-1.166,-0.025,+39.3954850,-094.4276907
29047021900,"Census Tract 219, Clay County, Missouri",6975.0,6246.0,0.0,0.0,236.0,0.0,54.0,"Kansas City city, Missouri",False,-6.313,-0.382,-1.262,2.914,-0.84,0.0,+39.4162645,-094.5508856
29047022100,"Census Tract 221, Clay County, Missouri",5058.0,3818.0,301.0,32.0,234.0,0.0,461.0,"Kansas City city, Missouri",True,-2.025,0.543,-0.555,-0.884,0.839,-0.102,+39.1368804,-094.5749786
