GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
32003000101,"Census Tract 1.01, Clark County, Nevada",6832.0,1606.0,628.0,107.0,174.0,36.0,4173.0,"Las Vegas city, Nevada",False,-24.775,-5.009,0.692,-1.143,28.33,0.418,+36.1821704,-115.1919976
32003000103,"Census Tract 1.03, Clark County, Nevada",6467.0,1845.0,501.0,152.0,99.0,299.0,3467.0,"Las Vegas city, Nevada",False,-23.482,0.069,1.125,-2.217,18.858,4.55,+36.1628205,-115.2329526
32003000105,"Census Tract 1.05, Clark County, Nevada",4333.0,718.0,145.0,48.0,103.0,0.0,3243.0,"Las Vegas city, Nevada",False,-45.343,-0.645,0.212,-3.812,48.413,-0.434,+36.1667291,-115.1990194
32003000106,"Census Tract 1.06, Clark County, Nevada",4421.0,1369.0,479.0,96.0,129.0,212.0,2069.0,"Las Vegas city, Nevada",False,-31.774,3.496,1.391,-3.36,24.409,4.475,+36.1701247,-115.2150780
32003000107,"Census Tract 1.07, Clark County, Nevada",4020.0,758.0,403.0,262.0,587.0,68.0,2122.0,"Las Vegas city, Nevada",False,-43.885,2.686,5.737,8.324,30.398,1.372,+36.1626780,-115.2149023
32003000108,"Census Tract 1.08, Clark County, Nevada",3317.0,647.0,368.0,7.0,71.0,31.0,2102.0,"Las Vegas city, Nevada",False,-32.699,4.061,-0.794,-2.577,28.861,0.628,+36.1823003,-115.2098035
32003000109,"Census Tract 1.09, Clark County, Nevada",3638.0,1388.0,426.0,22.0,255.0,8.0,1320.0,"Las Vegas city, Nevada",False,-14.052,4.677,-0.4,2.292,1.774,-0.087,+36.1775067,-115.2169379
32003000201,"Census Tract 2.01, Clark County, Nevada",3862.0,410.0,1366.0,34.0,254.0,35.0,1300.0,"Las Vegas city, Nevada",False,-7.958,-7.762,0.152,4.938,-2.057,0.854,+36.1823708,-115.1694790
32003000203,"Census Tract 2.03, Clark County, Nevada",4479.0,1187.0,1058.0,79.0,335.0,22.0,1656.0,"Las Vegas city, Nevada",False,-19.618,3.865,0.859,0.283,11.424,0.378,+36.1675088,-115.1668733
32003000204,"Census Tract 2.04, Clark County, Nevada",1133.0,649.0,165.0,3.0,182.0,10.0,94.0,"Las Vegas city, Nevada",False,-24.577,10.697,-0.553,10.934,0.044,0.734,+36.1525444,-115.1667753
32003000301,"Census Tract 3.01, Clark County, Nevada",2940.0,235.0,1432.0,6.0,60.0,0.0,1123.0,"Las Vegas city, Nevada",False,-4.118,-17.874,-0.367,0.927,18.688,-0.086,+36.1778052,-115.1511842
32003000302,"Census Tract 3.02, Clark County, Nevada",4742.0,226.0,2656.0,0.0,44.0,138.0,1616.0,"Las Vegas city, Nevada",False,-2.939,-16.573,-0.411,-1.765,17.601,2.798,+36.1880187,-115.1588665
32003000401,"Census Tract 4.01, Clark County, Nevada",2416.0,882.0,809.0,100.0,140.0,34.0,393.0,"Las Vegas city, Nevada",False,5.415,22.081,1.938,1.492,-34.059,1.341,+36.1820491,-115.1381920
32003000402,"Census Tract 4.02, Clark County, Nevada",2549.0,349.0,494.0,85.0,17.0,7.0,1598.0,"Las Vegas city, Nevada",False,-17.4,7.976,1.134,-3.636,12.365,0.209,+36.1809239,-115.1299765
32003000403,"Census Tract 4.03, Clark County, Nevada",2388.0,754.0,314.0,15.0,271.0,41.0,973.0,"Las Vegas city, Nevada",False,0.483,1.745,-1.573,7.045,-9.581,1.651,+36.1708341,-115.1299149
32003000510,"Census Tract 5.10, Clark County, Nevada",5203.0,133.0,309.0,442.0,94.0,9.0,4542.0,"Las Vegas city, Nevada",False,-13.534,0.169,7.814,-1.239,13.044,-0.024,+36.1804178,-115.1203006
32003000513,"Census Tract 5.13, Clark County, Nevada",3543.0,780.0,159.0,0.0,38.0,0.0,2508.0,"Las Vegas city, Nevada",False,-25.904,-5.58,-1.033,-3.297,34.413,-0.089,+36.1848437,-115.0712434
32003000514,"Census Tract 5.14, Clark County, Nevada",6605.0,951.0,518.0,43.0,603.0,8.0,4253.0,"Las Vegas city, Nevada",False,-14.206,-13.96,0.065,3.06,21.876,0.023,+36.1772512,-115.0933559
32003000515,"Census Tract 5.15, Clark County, Nevada",5248.0,541.0,594.0,0.0,312.0,5.0,3716.0,"Las Vegas city, Nevada",False,-28.476,-1.155,-0.97,-3.295,32.346,-0.159,+36.1774514,-115.0713165
32003000516,"Census Tract 5.16, Clark County, Nevada",5976.0,769.0,709.0,31.0,363.0,16.0,3970.0,"Las Vegas city, Nevada",False,-20.569,1.051,-0.48,-0.853,18.852,0.246,+36.1698653,-115.0930999
