GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06037544002,"Census Tract 5440.02, Los Angeles County, California",3187.0,371.0,225.0,11.0,456.0,20.0,1931.0,"Long Beach city, California",False,-3.571,-2.462,-0.11,-2.748,3.276,0.576,+33.8304307,-118.2159639
06037555202,"Census Tract 5552.02, Los Angeles County, California",3661.0,2273.0,93.0,0.0,347.0,0.0,614.0,"Long Beach city, California",False,-7.034,-3.347,-0.159,-0.117,2.128,-0.06,+33.8200771,-118.0728449
06037570100,"Census Tract 5701, Los Angeles County, California",3192.0,491.0,656.0,0.0,538.0,22.0,1452.0,"Long Beach city, California",False,-18.813,1.267,-0.665,-5.165,22.171,0.689,+33.8644628,-118.1532212
06037570202,"Census Tract 5702.02, Los Angeles County, California",6124.0,423.0,898.0,33.0,605.0,111.0,4007.0,"Long Beach city, California",False,-7.715,-5.45,-0.105,-0.628,11.88,1.716,+33.8794113,-118.1785185
06037570203,"Census Tract 5702.03, Los Angeles County, California",4165.0,133.0,996.0,0.0,147.0,43.0,2810.0,"Long Beach city, California",False,-4.877,-1.456,-0.444,-8.292,13.444,0.933,+33.8783269,-118.1600077
06037570204,"Census Tract 5702.04, Los Angeles County, California",4201.0,583.0,736.0,51.0,523.0,0.0,2254.0,"Long Beach city, California",False,-4.019,-2.836,0.185,1.581,4.056,-0.05,+33.8716329,-118.1556129
06037570301,"Census Tract 5703.01, Los Angeles County, California",7273.0,580.0,856.0,140.0,583.0,60.0,4981.0,"Long Beach city, California",False,-7.736,-9.993,1.336,-1.471,16.317,0.737,+33.8690780,-118.1898661
06037570303,"Census Tract 5703.03, Los Angeles County, California",4471.0,243.0,808.0,138.0,370.0,170.0,2664.0,"Long Beach city, California",False,-9.745,-4.064,2.466,-4.68,10.993,3.724,+33.8596484,-118.1925812
06037570304,"Census Tract 5703.04, Los Angeles County, California",5094.0,310.0,879.0,122.0,463.0,11.0,3375.0,"Long Beach city, California",False,-7.285,-5.588,2.105,-2.043,14.347,0.175,+33.8563177,-118.1926968
06037570402,"Census Tract 5704.02, Los Angeles County, California",3400.0,120.0,1239.0,0.0,150.0,58.0,1792.0,"Long Beach city, California",False,-5.533,-9.365,-0.469,-3.418,16.078,1.706,+33.8685443,-118.1986552
06037570403,"Census Tract 5704.03, Los Angeles County, California",4832.0,168.0,229.0,0.0,324.0,0.0,4071.0,"Long Beach city, California",False,-0.955,-20.434,-0.401,0.014,21.13,-0.049,+33.8778668,-118.2044859
06037570404,"Census Tract 5704.04, Los Angeles County, California",3676.0,48.0,669.0,38.0,33.0,157.0,2642.0,"Long Beach city, California",False,-3.119,-6.995,0.634,-5.779,8.751,4.223,+33.8774960,-118.1959346
06037570501,"Census Tract 5705.01, Los Angeles County, California",8042.0,659.0,1540.0,0.0,601.0,625.0,4530.0,"Long Beach city, California",False,-11.938,-1.244,-0.563,-7.166,12.467,7.69,+33.8686923,-118.1796736
06037570502,"Census Tract 5705.02, Los Angeles County, California",6588.0,674.0,354.0,12.0,1328.0,74.0,3845.0,"Long Beach city, California",False,-7.535,-12.44,-0.623,2.487,12.924,1.107,+33.8674703,-118.1668020
06037570601,"Census Tract 5706.01, Los Angeles County, California",5610.0,479.0,918.0,333.0,687.0,28.0,3209.0,"Long Beach city, California",False,-7.647,-8.408,5.122,-0.683,12.27,0.499,+33.8569402,-118.1809849
06037570602,"Census Tract 5706.02, Los Angeles County, California",6177.0,445.0,654.0,131.0,1853.0,52.0,3020.0,"Long Beach city, California",False,-8.841,-4.11,1.447,-1.936,12.554,0.748,+33.8561559,-118.1729332
06037570603,"Census Tract 5706.03, Los Angeles County, California",5172.0,499.0,2314.0,0.0,308.0,183.0,1771.0,"Long Beach city, California",False,-4.415,-13.891,-0.834,-3.86,17.948,3.536,+33.8571712,-118.1623213
06037571200,"Census Tract 5712, Los Angeles County, California",8175.0,3910.0,603.0,108.0,1021.0,0.0,2209.0,"Long Beach city, California",False,-18.683,1.917,0.507,2.084,10.764,-0.128,+33.8395918,-118.1336246
