GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06037101110,"Census Tract 1011.10, Los Angeles County, California",4283.0,2616.0,19.0,3.0,331.0,3.0,1188.0,"Los Angeles city, California",False,2.457,-1.534,-0.93,-0.561,-0.418,0.048,+34.2594737,-118.2929869
06037101122,"Census Tract 1011.22, Los Angeles County, California",3405.0,2882.0,74.0,15.0,220.0,0.0,147.0,"Los Angeles city, California",False,10.585,-0.083,-0.199,-0.612,-10.409,-0.091,+34.2677213,-118.2901465
06037101210,"Census Tract 1012.10, Los Angeles County, California",6347.0,2986.0,198.0,0.0,486.0,0.0,2616.0,"Los Angeles city, California",False,5.899,-2.881,-0.775,1.327,-1.91,0.0,+34.2529724,-118.2907309
06037101220,"Census Tract 1012.20, Los Angeles County, California",3702.0,1812.0,87.0,0.0,341.0,0.0,1364.0,"Los Angeles city, California",True,-2.836,0.17,-1.09,3.233,0.683,-0.033,+34.2516083,-118.2816328
06037101300,"Census Tract 1013, Los Angeles County, California",3884.0,3126.0,205.0,0.0,194.0,0.0,297.0,"Los Angeles city, California",False,1.823,4.599,-0.453,-2.881,-2.066,-0.025,+34.2487733,-118.2709978
06037101400,"Census Tract 1014, Los Angeles County, California",3458.0,2271.0,9.0,60.0,409.0,0.0,591.0,"Los Angeles city, California",False,-4.885,-1.336,0.831,4.514,0.043,-0.08,+34.2428521,-118.2941612
06037102103,"Census Tract 1021.03, Los Angeles County, California",1763.0,1106.0,25.0,0.0,224.0,0.0,355.0,"Los Angeles city, California",False,10.953,-0.804,-0.773,2.448,-12.897,-0.028,+34.2250792,-118.3541880
06037102104,"Census Tract 1021.04, Los Angeles County, California",3721.0,2568.0,73.0,3.0,351.0,8.0,512.0,"Los Angeles city, California",False,15.148,-0.279,-0.676,-1.385,-16.467,0.185,+34.2161873,-118.3453981
06037102105,"Census Tract 1021.05, Los Angeles County, California",1905.0,427.0,14.0,24.0,124.0,4.0,1283.0,"Los Angeles city, California",False,-31.419,-1.505,0.503,-4.304,37.084,0.18,+34.2098760,-118.3492653
06037102107,"Census Tract 1021.07, Los Angeles County, California",4349.0,2605.0,69.0,6.0,398.0,0.0,1195.0,"Los Angeles city, California",False,-0.661,-0.679,-0.953,3.006,-1.585,-0.028,+34.2409052,-118.3395988
06037103101,"Census Tract 1031.01, Los Angeles County, California",2428.0,1793.0,18.0,0.0,164.0,0.0,396.0,"Los Angeles city, California",False,4.652,-0.447,-1.303,-2.44,-1.161,-0.038,+34.2732407,-118.3078874
06037103102,"Census Tract 1031.02, Los Angeles County, California",4734.0,2651.0,0.0,0.0,579.0,0.0,1322.0,"Los Angeles city, California",False,-4.467,-0.628,-1.591,2.504,1.525,-0.112,+34.2633843,-118.3073883
06037103200,"Census Tract 1032, Los Angeles County, California",6349.0,3865.0,105.0,0.0,437.0,0.0,1751.0,"Los Angeles city, California",False,-3.691,-4.565,-0.96,-0.785,8.542,-0.004,+34.2733525,-118.3402264
06037103300,"Census Tract 1033, Los Angeles County, California",3781.0,2897.0,1.0,45.0,271.0,0.0,403.0,"Los Angeles city, California",False,-1.764,-1.125,0.069,2.983,-3.217,-0.054,+34.2573786,-118.3554785
06037103400,"Census Tract 1034, Los Angeles County, California",6416.0,3472.0,154.0,114.0,1037.0,0.0,1573.0,"Los Angeles city, California",False,-12.868,0.5,0.392,9.012,3.016,-0.032,+34.2548355,-118.3139736
06037104103,"Census Tract 1041.03, Los Angeles County, California",3431.0,379.0,431.0,12.0,199.0,0.0,2401.0,"Los Angeles city, California",False,1.411,-8.636,-0.041,0.045,7.532,-0.052,+34.2820993,-118.3925764
06037104105,"Census Tract 1041.05, Los Angeles County, California",6054.0,345.0,278.0,31.0,685.0,0.0,4482.0,"Los Angeles city, California",False,-1.123,-7.218,0.168,5.487,-0.741,-0.019,+34.2761480,-118.4046859
06037104108,"Census Tract 1041.08, Los Angeles County, California",6001.0,327.0,430.0,15.0,203.0,13.0,4982.0,"Los Angeles city, California",False,-1.98,-14.038,-0.139,0.231,15.315,0.197,+34.2731497,-118.3985699
06037104124,"Census Tract 1041.24, Los Angeles County, California",3875.0,1224.0,491.0,22.0,323.0,0.0,1728.0,"Los Angeles city, California",False,0.594,-6.817,-0.048,1.634,2.909,-0.025,+34.2900933,-118.3741930
06037104201,"Census Tract 1042.01, Los Angeles County, California",4569.0,56.0,401.0,55.0,0.0,0.0,4081.0,"Los Angeles city, California",False,-1.323,-6.473,0.598,-0.167,7.953,0.0,+34.2865005,-118.4160998
06037104203,"Census Tract 1042.03, Los Angeles County, California",5441.0,82.0,446.0,42.0,68.0,0.0,4817.0,"Los Angeles city, California",False,-6.292,-6.312,0.657,-2.208,14.63,-0.026,+34.2790579,-118.4115542
06037104204,"Census Tract 1042.04, Los Angeles County, California",3679.0,359.0,139.0,14.0,246.0,0.0,2870.0,"Los Angeles city, California",False,1.959,-10.731,0.266,3.229,4.108,-0.026,+34.2912875,-118.3931176
06037104310,"Census Tract 1043.10, Los Angeles County, California",4962.0,68.0,96.0,8.0,18.0,0.0,4744.0,"Los Angeles city, California",False,-0.165,-5.948,0.03,-0.203,5.761,0.0,+34.2763731,-118.4292815
06037104320,"Census Tract 1043.20, Los Angeles County, California",5292.0,139.0,244.0,2.0,58.0,0.0,4718.0,"Los Angeles city, California",False,1.17,-5.591,-0.138,-0.274,2.375,-0.018,+34.2731324,-118.4202492
06037104401,"Census Tract 1044.01, Los Angeles County, California",3270.0,65.0,14.0,0.0,36.0,0.0,3155.0,"Los Angeles city, California",False,-1.413,-0.011,-0.346,0.601,1.25,0.0,+34.2670388,-118.4327217
06037104403,"Census Tract 1044.03, Los Angeles County, California",3341.0,15.0,0.0,25.0,135.0,0.0,3191.0,"Los Angeles city, California",False,-3.841,-0.559,0.373,3.33,1.485,-0.167,+34.2587946,-118.4344932
06037104404,"Census Tract 1044.04, Los Angeles County, California",3084.0,80.0,62.0,15.0,67.0,0.0,2867.0,"Los Angeles city, California",False,-0.872,1.578,0.138,1.681,-2.217,0.0,+34.2639207,-118.4286916
