GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
21111004500,"Census Tract 45, Jefferson County, Kentucky",3295.0,2012.0,948.0,0.0,18.0,0.0,234.0,"Louisville/Jefferson County metro government (balance), Kentucky",False,-23.267,19.677,-1.091,-2.485,5.617,0.0,+38.1574433,-085.7833585
21111007501,"Census Tract 75.01, Jefferson County, Kentucky",5500.0,5151.0,27.0,4.0,191.0,0.0,43.0,"Louisville/Jefferson County metro government (balance), Kentucky",False,-1.858,-1.141,-0.063,1.958,-0.209,-0.039,+38.2819971,-085.6690421
21111007502,"Census Tract 75.02, Jefferson County, Kentucky",5663.0,5096.0,358.0,0.0,78.0,0.0,117.0,"Louisville/Jefferson County metro government (balance), Kentucky",False,0.377,-1.355,-0.139,-0.266,1.294,-0.02,+38.3237926,-085.6392043
21111007700,"Census Tract 77, Jefferson County, Kentucky",3429.0,2941.0,212.0,0.0,128.0,0.0,117.0,"Louisville/Jefferson County metro government (balance), Kentucky",False,-2.569,1.567,-0.273,-1.238,1.773,0.0,+38.2646452,-085.6788018
21111009103,"Census Tract 91.03, Jefferson County, Kentucky",1563.0,886.0,197.0,25.0,262.0,0.0,177.0,"Louisville/Jefferson County metro government (balance), Kentucky",False,-20.084,9.216,0.329,7.326,2.855,-0.06,+38.1514408,-085.7543568
21111009105,"Census Tract 91.05, Jefferson County, Kentucky",2383.0,1759.0,88.0,0.0,141.0,0.0,281.0,"Louisville/Jefferson County metro government (balance), Kentucky",False,-15.352,-2.22,-0.361,3.405,10.208,-0.064,+38.1298010,-085.7624275
21111009106,"Census Tract 91.06, Jefferson County, Kentucky",5005.0,3629.0,532.0,16.0,418.0,0.0,327.0,"Louisville/Jefferson County metro government (balance), Kentucky",False,-16.66,4.716,-0.041,5.84,4.949,-0.064,+38.1401671,-085.7667285
21111010001,"Census Tract 100.01, Jefferson County, Kentucky",4535.0,4143.0,96.0,0.0,164.0,0.0,58.0,"Louisville/Jefferson County metro government (balance), Kentucky",False,-4.834,0.378,-0.228,2.477,0.616,0.0,+38.2667128,-085.6398810
21111010004,"Census Tract 100.04, Jefferson County, Kentucky",4973.0,3366.0,769.0,0.0,79.0,0.0,493.0,"Louisville/Jefferson County metro government (balance), Kentucky",False,-10.503,1.624,-0.65,-1.292,6.124,0.0,+38.2660514,-085.6120599
21111010005,"Census Tract 100.05, Jefferson County, Kentucky",4409.0,3695.0,403.0,0.0,72.0,0.0,158.0,"Louisville/Jefferson County metro government (balance), Kentucky",False,-8.133,3.974,-0.324,0.081,2.611,0.0,+38.2719112,-085.5850573
