GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
47157000100,"Census Tract 1, Shelby County, Tennessee",5503.0,3519.0,952.0,0.0,691.0,0.0,238.0,"Memphis city, Tennessee",False,-4.356,-6.388,-0.239,6.32,3.132,0.0,+35.1745847,-090.0518440
47157000200,"Census Tract 2, Shelby County, Tennessee",868.0,0.0,831.0,18.0,0.0,0.0,11.0,"Memphis city, Tennessee",False,-0.819,-2.353,2.006,-0.136,0.38,0.0,+35.1681487,-090.0424321
47157000300,"Census Tract 3, Shelby County, Tennessee",767.0,3.0,755.0,0.0,0.0,0.0,9.0,"Memphis city, Tennessee",False,-0.947,0.012,-0.096,0.0,1.03,0.0,+35.1768246,-090.0293407
47157000400,"Census Tract 4, Shelby County, Tennessee",1352.0,23.0,1329.0,0.0,0.0,0.0,0.0,"Memphis city, Tennessee",False,-2.262,5.391,-0.125,-0.334,-2.628,-0.042,+35.1768576,-090.0145439
47157000600,"Census Tract 6, Shelby County, Tennessee",1815.0,0.0,1781.0,0.0,0.0,0.0,0.0,"Memphis city, Tennessee",False,-0.681,-0.614,0.0,-0.136,-0.408,0.0,+35.1837381,-089.9990705
47157000700,"Census Tract 7, Shelby County, Tennessee",4305.0,165.0,4140.0,0.0,0.0,0.0,0.0,"Memphis city, Tennessee",False,-7.193,9.268,-0.071,-1.117,-0.656,-0.018,+35.1673199,-089.9957721
47157000800,"Census Tract 8, Shelby County, Tennessee",2355.0,44.0,2299.0,0.0,0.0,0.0,0.0,"Memphis city, Tennessee",False,1.344,-0.865,-0.058,-0.145,-0.698,0.0,+35.1784196,-089.9722247
47157000900,"Census Tract 9, Shelby County, Tennessee",2326.0,61.0,2200.0,0.0,0.0,0.0,0.0,"Memphis city, Tennessee",False,1.513,-3.468,0.0,-0.054,-0.785,-0.027,+35.1648970,-089.9752408
47157001100,"Census Tract 11, Shelby County, Tennessee",3155.0,810.0,887.0,0.0,58.0,0.0,1400.0,"Memphis city, Tennessee",False,-23.96,-9.098,-0.868,1.214,33.118,0.0,+35.1674039,-089.9411009
47157001200,"Census Tract 12, Shelby County, Tennessee",4370.0,1551.0,933.0,0.0,25.0,0.0,1624.0,"Memphis city, Tennessee",False,-33.949,8.787,-0.795,-4.146,24.838,0.0,+35.1557263,-089.9357489
47157001300,"Census Tract 13, Shelby County, Tennessee",2870.0,345.0,1451.0,0.0,326.0,0.0,748.0,"Memphis city, Tennessee",False,-9.008,-17.505,-0.287,9.445,17.594,-0.048,+35.1564325,-089.9505138
47157001400,"Census Tract 14, Shelby County, Tennessee",1567.0,12.0,1447.0,0.0,0.0,0.0,86.0,"Memphis city, Tennessee",False,-14.852,11.547,-0.662,-0.662,3.336,0.0,+35.1546958,-089.9616026
47157001500,"Census Tract 15, Shelby County, Tennessee",1708.0,258.0,1278.0,0.0,26.0,0.0,134.0,"Memphis city, Tennessee",False,-0.326,-4.771,-0.322,-0.551,5.358,0.0,+35.1529927,-089.9740903
47157001600,"Census Tract 16, Shelby County, Tennessee",3234.0,2279.0,550.0,16.0,238.0,0.0,123.0,"Memphis city, Tennessee",False,-17.284,8.186,0.269,5.55,2.608,0.0,+35.1496273,-089.9923399
47157001700,"Census Tract 17, Shelby County, Tennessee",3934.0,1679.0,1960.0,0.0,57.0,0.0,43.0,"Memphis city, Tennessee",False,6.375,-9.069,-0.539,-0.908,-0.456,0.0,+35.1586332,-090.0042688
47157001900,"Census Tract 19, Shelby County, Tennessee",1143.0,6.0,1129.0,0.0,0.0,0.0,8.0,"Memphis city, Tennessee",False,-0.148,0.658,-0.09,-0.045,-0.287,0.0,+35.1632815,-090.0233110
47157002000,"Census Tract 20, Shelby County, Tennessee",1829.0,147.0,1593.0,6.0,10.0,0.0,56.0,"Memphis city, Tennessee",True,6.919,-10.915,0.162,0.34,2.689,0.0,+35.1609448,-090.0330256
47157002100,"Census Tract 21, Shelby County, Tennessee",1298.0,185.0,1053.0,20.0,0.0,0.0,40.0,"Memphis city, Tennessee",True,11.948,-12.728,1.102,0.0,0.118,0.0,+35.1600207,-090.0444429
47157002400,"Census Tract 24, Shelby County, Tennessee",2253.0,141.0,1840.0,30.0,14.0,7.0,169.0,"Memphis city, Tennessee",False,3.696,-14.28,1.123,0.174,6.697,0.281,+35.1511856,-090.0266203
47157002500,"Census Tract 25, Shelby County, Tennessee",2620.0,1132.0,1206.0,0.0,117.0,0.0,134.0,"Memphis city, Tennessee",False,10.68,-14.454,-0.664,-0.024,3.502,0.0,+35.1506700,-090.0159795
47157002600,"Census Tract 26, Shelby County, Tennessee",2741.0,2284.0,239.0,0.0,29.0,0.0,103.0,"Memphis city, Tennessee",False,-5.069,1.549,-1.139,-0.773,2.579,0.0,+35.1480882,-090.0039734
47157002700,"Census Tract 27, Shelby County, Tennessee",2131.0,663.0,1105.0,0.0,89.0,0.0,241.0,"Memphis city, Tennessee",True,-3.49,13.036,-0.52,-8.723,-1.634,0.0,+35.1429448,-089.9753531
47157002800,"Census Tract 28, Shelby County, Tennessee",3105.0,354.0,2601.0,0.0,103.0,0.0,39.0,"Memphis city, Tennessee",False,0.451,-3.877,-0.024,3.051,0.239,0.0,+35.1441760,-089.9577785
47157002900,"Census Tract 29, Shelby County, Tennessee",4952.0,4678.0,141.0,0.0,25.0,9.0,45.0,"Memphis city, Tennessee",False,-0.007,0.62,-0.386,-1.123,-0.162,0.182,+35.1370991,-089.9359355
47157003000,"Census Tract 30, Shelby County, Tennessee",2895.0,1540.0,1264.0,0.0,30.0,0.0,39.0,"Memphis city, Tennessee",False,12.556,-11.58,-0.4,-1.823,0.609,0.0,+35.1354646,-089.9540553
47157003100,"Census Tract 31, Shelby County, Tennessee",3465.0,2453.0,681.0,0.0,4.0,0.0,189.0,"Memphis city, Tennessee",False,-13.587,8.749,-0.44,-1.896,3.381,0.0,+35.1329460,-089.9797741
47157003200,"Census Tract 32, Shelby County, Tennessee",3876.0,2523.0,905.0,8.0,126.0,0.0,199.0,"Memphis city, Tennessee",False,-11.928,6.004,-0.42,1.112,2.943,-0.026,+35.1370959,-089.9969196
47157003300,"Census Tract 33, Shelby County, Tennessee",2418.0,2207.0,13.0,12.0,15.0,0.0,120.0,"Memphis city, Tennessee",False,-2.667,-2.195,-0.051,-0.519,3.687,0.0,+35.1281689,-089.9987071
47157003400,"Census Tract 34, Shelby County, Tennessee",2326.0,1367.0,627.0,50.0,123.0,0.0,72.0,"Memphis city, Tennessee",False,-15.235,5.849,1.371,2.823,1.927,0.0,+35.1375844,-090.0077831
47157003500,"Census Tract 35, Shelby County, Tennessee",3039.0,2211.0,579.0,0.0,100.0,0.0,125.0,"Memphis city, Tennessee",False,-10.026,6.379,-1.161,1.13,2.984,-0.032,+35.1279252,-090.0135950
47157003600,"Census Tract 36, Shelby County, Tennessee",1538.0,757.0,582.0,0.0,86.0,0.0,102.0,"Memphis city, Tennessee",False,21.302,10.686,-0.398,-20.502,-10.775,-0.033,+35.1388723,-090.0171880
47157003700,"Census Tract 37, Shelby County, Tennessee",1220.0,241.0,799.0,18.0,79.0,0.0,19.0,"Memphis city, Tennessee",False,0.34,-12.242,0.683,5.683,0.765,0.0,+35.1355343,-090.0278925
47157003800,"Census Tract 38, Shelby County, Tennessee",754.0,162.0,544.0,0.0,37.0,0.0,11.0,"Memphis city, Tennessee",False,-14.164,23.584,-0.459,-7.091,-1.009,0.0,+35.1416192,-090.0282668
47157003900,"Census Tract 39, Shelby County, Tennessee",1534.0,258.0,1112.0,0.0,101.0,0.0,58.0,"Memphis city, Tennessee",False,-3.375,2.054,-0.162,2.061,-0.177,0.0,+35.1442695,-090.0385607
47157004200,"Census Tract 42, Shelby County, Tennessee",3323.0,2226.0,823.0,10.0,98.0,0.0,86.0,"Memphis city, Tennessee",False,13.514,-18.611,-0.255,2.023,1.523,0.0,+35.1482118,-090.0584855
47157004300,"Census Tract 43, Shelby County, Tennessee",2799.0,1548.0,984.0,0.0,54.0,0.0,133.0,"Memphis city, Tennessee",False,-10.07,5.124,-0.689,-0.023,3.488,0.0,+35.1297950,-090.0647886
47157004500,"Census Tract 45, Shelby County, Tennessee",1109.0,80.0,990.0,0.0,0.0,0.0,39.0,"Memphis city, Tennessee",False,6.637,-8.424,0.0,-0.494,2.281,0.0,+35.1285674,-090.0394263
47157004600,"Census Tract 46, Shelby County, Tennessee",1185.0,140.0,1015.0,0.0,6.0,0.0,0.0,"Memphis city, Tennessee",False,3.034,-4.536,-0.108,0.452,-0.434,0.0,+35.1286244,-090.0280481
47157005000,"Census Tract 50, Shelby County, Tennessee",949.0,17.0,932.0,0.0,0.0,0.0,0.0,"Memphis city, Tennessee",False,0.915,1.069,-0.046,-0.046,-1.753,0.0,+35.1214284,-090.0510709
47157005300,"Census Tract 53, Shelby County, Tennessee",3308.0,9.0,3121.0,0.0,8.0,0.0,23.0,"Memphis city, Tennessee",False,-0.261,-4.626,-0.079,0.242,0.399,0.0,+35.0930408,-090.0757059
47157005500,"Census Tract 55, Shelby County, Tennessee",2106.0,44.0,2024.0,0.0,0.0,0.0,38.0,"Memphis city, Tennessee",False,1.31,-2.361,-0.05,-0.025,1.126,0.0,+35.0939257,-090.0593626
47157005600,"Census Tract 56, Shelby County, Tennessee",4087.0,21.0,4066.0,0.0,0.0,0.0,0.0,"Memphis city, Tennessee",False,-0.252,0.671,-0.066,-0.087,-0.265,-0.022,+35.0890357,-090.0447066
47157005700,"Census Tract 57, Shelby County, Tennessee",2795.0,58.0,2716.0,0.0,0.0,4.0,6.0,"Memphis city, Tennessee",False,1.661,-1.658,-0.126,0.0,-0.413,0.143,+35.1042256,-090.0410602
47157005800,"Census Tract 58, Shelby County, Tennessee",756.0,30.0,717.0,0.0,0.0,0.0,0.0,"Memphis city, Tennessee",False,3.431,-3.763,-0.215,0.0,-0.644,0.0,+35.1117123,-090.0511301
47157005900,"Census Tract 59, Shelby County, Tennessee",2241.0,14.0,2210.0,0.0,0.0,0.0,17.0,"Memphis city, Tennessee",False,-5.921,6.288,-0.409,-0.179,0.248,-0.026,+35.1114620,-090.0387182
47157006000,"Census Tract 60, Shelby County, Tennessee",1855.0,65.0,1772.0,0.0,0.0,0.0,12.0,"Memphis city, Tennessee",False,3.337,-4.015,-0.125,-0.042,0.522,0.0,+35.1045937,-090.0188179
47157006200,"Census Tract 62, Shelby County, Tennessee",1616.0,56.0,1546.0,0.0,0.0,0.0,0.0,"Memphis city, Tennessee",False,-0.504,0.204,-0.179,-0.09,-0.298,0.0,+35.1174682,-090.0110796
47157006300,"Census Tract 63, Shelby County, Tennessee",2714.0,1754.0,916.0,0.0,0.0,0.0,27.0,"Memphis city, Tennessee",False,11.778,-11.192,-0.441,-0.772,0.296,0.0,+35.1204594,-089.9976467
47157006400,"Census Tract 64, Shelby County, Tennessee",1808.0,61.0,1668.0,0.0,0.0,0.0,35.0,"Memphis city, Tennessee",False,0.334,-3.55,-0.157,-0.052,1.097,0.0,+35.1125835,-089.9984243
47157006500,"Census Tract 65, Shelby County, Tennessee",2441.0,36.0,2379.0,9.0,6.0,0.0,11.0,"Memphis city, Tennessee",False,0.647,-0.733,0.218,0.246,-0.264,0.0,+35.1043230,-089.9974849
47157006600,"Census Tract 66, Shelby County, Tennessee",2217.0,1238.0,721.0,0.0,21.0,0.0,101.0,"Memphis city, Tennessee",False,6.346,-14.752,-0.848,0.301,3.101,0.0,+35.1198602,-089.9845834
47157006700,"Census Tract 67, Shelby County, Tennessee",3580.0,71.0,3459.0,0.0,29.0,0.0,21.0,"Memphis city, Tennessee",False,-1.227,0.688,-0.088,0.788,-0.161,0.0,+35.1133986,-089.9753652
