GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
04013318400,"Census Tract 3184, Maricopa County, Arizona",5590.0,2630.0,221.0,42.0,308.0,24.0,2298.0,"Mesa city, Arizona",False,-13.928,2.311,-1.498,2.384,9.598,0.429,+33.4339879,-111.9162539
04013420104,"Census Tract 4201.04, Maricopa County, Arizona",5887.0,4224.0,0.0,0.0,58.0,0.0,1491.0,"Mesa city, Arizona",False,-12.192,-1.818,-1.275,-0.101,13.639,0.0,+33.4295087,-111.6563794
04013420105,"Census Tract 4201.05, Maricopa County, Arizona",6102.0,4973.0,160.0,67.0,160.0,0.0,714.0,"Mesa city, Arizona",False,-4.814,1.236,0.165,1.135,1.971,-0.025,+33.4475025,-111.6569274
04013420107,"Census Tract 4201.07, Maricopa County, Arizona",6743.0,5830.0,142.0,0.0,91.0,0.0,509.0,"Mesa city, Arizona",False,-4.646,0.955,-0.476,-0.576,2.526,0.0,+33.4792633,-111.6740249
04013420108,"Census Tract 4201.08, Maricopa County, Arizona",1758.0,1423.0,15.0,0.0,15.0,0.0,253.0,"Mesa city, Arizona",False,-10.162,-0.298,-0.476,-1.073,9.368,0.0,+33.4795824,-111.6403873
04013420109,"Census Tract 4201.09, Maricopa County, Arizona",4874.0,4153.0,91.0,33.0,187.0,0.0,332.0,"Mesa city, Arizona",False,-5.899,0.716,0.201,1.911,1.789,0.0,+33.4595197,-111.6595501
04013420110,"Census Tract 4201.10, Maricopa County, Arizona",5552.0,4569.0,50.0,155.0,27.0,11.0,708.0,"Mesa city, Arizona",False,-1.837,-0.803,1.581,-0.81,1.191,0.102,+33.4559724,-111.6080757
04013420111,"Census Tract 4201.11, Maricopa County, Arizona",3865.0,2586.0,41.0,9.0,46.0,0.0,1105.0,"Mesa city, Arizona",False,-17.224,-0.643,-0.978,-0.106,17.029,-0.096,+33.4297294,-111.6240166
04013420112,"Census Tract 4201.12, Maricopa County, Arizona",3299.0,2735.0,60.0,21.0,47.0,0.0,412.0,"Mesa city, Arizona",False,-1.228,0.115,-0.574,0.129,0.928,-0.096,+33.4283654,-111.5878372
04013420113,"Census Tract 4201.13, Maricopa County, Arizona",3807.0,2309.0,565.0,17.0,0.0,0.0,844.0,"Mesa city, Arizona",False,-21.719,13.078,-1.387,-0.541,8.865,0.0,+33.4190041,-111.6759674
04013420114,"Census Tract 4201.14, Maricopa County, Arizona",4003.0,2099.0,143.0,59.0,43.0,0.0,1544.0,"Mesa city, Arizona",False,-29.934,1.809,-0.36,0.533,25.266,0.0,+33.4187804,-111.6500471
04013420115,"Census Tract 4201.15, Maricopa County, Arizona",3288.0,2451.0,0.0,31.0,10.0,0.0,766.0,"Mesa city, Arizona",False,-11.263,-0.763,-0.49,-0.251,12.086,0.0,+33.4176452,-111.6198016
04013420116,"Census Tract 4201.16, Maricopa County, Arizona",2876.0,2313.0,36.0,15.0,54.0,0.0,417.0,"Mesa city, Arizona",False,-5.383,0.489,-0.911,1.323,3.288,0.0,+33.4187068,-111.5941823
04013420202,"Census Tract 4202.02, Maricopa County, Arizona",5605.0,4511.0,90.0,171.0,87.0,0.0,693.0,"Mesa city, Arizona",False,-7.077,0.107,1.737,0.259,4.214,-0.041,+33.4301383,-111.6930944
04013420206,"Census Tract 4202.06, Maricopa County, Arizona",3634.0,3335.0,10.0,1.0,37.0,0.0,210.0,"Mesa city, Arizona",False,-1.669,-1.224,-0.862,0.479,2.359,-0.047,+33.4698474,-111.7101019
04013420207,"Census Tract 4202.07, Maricopa County, Arizona",2881.0,2463.0,20.0,0.0,48.0,0.0,324.0,"Mesa city, Arizona",False,-6.06,-0.556,-0.608,-0.396,6.819,-0.135,+33.4901256,-111.6923542
04013420208,"Census Tract 4202.08, Maricopa County, Arizona",5770.0,3672.0,213.0,131.0,115.0,20.0,1468.0,"Mesa city, Arizona",False,-17.936,1.7,0.93,-0.017,12.625,0.312,+33.4300703,-111.7277109
04013420209,"Census Tract 4202.09, Maricopa County, Arizona",4022.0,3569.0,79.0,0.0,98.0,0.0,248.0,"Mesa city, Arizona",False,-2.101,0.649,-0.58,0.186,1.24,-0.045,+33.4297703,-111.7086665
04013420210,"Census Tract 4202.10, Maricopa County, Arizona",5590.0,4232.0,69.0,109.0,7.0,0.0,1048.0,"Mesa city, Arizona",False,-9.405,-1.51,0.963,-1.776,9.636,-0.072,+33.4446119,-111.6929143
04013420211,"Census Tract 4202.11, Maricopa County, Arizona",4238.0,3441.0,102.0,9.0,55.0,10.0,455.0,"Mesa city, Arizona",False,-6.636,1.019,-0.343,-0.622,2.754,0.213,+33.4735699,-111.6925704
04013420212,"Census Tract 4202.12, Maricopa County, Arizona",3240.0,2656.0,58.0,133.0,37.0,0.0,317.0,"Mesa city, Arizona",False,-8.772,0.738,3.194,0.651,3.124,0.0,+33.4586409,-111.6885124
04013420213,"Census Tract 4202.13, Maricopa County, Arizona",1947.0,1888.0,0.0,0.0,9.0,0.0,41.0,"Mesa city, Arizona",False,4.543,-0.557,-0.914,-0.055,-3.32,0.0,+33.4191805,-111.7277634
04013420214,"Census Tract 4202.14, Maricopa County, Arizona",4128.0,3105.0,302.0,49.0,0.0,10.0,519.0,"Mesa city, Arizona",False,-17.209,6.759,0.273,-0.517,7.147,0.242,+33.4194724,-111.7017702
04013420215,"Census Tract 4202.15, Maricopa County, Arizona",2335.0,1685.0,66.0,0.0,7.0,0.0,509.0,"Mesa city, Arizona",False,-15.917,1.515,-0.85,-1.456,13.982,0.0,+33.4445634,-111.7275522
04013420216,"Census Tract 4202.16, Maricopa County, Arizona",4319.0,3457.0,94.0,9.0,66.0,0.0,579.0,"Mesa city, Arizona",False,-8.038,0.864,-0.642,-0.228,5.589,0.0,+33.4446172,-111.7102505
04013420301,"Census Tract 4203.01, Maricopa County, Arizona",2386.0,1817.0,79.0,0.0,282.0,0.0,164.0,"Mesa city, Arizona",False,-13.887,1.792,-0.536,9.854,1.156,0.0,+33.4575906,-111.7937677
04013420302,"Census Tract 4203.02, Maricopa County, Arizona",4761.0,3959.0,196.0,135.0,89.0,0.0,344.0,"Mesa city, Arizona",False,-6.191,3.017,2.367,-1.105,1.338,-0.061,+33.4586449,-111.7775275
04013420303,"Census Tract 4203.03, Maricopa County, Arizona",4775.0,3147.0,0.0,258.0,53.0,0.0,1185.0,"Mesa city, Arizona",False,-17.744,-1.455,4.885,-1.405,13.251,0.0,+33.4591060,-111.7620111
04013420304,"Census Tract 4203.04, Maricopa County, Arizona",1131.0,942.0,14.0,0.0,73.0,6.0,93.0,"Mesa city, Arizona",False,-7.82,-0.299,-0.878,4.368,4.162,0.531,+33.4755737,-111.7444652
04013420401,"Census Tract 4204.01, Maricopa County, Arizona",4766.0,1861.0,317.0,165.0,29.0,0.0,2305.0,"Mesa city, Arizona",False,-34.893,5.32,0.46,-0.305,27.843,-0.108,+33.4575091,-111.8269135
04013420402,"Census Tract 4204.02, Maricopa County, Arizona",4161.0,3273.0,40.0,134.0,174.0,0.0,436.0,"Mesa city, Arizona",False,4.719,-0.37,0.218,3.269,-10.042,-0.108,+33.4702132,-111.7789505
04013420501,"Census Tract 4205.01, Maricopa County, Arizona",7585.0,3374.0,560.0,873.0,115.0,0.0,2749.0,"Mesa city, Arizona",True,-16.534,3.664,8.418,0.245,5.609,-0.031,+33.4441380,-111.8311469
04013420503,"Census Tract 4205.03, Maricopa County, Arizona",3917.0,1676.0,342.0,348.0,41.0,0.0,1506.0,"Mesa city, Arizona",False,-36.871,5.324,7.354,-1.45,26.062,-0.014,+33.4464362,-111.8176657
04013420504,"Census Tract 4205.04, Maricopa County, Arizona",3653.0,2451.0,36.0,59.0,93.0,0.0,908.0,"Mesa city, Arizona",False,-12.563,-2.422,0.085,0.049,12.47,-0.014,+33.4433854,-111.8096308
04013420602,"Census Tract 4206.02, Maricopa County, Arizona",5364.0,3614.0,240.0,50.0,72.0,127.0,1193.0,"Mesa city, Arizona",False,-19.173,2.599,-0.216,-0.055,13.496,2.349,+33.4299352,-111.7794889
04013420603,"Census Tract 4206.03, Maricopa County, Arizona",4059.0,3256.0,229.0,44.0,0.0,85.0,414.0,"Mesa city, Arizona",False,-6.245,4.827,0.071,-1.655,0.541,2.094,+33.4445016,-111.7792986
04013420604,"Census Tract 4206.04, Maricopa County, Arizona",4762.0,3560.0,45.0,68.0,67.0,0.0,941.0,"Mesa city, Arizona",False,-15.357,0.251,0.587,0.334,12.59,0.0,+33.4439367,-111.7973995
04013420704,"Census Tract 4207.04, Maricopa County, Arizona",4968.0,3718.0,184.0,6.0,31.0,0.0,907.0,"Mesa city, Arizona",False,-9.352,1.309,-1.226,-1.284,8.304,-0.019,+33.4300168,-111.7622801
04013420705,"Census Tract 4207.05, Maricopa County, Arizona",3946.0,3329.0,43.0,104.0,112.0,0.0,272.0,"Mesa city, Arizona",False,-3.066,0.06,1.563,-0.551,0.201,0.0,+33.4445760,-111.7534952
04013420706,"Census Tract 4207.06, Maricopa County, Arizona",5048.0,4092.0,101.0,33.0,239.0,0.0,558.0,"Mesa city, Arizona",False,-5.756,0.647,-0.189,3.093,1.999,0.0,+33.4300170,-111.7450053
04013420707,"Census Tract 4207.07, Maricopa County, Arizona",2373.0,2000.0,115.0,0.0,9.0,6.0,220.0,"Mesa city, Arizona",False,-5.1,2.466,-0.811,-0.522,3.106,0.235,+33.4191076,-111.7623535
04013420708,"Census Tract 4207.08, Maricopa County, Arizona",3679.0,3380.0,34.0,17.0,0.0,54.0,180.0,"Mesa city, Arizona",False,2.491,-1.456,-0.349,-0.901,-1.272,1.45,+33.4191354,-111.7450284
04013420709,"Census Tract 4207.09, Maricopa County, Arizona",3472.0,2535.0,54.0,92.0,20.0,0.0,659.0,"Mesa city, Arizona",False,-12.181,0.059,1.946,-0.938,8.012,-0.035,+33.4145122,-111.7606324
04013420710,"Census Tract 4207.10, Maricopa County, Arizona",3845.0,1795.0,437.0,63.0,30.0,0.0,1541.0,"Mesa city, Arizona",False,-38.51,9.869,0.934,-0.734,29.11,-0.035,+33.4118810,-111.7450996
04013420800,"Census Tract 4208, Maricopa County, Arizona",5429.0,3424.0,296.0,245.0,1.0,0.0,1379.0,"Mesa city, Arizona",False,-11.698,2.856,3.037,-1.14,6.014,0.0,+33.4316380,-111.7951762
04013420901,"Census Tract 4209.01, Maricopa County, Arizona",4126.0,1405.0,331.0,506.0,44.0,203.0,1621.0,"Mesa city, Arizona",False,-31.119,3.038,9.787,-0.595,13.784,4.92,+33.4331863,-111.8141543
04013420902,"Census Tract 4209.02, Maricopa County, Arizona",3761.0,2427.0,50.0,49.0,9.0,0.0,1146.0,"Mesa city, Arizona",False,-15.379,-1.119,-0.13,-1.045,15.784,0.0,+33.4260911,-111.8141595
04013421001,"Census Tract 4210.01, Maricopa County, Arizona",3991.0,2403.0,243.0,103.0,23.0,0.0,1189.0,"Mesa city, Arizona",False,0.44,-0.155,0.367,-0.517,-0.59,-0.014,+33.4295874,-111.8356261
04013421002,"Census Tract 4210.02, Maricopa County, Arizona",3445.0,1379.0,596.0,108.0,0.0,0.0,1322.0,"Mesa city, Arizona",False,-19.741,11.056,0.921,-1.093,7.992,-0.014,+33.4285378,-111.8284349
04013421101,"Census Tract 4211.01, Maricopa County, Arizona",4987.0,2037.0,175.0,137.0,145.0,0.0,2384.0,"Mesa city, Arizona",False,-30.382,0.318,-0.783,1.602,27.156,-0.097,+33.4476587,-111.8475145
