GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
12086001002,"Census Tract 10.02, Miami-Dade County, Florida",6580.0,98.0,4436.0,0.0,0.0,0.0,2046.0,"Miami city, Florida",False,0.125,-15.635,-0.127,-0.143,16.031,0.0,+25.8537111,-080.2205467
12086001004,"Census Tract 10.04, Miami-Dade County, Florida",6713.0,75.0,4855.0,0.0,22.0,0.0,1703.0,"Miami city, Florida",False,-0.151,-12.231,-0.081,0.198,11.548,-0.016,+25.8432689,-080.2227936
12086001006,"Census Tract 10.06, Miami-Dade County, Florida",4509.0,175.0,2879.0,0.0,59.0,0.0,1237.0,"Miami city, Florida",False,-0.093,-9.118,-0.181,0.646,5.249,0.0,+25.8526312,-080.2034403
12086001104,"Census Tract 11.04, Miami-Dade County, Florida",4506.0,1620.0,843.0,5.0,181.0,0.0,1721.0,"Miami city, Florida",False,-8.619,-10.692,-0.02,1.324,15.755,0.0,+25.8620671,-080.1921439
12086001301,"Census Tract 13.01, Miami-Dade County, Florida",5229.0,920.0,1987.0,100.0,112.0,20.0,2090.0,"Miami city, Florida",False,-0.472,-12.113,1.684,0.669,10.257,0.365,+25.8511043,-080.1734414
12086001302,"Census Tract 13.02, Miami-Dade County, Florida",5052.0,1553.0,1081.0,0.0,96.0,0.0,2234.0,"Miami city, Florida",False,4.561,-23.666,-0.425,-0.616,19.314,-0.016,+25.8403371,-080.1766328
12086001401,"Census Tract 14.01, Miami-Dade County, Florida",5875.0,38.0,4705.0,0.0,0.0,0.0,1123.0,"Miami city, Florida",False,-1.298,-6.027,-0.09,-0.588,8.122,0.0,+25.8418481,-080.2016338
12086001402,"Census Tract 14.02, Miami-Dade County, Florida",6409.0,149.0,4122.0,0.0,0.0,0.0,2124.0,"Miami city, Florida",True,-0.272,-23.006,-0.168,-0.307,23.982,-0.028,+25.8470344,-080.1915947
12086001501,"Census Tract 15.01, Miami-Dade County, Florida",3880.0,18.0,3398.0,0.0,46.0,0.0,365.0,"Miami city, Florida",False,-0.033,-9.168,-0.05,1.161,6.798,0.0,+25.8355439,-080.2210283
12086001502,"Census Tract 15.02, Miami-Dade County, Florida",3880.0,41.0,2560.0,0.0,0.0,0.0,1279.0,"Miami city, Florida",False,0.518,-30.209,-0.14,-0.16,30.05,-0.02,+25.8358006,-080.2342077
12086001703,"Census Tract 17.03, Miami-Dade County, Florida",4410.0,150.0,94.0,0.0,0.0,0.0,4019.0,"Miami city, Florida",False,-1.758,0.805,-0.092,-0.092,-2.104,0.0,+25.8047311,-080.2472251
12086001801,"Census Tract 18.01, Miami-Dade County, Florida",5026.0,45.0,3744.0,74.0,7.0,0.0,1156.0,"Miami city, Florida",True,0.532,-22.718,1.388,0.139,20.685,0.0,+25.8277992,-080.2328235
12086001802,"Census Tract 18.02, Miami-Dade County, Florida",4392.0,120.0,2028.0,16.0,0.0,0.0,2228.0,"Miami city, Florida",False,2.228,-49.034,0.308,-0.056,46.61,0.0,+25.8182196,-080.2283622
12086001901,"Census Tract 19.01, Miami-Dade County, Florida",4663.0,68.0,3320.0,0.0,0.0,0.0,1275.0,"Miami city, Florida",False,0.863,-25.454,-0.05,-0.05,24.69,0.0,+25.8341119,-080.2114869
12086001903,"Census Tract 19.03, Miami-Dade County, Florida",3374.0,160.0,2606.0,0.0,0.0,0.0,577.0,"Miami city, Florida",False,4.167,-19.887,-0.237,-0.034,15.072,0.0,+25.8281946,-080.2205742
12086001904,"Census Tract 19.04, Miami-Dade County, Florida",4532.0,58.0,3020.0,0.0,0.0,13.0,1405.0,"Miami city, Florida",False,0.591,-29.719,-0.074,-0.123,28.343,0.287,+25.8242285,-080.2142349
12086002001,"Census Tract 20.01, Miami-Dade County, Florida",4330.0,53.0,3181.0,0.0,300.0,0.0,796.0,"Miami city, Florida",False,-1.665,-7.308,-0.046,6.766,2.367,0.0,+25.8358948,-080.1958796
12086002003,"Census Tract 20.03, Miami-Dade County, Florida",3723.0,201.0,2649.0,0.0,0.0,0.0,827.0,"Miami city, Florida",False,3.669,-13.951,-0.059,-0.44,10.16,0.0,+25.8287094,-080.2013325
12086002004,"Census Tract 20.04, Miami-Dade County, Florida",3251.0,76.0,2116.0,0.0,0.0,0.0,1059.0,"Miami city, Florida",False,-0.277,-11.063,-0.244,-0.07,12.317,0.0,+25.8291676,-080.1919630
12086002100,"Census Tract 21, Miami-Dade County, Florida",2538.0,1072.0,191.0,11.0,134.0,0.0,1141.0,"Miami city, Florida",False,3.222,-15.486,0.096,1.506,11.77,-0.034,+25.8109004,-080.1669444
12086002201,"Census Tract 22.01, Miami-Dade County, Florida",4055.0,773.0,1101.0,0.0,0.0,0.0,2160.0,"Miami city, Florida",False,-0.308,-39.278,-0.28,-0.215,39.887,0.0,+25.8190749,-080.1923875
12086002202,"Census Tract 22.02, Miami-Dade County, Florida",6020.0,303.0,3678.0,0.0,46.0,0.0,1824.0,"Miami city, Florida",True,3.86,-18.5,-0.102,0.696,11.409,0.0,+25.8181919,-080.2007341
12086002300,"Census Tract 23, Miami-Dade County, Florida",5571.0,54.0,3135.0,0.0,58.0,0.0,2324.0,"Miami city, Florida",False,0.256,-36.398,-0.079,0.902,35.338,0.0,+25.8167845,-080.2152347
12086002402,"Census Tract 24.02, Miami-Dade County, Florida",6768.0,295.0,327.0,0.0,12.0,0.0,6099.0,"Miami city, Florida",False,-2.328,-4.946,0.0,-0.005,6.883,0.0,+25.7982113,-080.2316693
