GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
55079000101,"Census Tract 1.01, Milwaukee County, Wisconsin",4701.0,1179.0,3143.0,0.0,63.0,0.0,224.0,"Milwaukee city, Wisconsin",False,-25.361,25.054,-0.524,-2.365,1.596,-0.036,+43.1820631,-088.0100300
55079000102,"Census Tract 1.02, Milwaukee County, Wisconsin",3458.0,668.0,2048.0,22.0,286.0,0.0,356.0,"Milwaukee city, Wisconsin",False,-31.123,17.421,0.112,4.566,7.126,-0.036,+43.1646428,-088.0116759
55079000201,"Census Tract 2.01, Milwaukee County, Wisconsin",5418.0,773.0,3241.0,0.0,179.0,0.0,994.0,"Milwaukee city, Wisconsin",False,-13.115,-4.576,-0.775,1.019,13.816,0.0,+43.1866246,-088.0512999
55079000202,"Census Tract 2.02, Milwaukee County, Wisconsin",6845.0,2514.0,3419.0,0.0,333.0,0.0,294.0,"Milwaukee city, Wisconsin",False,-25.631,21.093,-1.021,1.925,-0.036,0.0,+43.1609997,-088.0382587
55079000301,"Census Tract 3.01, Milwaukee County, Wisconsin",1500.0,1177.0,120.0,3.0,122.0,0.0,64.0,"Milwaukee city, Wisconsin",False,-5.645,-3.777,-0.497,5.833,3.152,0.0,+43.1361484,-088.0617334
55079000302,"Census Tract 3.02, Milwaukee County, Wisconsin",3179.0,286.0,2362.0,0.0,190.0,0.0,188.0,"Milwaukee city, Wisconsin",False,-18.215,7.332,-0.629,4.837,2.296,-0.157,+43.1392272,-088.0465034
55079000303,"Census Tract 3.03, Milwaukee County, Wisconsin",1862.0,649.0,918.0,19.0,56.0,0.0,74.0,"Milwaukee city, Wisconsin",False,-36.958,28.7,0.482,0.049,0.262,-0.161,+43.1296853,-088.0458825
55079000304,"Census Tract 3.04, Milwaukee County, Wisconsin",3401.0,1383.0,1547.0,0.0,144.0,0.0,273.0,"Milwaukee city, Wisconsin",False,-20.23,13.327,-0.463,1.611,4.539,0.0,+43.1436410,-088.0264463
55079000400,"Census Tract 4, Milwaukee County, Wisconsin",2537.0,824.0,1388.0,0.0,102.0,0.0,93.0,"Milwaukee city, Wisconsin",False,-23.334,18.513,-0.612,2.267,-1.185,0.0,+43.1136896,-088.0525138
55079000501,"Census Tract 5.01, Milwaukee County, Wisconsin",3925.0,1269.0,1989.0,0.0,41.0,6.0,463.0,"Milwaukee city, Wisconsin",False,-38.781,29.748,-0.967,-2.509,8.555,0.153,+43.1153922,-088.0434008
