GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
27053000101,"Census Tract 1.01, Hennepin County, Minnesota",3278.0,1091.0,1120.0,53.0,611.0,0.0,246.0,"Minneapolis city, Minnesota",False,-21.235,13.476,-0.78,1.071,3.278,0.0,+45.0454917,-093.3086485
27053000102,"Census Tract 1.02, Hennepin County, Minnesota",5332.0,2035.0,1697.0,12.0,664.0,0.0,450.0,"Minneapolis city, Minnesota",False,-21.749,12.875,-2.63,-0.204,3.224,0.0,+45.0430125,-093.2895130
27053000300,"Census Tract 3, Hennepin County, Minnesota",3204.0,2441.0,474.0,7.0,0.0,0.0,81.0,"Minneapolis city, Minnesota",False,3.37,-3.31,-1.272,-5.357,0.58,0.0,+45.0297772,-093.3135562
27053000601,"Census Tract 6.01, Hennepin County, Minnesota",5134.0,3828.0,669.0,10.0,89.0,0.0,197.0,"Minneapolis city, Minnesota",True,-4.888,5.733,-2.41,-3.021,-1.435,-0.021,+45.0265568,-093.2503008
27053000603,"Census Tract 6.03, Hennepin County, Minnesota",2854.0,2546.0,37.0,28.0,34.0,0.0,213.0,"Minneapolis city, Minnesota",False,-1.717,-1.143,0.048,-2.181,5.203,0.0,+45.0282496,-093.2316300
27053001100,"Census Tract 11, Hennepin County, Minnesota",2138.0,1503.0,183.0,22.0,77.0,0.0,199.0,"Minneapolis city, Minnesota",True,-5.793,1.616,-1.316,0.383,-0.945,0.0,+45.0167956,-093.2422222
27053001700,"Census Tract 17, Hennepin County, Minnesota",2324.0,1337.0,604.0,5.0,32.0,0.0,260.0,"Minneapolis city, Minnesota",True,-14.342,18.355,-4.268,-2.909,-0.191,0.0,+45.0087925,-093.2668994
27053002200,"Census Tract 22, Hennepin County, Minnesota",1540.0,217.0,372.0,61.0,779.0,0.0,81.0,"Minneapolis city, Minnesota",False,-4.761,-29.092,0.945,32.023,-0.308,0.0,+45.0025363,-093.2902770
27053002400,"Census Tract 24, Hennepin County, Minnesota",2442.0,1795.0,385.0,4.0,32.0,0.0,162.0,"Minneapolis city, Minnesota",True,0.338,10.379,-3.527,-2.979,-6.433,-0.05,+45.0027673,-093.2691087
27053002700,"Census Tract 27, Hennepin County, Minnesota",2841.0,525.0,1359.0,139.0,433.0,0.0,241.0,"Minneapolis city, Minnesota",True,9.478,-21.903,3.972,-1.591,5.187,0.0,+44.9951695,-093.3133431
27053003200,"Census Tract 32, Hennepin County, Minnesota",2058.0,556.0,1168.0,0.0,56.0,0.0,176.0,"Minneapolis city, Minnesota",False,11.72,-13.272,-1.137,-8.545,7.105,0.0,+44.9870203,-093.3140001
27053003300,"Census Tract 33, Hennepin County, Minnesota",2798.0,219.0,1683.0,108.0,435.0,0.0,288.0,"Minneapolis city, Minnesota",False,0.173,-9.429,2.739,-3.278,8.206,-0.039,+44.9879981,-093.3032245
27053003800,"Census Tract 38, Hennepin County, Minnesota",6143.0,4337.0,104.0,208.0,785.0,0.0,489.0,"Minneapolis city, Minnesota",False,-4.501,-1.638,2.571,-1.096,2.089,-0.048,+44.9853195,-093.2415210
27053005901,"Census Tract 59.01, Hennepin County, Minnesota",3004.0,1558.0,1093.0,30.0,101.0,0.0,95.0,"Minneapolis city, Minnesota",False,7.387,-0.968,-2.367,-0.984,-6.511,0.0,+44.9675488,-093.2601236
27053005902,"Census Tract 59.02, Hennepin County, Minnesota",3546.0,829.0,1430.0,289.0,18.0,0.0,850.0,"Minneapolis city, Minnesota",False,3.874,-3.792,1.286,-3.242,-1.49,0.0,+44.9630404,-093.2644337
27053006800,"Census Tract 68, Hennepin County, Minnesota",3746.0,2533.0,544.0,8.0,93.0,0.0,480.0,"Minneapolis city, Minnesota",False,5.665,-4.546,-1.153,-1.752,-0.07,0.0,+44.9600129,-093.2829297
27053007700,"Census Tract 77, Hennepin County, Minnesota",4591.0,2758.0,1072.0,0.0,323.0,0.0,394.0,"Minneapolis city, Minnesota",True,14.517,-4.433,-3.125,4.546,-11.682,0.0,+44.9501550,-093.2874611
27053007801,"Census Tract 78.01, Hennepin County, Minnesota",1874.0,452.0,655.0,4.0,38.0,0.0,673.0,"Minneapolis city, Minnesota",False,-5.224,2.74,-2.765,-10.879,13.684,0.0,+44.9528750,-093.2749236
27053008100,"Census Tract 81, Hennepin County, Minnesota",3545.0,2714.0,216.0,11.0,173.0,0.0,237.0,"Minneapolis city, Minnesota",False,-10.195,1.326,-0.946,1.055,3.745,-0.029,+44.9448465,-093.2932275
27053008200,"Census Tract 82, Hennepin County, Minnesota",4120.0,1586.0,1295.0,67.0,89.0,76.0,837.0,"Minneapolis city, Minnesota",False,-3.424,6.655,-0.027,-2.582,-5.853,1.801,+44.9448417,-093.2830363
27053008300,"Census Tract 83, Hennepin County, Minnesota",1886.0,611.0,337.0,37.0,20.0,0.0,843.0,"Minneapolis city, Minnesota",False,7.355,-17.156,-1.549,-12.519,22.448,0.0,+44.9448508,-093.2741004
