GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
22071000100,"Census Tract 1, Orleans Parish, Louisiana",2584.0,2196.0,236.0,0.0,7.0,0.0,145.0,"New Orleans city, Louisiana",False,17.576,-16.192,-0.798,-0.989,0.949,0.0,+29.9532061,-090.0521978
22071000200,"Census Tract 2, Orleans Parish, Louisiana",1202.0,272.0,856.0,6.0,0.0,0.0,36.0,"New Orleans city, Louisiana",True,8.969,-11.339,-0.169,-1.039,1.213,0.0,+29.9459372,-090.0528397
22071000300,"Census Tract 3, Orleans Parish, Louisiana",1361.0,133.0,1228.0,0.0,0.0,0.0,0.0,"New Orleans city, Louisiana",False,4.459,-3.369,0.0,-0.136,-0.817,0.0,+29.9409498,-090.0489913
22071000400,"Census Tract 4, Orleans Parish, Louisiana",1937.0,340.0,1511.0,26.0,22.0,0.0,31.0,"New Orleans city, Louisiana",False,6.477,-7.406,0.991,0.512,-0.701,0.0,+29.9468233,-090.0425280
22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",953.0,15.0,929.0,0.0,0.0,0.0,9.0,"New Orleans city, Louisiana",False,1.082,-1.83,-0.049,0.0,0.846,0.0,+29.9327827,-090.0409527
22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",2364.0,305.0,1897.0,0.0,4.0,0.0,158.0,"New Orleans city, Louisiana",False,-1.403,-1.561,-0.271,-0.237,3.809,0.0,+29.9374946,-090.0334521
22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",1072.0,16.0,839.0,0.0,11.0,0.0,199.0,"New Orleans city, Louisiana",False,-0.215,-5.979,-0.128,-3.543,9.511,0.0,+29.9300666,-090.0255274
22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",3892.0,521.0,3019.0,11.0,8.0,0.0,260.0,"New Orleans city, Louisiana",False,-3.62,4.43,-0.048,-1.09,-0.984,-0.019,+29.9326316,-090.0199694
22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",2242.0,403.0,1618.0,0.0,5.0,0.0,194.0,"New Orleans city, Louisiana",False,-12.211,8.005,-0.241,-0.776,4.415,-0.034,+29.9475265,-090.0265146
22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",4326.0,1231.0,2353.0,19.0,267.0,0.0,384.0,"New Orleans city, Louisiana",False,-32.112,22.778,0.121,4.127,3.627,0.0,+29.9331065,-090.0083102
