GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
36005000100,"Census Tract 1, Bronx County, New York",6864.0,603.0,3601.0,18.0,181.0,0.0,2407.0,"New York city, New York",False,0.248,-8.156,0.129,2.136,8.126,0.0,+40.7929362,-073.8812065
36005000200,"Census Tract 2, Bronx County, New York",4532.0,33.0,920.0,0.0,75.0,0.0,3444.0,"New York city, New York",False,-5.168,-2.464,-0.226,0.95,6.487,0.0,+40.8035344,-073.8606612
36005000400,"Census Tract 4, Bronx County, New York",5516.0,387.0,1264.0,17.0,121.0,0.0,3661.0,"New York city, New York",False,1.766,0.646,0.036,-0.371,-1.674,0.0,+40.8087867,-073.8514252
36005001600,"Census Tract 16, Bronx County, New York",5825.0,213.0,2021.0,0.0,64.0,0.0,3452.0,"New York city, New York",False,-1.117,3.666,-0.477,0.03,-2.796,0.0,+40.8188478,-073.8580764
36005001900,"Census Tract 19, Bronx County, New York",3141.0,340.0,937.0,45.0,72.0,0.0,1714.0,"New York city, New York",True,5.08,0.096,0.865,1.345,-7.742,0.0,+40.8009990,-073.9093729
36005002000,"Census Tract 20, Bronx County, New York",9040.0,21.0,3031.0,112.0,0.0,0.0,5912.0,"New York city, New York",False,-1.202,-9.182,1.085,-0.761,10.921,0.0,+40.8175801,-073.8660962
36005002300,"Census Tract 23, Bronx County, New York",4302.0,1.0,1192.0,49.0,0.0,0.0,3062.0,"New York city, New York",False,-1.13,-7.838,0.747,-0.207,8.659,0.0,+40.8090823,-073.9258441
36005002400,"Census Tract 24, Bronx County, New York",155.0,65.0,90.0,0.0,0.0,0.0,0.0,"New York city, New York",False,,,,,,,+40.8157352,-073.8710826
36005002500,"Census Tract 25, Bronx County, New York",5610.0,220.0,1355.0,19.0,6.0,0.0,3986.0,"New York city, New York",False,3.139,5.089,0.143,-0.519,-7.985,0.0,+40.8070025,-073.9208749
36005002701,"Census Tract 27.01, Bronx County, New York",2608.0,0.0,643.0,0.0,0.0,0.0,1965.0,"New York city, New York",False,-0.462,-9.404,-0.066,-0.099,10.492,0.0,+40.8050606,-073.9163335
36005002702,"Census Tract 27.02, Bronx County, New York",4560.0,36.0,1917.0,72.0,0.0,0.0,2566.0,"New York city, New York",False,-0.351,18.559,1.368,-0.19,-18.622,0.0,+40.8064490,-073.9137729
36005002800,"Census Tract 28, Bronx County, New York",5151.0,51.0,3520.0,0.0,0.0,0.0,1546.0,"New York city, New York",False,-0.234,-9.453,-0.437,-0.245,9.815,-0.035,+40.8225183,-073.8782336
36005003100,"Census Tract 31, Bronx County, New York",1689.0,24.0,394.0,0.0,74.0,0.0,1190.0,"New York city, New York",False,-0.203,2.623,-0.203,4.246,-6.269,0.0,+40.8098988,-073.9056901
36005003300,"Census Tract 33, Bronx County, New York",3277.0,92.0,995.0,68.0,0.0,0.0,1990.0,"New York city, New York",False,1.331,9.503,1.529,-0.481,-15.75,0.0,+40.8082418,-073.9119436
36005003500,"Census Tract 35, Bronx County, New York",3907.0,17.0,1243.0,96.0,0.0,0.0,2647.0,"New York city, New York",False,-0.256,6.505,2.198,-0.173,-5.76,0.0,+40.8109651,-073.9086696
36005003700,"Census Tract 37, Bronx County, New York",250.0,21.0,77.0,0.0,0.0,0.0,152.0,"New York city, New York",False,7.772,-5.602,-0.628,-0.209,-1.334,0.0,+40.8114570,-073.9121722
36005003800,"Census Tract 38, Bronx County, New York",1350.0,0.0,322.0,7.0,0.0,0.0,1028.0,"New York city, New York",False,-3.405,-10.986,0.123,-0.95,16.528,0.0,+40.8202946,-073.8633435
36005003900,"Census Tract 39, Bronx County, New York",6260.0,520.0,973.0,43.0,0.0,0.0,4767.0,"New York city, New York",False,6.846,-3.139,0.621,-0.548,-2.644,0.0,+40.8097217,-073.9214264
36005004001,"Census Tract 40.01, Bronx County, New York",1475.0,128.0,127.0,19.0,161.0,0.0,991.0,"New York city, New York",False,-6.533,-9.841,0.232,-1.198,16.271,0.0,+40.8282719,-073.8583355
36005004100,"Census Tract 41, Bronx County, New York",5942.0,102.0,1625.0,219.0,12.0,0.0,4192.0,"New York city, New York",False,0.725,1.947,3.304,-0.122,-2.256,-0.115,+40.8113856,-073.9194099
36005004200,"Census Tract 42, Bronx County, New York",7697.0,409.0,2663.0,0.0,32.0,0.0,4566.0,"New York city, New York",False,3.519,-13.362,-0.266,-0.05,10.327,-0.053,+40.8239305,-073.8620068
36005004300,"Census Tract 43, Bronx County, New York",5552.0,64.0,1472.0,0.0,52.0,0.0,3956.0,"New York city, New York",False,0.547,5.862,-0.271,0.269,-6.278,0.0,+40.8136213,-073.9170376
