GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06001400100,"Census Tract 4001, Alameda County, California",3120.0,2317.0,107.0,0.0,391.0,0.0,118.0,"Oakland city, California",False,-3.279,-1.575,-0.48,0.242,-0.101,-0.16,+37.8676275,-122.2319460
06001400200,"Census Tract 4002, Alameda County, California",2007.0,1475.0,52.0,4.0,171.0,0.0,174.0,"Oakland city, California",False,-5.512,-1.126,-0.796,-0.485,2.544,0.0,+37.8481378,-122.2495916
06001400300,"Census Tract 4003, Alameda County, California",5051.0,3434.0,459.0,0.0,590.0,23.0,351.0,"Oakland city, California",False,0.806,-6.656,-0.677,2.927,0.512,0.414,+37.8405970,-122.2544404
06001400400,"Census Tract 4004, Alameda County, California",4007.0,2554.0,266.0,44.0,420.0,0.0,485.0,"Oakland city, California",False,-0.679,-11.7,0.36,1.928,5.518,-0.027,+37.8482808,-122.2574477
06001400500,"Census Tract 4005, Alameda County, California",4124.0,1874.0,882.0,0.0,446.0,22.0,390.0,"Oakland city, California",True,8.256,-22.895,-0.674,4.833,-1.188,0.504,+37.8485412,-122.2647277
06001400600,"Census Tract 4006, Alameda County, California",1745.0,860.0,358.0,3.0,169.0,15.0,131.0,"Oakland city, California",True,26.085,-40.234,-0.531,4.471,-1.163,0.86,+37.8419909,-122.2648882
06001400700,"Census Tract 4007, Alameda County, California",5128.0,1963.0,1448.0,14.0,329.0,0.0,994.0,"Oakland city, California",True,21.385,-41.5,-0.379,1.9,12.666,-0.067,+37.8417667,-122.2723528
06001400800,"Census Tract 4008, Alameda County, California",4069.0,1772.0,947.0,29.0,618.0,0.0,432.0,"Oakland city, California",True,22.617,-35.812,-0.178,5.835,1.68,-0.03,+37.8454674,-122.2833943
06001400900,"Census Tract 4009, Alameda County, California",2471.0,1029.0,711.0,61.0,101.0,0.0,391.0,"Oakland city, California",True,21.325,-35.151,1.573,-1.288,7.599,0.0,+37.8394912,-122.2802646
06001401000,"Census Tract 4010, Alameda County, California",6133.0,2051.0,1862.0,10.0,412.0,95.0,1148.0,"Oakland city, California",True,24.246,-42.788,-0.31,-0.113,9.137,1.426,+37.8312254,-122.2719013
06001401100,"Census Tract 4011, Alameda County, California",4287.0,2246.0,332.0,0.0,849.0,12.0,461.0,"Oakland city, California",True,15.456,-27.07,-1.373,6.078,-1.026,0.255,+37.8305012,-122.2638578
06001401200,"Census Tract 4012, Alameda County, California",2619.0,1598.0,295.0,8.0,301.0,0.0,319.0,"Oakland city, California",False,7.439,-12.955,-0.312,-1.624,4.573,0.0,+37.8306009,-122.2579158
06001401300,"Census Tract 4013, Alameda County, California",3921.0,1506.0,1118.0,34.0,657.0,0.0,397.0,"Oakland city, California",False,14.281,-23.729,-0.592,4.621,1.264,-0.071,+37.8181162,-122.2666978
06001401400,"Census Tract 4014, Alameda County, California",4732.0,1218.0,1511.0,73.0,570.0,15.0,897.0,"Oakland city, California",True,20.43,-34.532,1.018,0.566,4.14,0.254,+37.8207560,-122.2733874
06001401500,"Census Tract 4015, Alameda County, California",2839.0,1048.0,1060.0,12.0,129.0,24.0,401.0,"Oakland city, California",True,25.932,-33.819,-0.406,-1.092,3.557,0.762,+37.8229286,-122.2806336
06001401600,"Census Tract 4016, Alameda County, California",2289.0,656.0,822.0,0.0,239.0,21.0,459.0,"Oakland city, California",True,18.468,-24.617,-1.293,1.698,3.394,0.917,+37.8173713,-122.2814822
06001401700,"Census Tract 4017, Alameda County, California",3018.0,1173.0,514.0,0.0,360.0,7.0,804.0,"Oakland city, California",True,27.738,-35.099,-1.331,7.295,-3.605,0.232,+37.8139050,-122.3155320
06001401800,"Census Tract 4018, Alameda County, California",1801.0,603.0,688.0,12.0,99.0,0.0,365.0,"Oakland city, California",True,30.306,-38.092,-0.204,2.988,4.496,-0.051,+37.8095326,-122.2982355
06001402200,"Census Tract 4022, Alameda County, California",2477.0,740.0,787.0,40.0,405.0,0.0,402.0,"Oakland city, California",True,20.072,-20.207,1.112,9.493,-14.043,0.0,+37.8063521,-122.2963073
06001402400,"Census Tract 4024, Alameda County, California",2866.0,691.0,1387.0,1.0,362.0,10.0,262.0,"Oakland city, California",True,19.132,-27.965,-0.278,1.245,2.456,0.349,+37.8120305,-122.2824576
06001402500,"Census Tract 4025, Alameda County, California",1781.0,194.0,1040.0,0.0,237.0,0.0,263.0,"Oakland city, California",False,7.352,-18.559,-0.337,0.491,8.696,-0.169,+37.8057305,-122.2847803
06001402600,"Census Tract 4026, Alameda County, California",1243.0,179.0,322.0,6.0,481.0,0.0,205.0,"Oakland city, California",True,8.362,-19.028,-0.131,-3.882,11.784,0.0,+37.8042701,-122.2799551
06001402700,"Census Tract 4027, Alameda County, California",1890.0,439.0,799.0,12.0,205.0,0.0,389.0,"Oakland city, California",True,19.452,-19.373,-0.546,2.027,-2.456,-0.052,+37.8103873,-122.2769910
06001402800,"Census Tract 4028, Alameda County, California",4480.0,1263.0,1706.0,26.0,832.0,0.0,281.0,"Oakland city, California",True,11.124,-20.663,-0.362,4.121,-1.791,-0.157,+37.8087180,-122.2715001
06001402900,"Census Tract 4029, Alameda County, California",1406.0,303.0,241.0,3.0,528.0,0.0,248.0,"Oakland city, California",False,-1.455,-15.314,-0.949,3.626,8.576,-0.155,+37.8071720,-122.2667847
06001403000,"Census Tract 4030, Alameda County, California",2905.0,189.0,127.0,10.0,2366.0,72.0,66.0,"Oakland city, California",True,2.775,0.166,0.125,-8.678,0.589,2.441,+37.8004341,-122.2707274
