GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
40017300201,"Census Tract 3002.01, Canadian County, Oklahoma",6775.0,5475.0,59.0,223.0,0.0,0.0,752.0,"Oklahoma City city, Oklahoma",False,-11.157,0.352,-1.488,-0.273,8.806,0.0,+35.6761348,-097.8262754
40017300801,"Census Tract 3008.01, Canadian County, Oklahoma",12979.0,10084.0,453.0,129.0,778.0,0.0,813.0,"Oklahoma City city, Oklahoma",False,-14.871,2.922,-2.331,4.967,4.047,0.0,+35.5874859,-097.7541331
40017300802,"Census Tract 3008.02, Canadian County, Oklahoma",2692.0,2263.0,0.0,84.0,16.0,0.0,116.0,"Oklahoma City city, Oklahoma",False,-8.888,-1.088,-0.333,-0.541,2.984,0.0,+35.5870891,-097.7295179
40017300901,"Census Tract 3009.01, Canadian County, Oklahoma",6540.0,4475.0,123.0,276.0,180.0,0.0,983.0,"Oklahoma City city, Oklahoma",False,-19.717,0.495,0.594,-0.362,11.405,0.0,+35.5301866,-097.7160452
40017300904,"Census Tract 3009.04, Canadian County, Oklahoma",4242.0,2696.0,204.0,127.0,82.0,0.0,979.0,"Oklahoma City city, Oklahoma",False,-23.077,3.42,-1.217,-2.088,19.605,0.0,+35.4946188,-097.6884476
40017300905,"Census Tract 3009.05, Canadian County, Oklahoma",5205.0,3718.0,157.0,302.0,283.0,0.0,338.0,"Oklahoma City city, Oklahoma",False,-15.201,1.627,1.591,1.416,3.02,0.0,+35.4998700,-097.7122507
40017301001,"Census Tract 3010.01, Canadian County, Oklahoma",797.0,605.0,86.0,7.0,78.0,0.0,8.0,"Oklahoma City city, Oklahoma",False,-5.908,8.193,-4.317,9.787,-9.386,0.0,+35.4679055,-097.6988990
40017301003,"Census Tract 3010.03, Canadian County, Oklahoma",5132.0,4422.0,46.0,52.0,158.0,0.0,322.0,"Oklahoma City city, Oklahoma",False,-1.009,-1.134,-3.604,0.402,3.04,0.0,+35.4673460,-097.7524882
40017301006,"Census Tract 3010.06, Canadian County, Oklahoma",2957.0,2412.0,8.0,92.0,266.0,0.0,43.0,"Oklahoma City city, Oklahoma",False,7.978,-1.26,-0.96,-8.397,-1.843,-0.034,+35.4561930,-097.6918011
40017301007,"Census Tract 3010.07, Canadian County, Oklahoma",6384.0,4503.0,217.0,189.0,637.0,0.0,599.0,"Oklahoma City city, Oklahoma",False,-3.055,1.868,-1.11,-7.415,6.086,-0.034,+35.4592500,-097.7335910
40017301008,"Census Tract 3010.08, Canadian County, Oklahoma",6832.0,4955.0,225.0,236.0,854.0,0.0,410.0,"Oklahoma City city, Oklahoma",False,-12.12,2.691,-0.61,4.597,3.342,0.0,+35.4364104,-097.6878711
40017301009,"Census Tract 3010.09, Canadian County, Oklahoma",5914.0,4370.0,338.0,141.0,150.0,0.0,588.0,"Oklahoma City city, Oklahoma",False,-10.754,5.113,-1.68,-5.367,7.284,0.0,+35.4336405,-097.7285282
40017301100,"Census Tract 3011, Canadian County, Oklahoma",7025.0,5385.0,91.0,181.0,0.0,0.0,884.0,"Oklahoma City city, Oklahoma",False,-13.61,0.604,-1.724,-1.632,9.665,0.0,+35.4886946,-097.7317038
40017301300,"Census Tract 3013, Canadian County, Oklahoma",6063.0,5045.0,92.0,137.0,142.0,0.0,410.0,"Oklahoma City city, Oklahoma",False,-9.438,1.28,-1.653,1.275,4.904,0.0,+35.4574749,-097.7858473
40017301408,"Census Tract 3014.08, Canadian County, Oklahoma",1685.0,1379.0,12.0,38.0,54.0,0.0,58.0,"Oklahoma City city, Oklahoma",False,-9.295,-0.164,-2.463,2.472,1.065,-0.089,+35.3564975,-097.7544128
