GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
31055000200,"Census Tract 2, Douglas County, Nebraska",3633.0,2348.0,1000.0,15.0,9.0,0.0,87.0,"Omaha city, Nebraska",False,-8.172,5.444,-0.953,-0.1,-0.884,0.0,+41.3292580,-095.9516884
31055000300,"Census Tract 3, Douglas County, Nebraska",2337.0,694.0,1222.0,18.0,0.0,0.0,358.0,"Omaha city, Nebraska",False,4.066,-16.351,-0.338,-0.42,11.232,0.0,+41.3114693,-095.9499280
31055000400,"Census Tract 4, Douglas County, Nebraska",2150.0,964.0,161.0,13.0,9.0,0.0,957.0,"Omaha city, Nebraska",False,-33.788,2.71,-1.323,-0.461,31.017,-0.042,+41.3149839,-095.9362601
31055000500,"Census Tract 5, Douglas County, Nebraska",2975.0,1695.0,458.0,33.0,47.0,5.0,550.0,"Omaha city, Nebraska",True,-5.555,-12.268,-1.373,1.338,11.465,0.168,+41.3024254,-095.8927626
31055000600,"Census Tract 6, Douglas County, Nebraska",1575.0,420.0,990.0,11.0,0.0,0.0,136.0,"Omaha city, Nebraska",False,-1.315,-4.583,-0.656,-0.193,5.669,0.0,+41.3030287,-095.9495323
31055000700,"Census Tract 7, Douglas County, Nebraska",1032.0,106.0,852.0,0.0,0.0,0.0,16.0,"Omaha city, Nebraska",False,4.38,-7.435,-0.426,0.0,-1.928,0.0,+41.2943881,-095.9517618
31055000800,"Census Tract 8, Douglas County, Nebraska",1817.0,162.0,1211.0,23.0,108.0,0.0,219.0,"Omaha city, Nebraska",False,-0.681,-18.534,-0.126,5.845,8.771,0.0,+41.2937293,-095.9394197
31055001100,"Census Tract 11, Douglas County, Nebraska",3204.0,514.0,1997.0,0.0,0.0,0.0,417.0,"Omaha city, Nebraska",False,4.916,-19.877,-0.898,-2.211,10.147,0.0,+41.2785520,-095.9517960
31055001200,"Census Tract 12, Douglas County, Nebraska",3333.0,604.0,2060.0,30.0,189.0,0.0,348.0,"Omaha city, Nebraska",False,5.031,-17.763,-0.311,5.293,5.787,-0.038,+41.2782248,-095.9421626
31055001600,"Census Tract 16, Douglas County, Nebraska",2813.0,2023.0,106.0,8.0,313.0,12.0,242.0,"Omaha city, Nebraska",False,2.989,-6.478,-1.355,-2.994,3.722,0.203,+41.2637274,-095.9453323
31055001800,"Census Tract 18, Douglas County, Nebraska",4928.0,3354.0,656.0,78.0,177.0,0.0,536.0,"Omaha city, Nebraska",False,5.124,-12.128,-0.244,1.666,3.371,-0.033,+41.2538889,-095.9312563
31055001900,"Census Tract 19, Douglas County, Nebraska",1885.0,900.0,445.0,10.0,139.0,0.0,274.0,"Omaha city, Nebraska",False,-9.957,5.379,-1.459,4.807,-4.334,-0.064,+41.2540466,-095.9445806
31055002000,"Census Tract 20, Douglas County, Nebraska",3609.0,779.0,0.0,46.0,17.0,0.0,2662.0,"Omaha city, Nebraska",False,-29.448,-1.812,-0.378,-1.055,30.04,0.0,+41.2367844,-095.9442840
31055002100,"Census Tract 21, Douglas County, Nebraska",2141.0,933.0,158.0,9.0,13.0,0.0,993.0,"Omaha city, Nebraska",True,-20.498,1.759,-2.039,-0.227,19.59,0.0,+41.2428718,-095.9339372
31055002200,"Census Tract 22, Douglas County, Nebraska",1198.0,973.0,0.0,0.0,29.0,0.0,179.0,"Omaha city, Nebraska",True,-0.009,-1.428,-1.213,1.993,-0.047,0.0,+41.2453969,-095.9234084
31055002300,"Census Tract 23, Douglas County, Nebraska",2396.0,1615.0,137.0,15.0,19.0,7.0,508.0,"Omaha city, Nebraska",False,-13.03,3.158,-1.066,-1.159,7.97,0.292,+41.2355334,-095.9200313
31055002400,"Census Tract 24, Douglas County, Nebraska",3775.0,1069.0,31.0,42.0,8.0,0.0,2560.0,"Omaha city, Nebraska",False,-32.284,-3.175,-0.169,-0.891,35.366,-0.03,+41.2317951,-095.9361232
31055002500,"Census Tract 25, Douglas County, Nebraska",2679.0,943.0,60.0,7.0,0.0,0.0,1588.0,"Omaha city, Nebraska",False,-35.149,0.69,-0.941,-0.581,33.113,-0.039,+41.2231318,-095.9286595
31055002600,"Census Tract 26, Douglas County, Nebraska",2523.0,484.0,5.0,30.0,0.0,0.0,1951.0,"Omaha city, Nebraska",False,-22.061,-2.612,-0.584,-1.254,24.584,0.0,+41.2160314,-095.9408361
31055002700,"Census Tract 27, Douglas County, Nebraska",2651.0,505.0,82.0,5.0,0.0,0.0,1967.0,"Omaha city, Nebraska",False,-20.541,0.142,-0.877,-0.861,18.788,0.0,+41.2056183,-095.9356886
31055002800,"Census Tract 28, Douglas County, Nebraska",4029.0,1163.0,196.0,53.0,10.0,0.0,2620.0,"Omaha city, Nebraska",False,-23.562,1.379,-0.119,-1.153,23.843,0.0,+41.1979762,-095.9348138
31055002900,"Census Tract 29, Douglas County, Nebraska",5589.0,902.0,1224.0,52.0,13.0,0.0,3194.0,"Omaha city, Nebraska",False,-18.18,-3.388,-0.916,-0.74,19.99,0.0,+41.1984349,-095.9533287
31055003000,"Census Tract 30, Douglas County, Nebraska",6935.0,2248.0,74.0,268.0,26.0,0.0,4208.0,"Omaha city, Nebraska",False,-42.143,-2.051,3.047,-0.359,39.988,-0.017,+41.1981669,-095.9699813
31055003100,"Census Tract 31, Douglas County, Nebraska",3627.0,1860.0,16.0,11.0,0.0,0.0,1706.0,"Omaha city, Nebraska",False,-25.908,-3.382,-0.27,-0.988,30.024,0.0,+41.2159473,-095.9644938
31055003200,"Census Tract 32, Douglas County, Nebraska",2532.0,452.0,99.0,14.0,14.0,15.0,1923.0,"Omaha city, Nebraska",False,-23.804,-0.043,-1.153,0.262,23.722,0.592,+41.2175703,-095.9510669
31055003300,"Census Tract 33, Douglas County, Nebraska",2230.0,522.0,390.0,32.0,0.0,0.0,1219.0,"Omaha city, Nebraska",False,-32.701,13.869,-1.642,-0.905,18.601,0.0,+41.2413015,-095.9495171
31055003401,"Census Tract 34.01, Douglas County, Nebraska",4093.0,2101.0,157.0,0.0,65.0,0.0,1680.0,"Omaha city, Nebraska",False,-31.5,-0.514,-0.905,-0.368,31.294,0.0,+41.2326820,-095.9707766
31055003402,"Census Tract 34.02, Douglas County, Nebraska",2386.0,1670.0,44.0,0.0,49.0,0.0,580.0,"Omaha city, Nebraska",False,-19.23,0.067,-1.658,1.659,17.36,0.0,+41.2339990,-095.9614671
31055003500,"Census Tract 35, Douglas County, Nebraska",4102.0,3164.0,92.0,44.0,115.0,0.0,577.0,"Omaha city, Nebraska",False,-14.684,0.07,0.541,1.278,10.136,-0.092,+41.2350713,-095.9890488
31055003600,"Census Tract 36, Douglas County, Nebraska",3894.0,3414.0,54.0,8.0,42.0,0.0,289.0,"Omaha city, Nebraska",True,-5.964,-0.17,-0.066,-0.613,4.714,0.0,+41.2441788,-096.0016309
31055003700,"Census Tract 37, Douglas County, Nebraska",2483.0,2216.0,9.0,0.0,0.0,0.0,228.0,"Omaha city, Nebraska",False,-5.482,-0.858,-0.275,-1.062,6.468,0.0,+41.2449166,-095.9831744
31055003800,"Census Tract 38, Douglas County, Nebraska",3882.0,2279.0,282.0,29.0,107.0,0.0,1079.0,"Omaha city, Nebraska",False,-8.747,0.247,-0.612,1.754,4.939,-0.045,+41.2437881,-095.9627403
31055003900,"Census Tract 39, Douglas County, Nebraska",2519.0,600.0,142.0,7.0,77.0,0.0,1355.0,"Omaha city, Nebraska",False,-19.383,-5.444,-1.048,1.357,11.507,-0.034,+41.2505974,-095.9542404
31055004000,"Census Tract 40, Douglas County, Nebraska",3246.0,2056.0,377.0,19.0,48.0,0.0,651.0,"Omaha city, Nebraska",True,6.158,0.225,-2.254,0.143,-6.799,-0.1,+41.2560986,-095.9541775
31055004200,"Census Tract 42, Douglas County, Nebraska",1477.0,938.0,121.0,59.0,96.0,0.0,129.0,"Omaha city, Nebraska",False,-11.364,0.866,2.131,2.708,-2.706,0.0,+41.2542096,-095.9638079
31055004300,"Census Tract 43, Douglas County, Nebraska",2780.0,2030.0,236.0,9.0,343.0,0.0,85.0,"Omaha city, Nebraska",True,-4.71,2.034,-0.735,6.6,-5.617,0.0,+41.2541844,-095.9709889
31055004400,"Census Tract 44, Douglas County, Nebraska",1234.0,982.0,24.0,1.0,31.0,0.0,165.0,"Omaha city, Nebraska",False,-11.092,-0.291,-0.366,1.554,7.876,0.0,+41.2537815,-095.9824041
31055004500,"Census Tract 45, Douglas County, Nebraska",3006.0,2839.0,31.0,0.0,8.0,0.0,112.0,"Omaha city, Nebraska",False,0.277,-0.435,-0.228,-0.712,0.826,0.0,+41.2535653,-095.9943216
31055004600,"Census Tract 46, Douglas County, Nebraska",2554.0,2100.0,57.0,11.0,159.0,0.0,111.0,"Omaha city, Nebraska",False,-6.449,0.124,-0.065,0.563,1.452,-0.083,+41.2540624,-096.0112735
31055004700,"Census Tract 47, Douglas County, Nebraska",3014.0,2608.0,69.0,0.0,151.0,0.0,107.0,"Omaha city, Nebraska",False,-6.655,0.926,-0.215,1.746,1.828,-0.036,+41.2632585,-096.0080295
31055004800,"Census Tract 48, Douglas County, Nebraska",4951.0,3579.0,679.0,14.0,392.0,0.0,224.0,"Omaha city, Nebraska",False,-12.338,4.987,-0.825,5.748,1.449,-0.023,+41.2664163,-095.9903291
31055004900,"Census Tract 49, Douglas County, Nebraska",4975.0,2656.0,700.0,14.0,636.0,0.0,847.0,"Omaha city, Nebraska",False,-10.477,-5.9,-1.556,10.385,5.657,-0.022,+41.2673257,-095.9780334
31055005000,"Census Tract 50, Douglas County, Nebraska",3907.0,2258.0,413.0,25.0,442.0,0.0,618.0,"Omaha city, Nebraska",False,-5.862,-3.618,-1.152,6.349,0.661,-0.315,+41.2638527,-095.9682817
31055005100,"Census Tract 51, Douglas County, Nebraska",2556.0,1136.0,930.0,27.0,104.0,0.0,291.0,"Omaha city, Nebraska",False,3.224,-4.835,-0.697,-0.032,0.099,-0.035,+41.2673642,-095.9603960
31055005200,"Census Tract 52, Douglas County, Nebraska",1708.0,82.0,767.0,32.0,410.0,0.0,362.0,"Omaha city, Nebraska",False,-4.694,-38.848,0.667,23.785,16.913,0.0,+41.2771262,-095.9613295
31055005300,"Census Tract 53, Douglas County, Nebraska",2293.0,364.0,1060.0,29.0,281.0,0.0,376.0,"Omaha city, Nebraska",False,-9.196,-20.778,-0.728,11.838,11.069,-0.139,+41.2815965,-095.9673696
31055005400,"Census Tract 54, Douglas County, Nebraska",3099.0,1226.0,999.0,182.0,188.0,0.0,433.0,"Omaha city, Nebraska",False,1.536,-19.124,3.36,4.321,8.029,0.0,+41.2813107,-095.9782320
31055005500,"Census Tract 55, Douglas County, Nebraska",5159.0,4152.0,360.0,0.0,330.0,0.0,217.0,"Omaha city, Nebraska",False,-8.888,1.989,-0.844,4.574,1.327,0.0,+41.2771801,-095.9952231
31055005600,"Census Tract 56, Douglas County, Nebraska",4099.0,3183.0,501.0,28.0,88.0,0.0,191.0,"Omaha city, Nebraska",False,-11.281,6.485,-0.229,1.091,1.371,0.0,+41.2918473,-096.0179240
31055005700,"Census Tract 57, Douglas County, Nebraska",4478.0,2398.0,1121.0,0.0,328.0,0.0,339.0,"Omaha city, Nebraska",False,-27.191,10.41,-0.832,6.493,4.758,0.0,+41.2892029,-096.0042201
31055005800,"Census Tract 58, Douglas County, Nebraska",4692.0,1983.0,1670.0,0.0,644.0,0.0,44.0,"Omaha city, Nebraska",False,-14.122,-1.443,-0.884,11.813,-2.661,0.0,+41.2899535,-095.9890607
31055005901,"Census Tract 59.01, Douglas County, Nebraska",2212.0,525.0,1228.0,9.0,7.0,0.0,321.0,"Omaha city, Nebraska",False,4.254,-22.104,-0.121,0.241,12.477,0.0,+41.2932307,-095.9787666
31055005902,"Census Tract 59.02, Douglas County, Nebraska",1850.0,285.0,1052.0,1.0,0.0,0.0,457.0,"Omaha city, Nebraska",False,6.787,-28.144,-0.664,-0.853,20.08,-0.359,+41.2941056,-095.9643599
31055006000,"Census Tract 60, Douglas County, Nebraska",3645.0,824.0,2081.0,24.0,147.0,0.0,487.0,"Omaha city, Nebraska",False,-2.198,-11.793,-0.862,3.434,9.584,0.0,+41.3028475,-095.9724019
31055006101,"Census Tract 61.01, Douglas County, Nebraska",2294.0,425.0,1455.0,6.0,38.0,0.0,288.0,"Omaha city, Nebraska",False,-8.03,-4.259,-1.54,0.677,9.734,-0.039,+41.3154616,-095.9805053
31055006102,"Census Tract 61.02, Douglas County, Nebraska",3882.0,1170.0,2114.0,156.0,117.0,0.0,333.0,"Omaha city, Nebraska",False,-8.555,-0.988,3.066,2.728,4.337,-0.024,+41.3143759,-095.9681654
31055006202,"Census Tract 62.02, Douglas County, Nebraska",4893.0,2829.0,1254.0,46.0,0.0,1.0,519.0,"Omaha city, Nebraska",False,-6.275,-4.628,-0.357,-0.581,7.065,-0.019,+41.3280941,-095.9656958
31055006301,"Census Tract 63.01, Douglas County, Nebraska",2291.0,893.0,1095.0,0.0,82.0,0.0,172.0,"Omaha city, Nebraska",False,2.657,-12.274,-0.35,3.334,5.722,0.0,+41.3197994,-095.9963030
31055006302,"Census Tract 63.02, Douglas County, Nebraska",5168.0,840.0,2144.0,140.0,1666.0,0.0,228.0,"Omaha city, Nebraska",False,-17.97,-19.275,1.701,31.103,1.766,0.0,+41.3044566,-095.9975177
31055006303,"Census Tract 63.03, Douglas County, Nebraska",2943.0,1148.0,1097.0,8.0,343.0,0.0,196.0,"Omaha city, Nebraska",False,-22.467,4.249,-0.514,10.289,3.518,0.0,+41.2965023,-096.0046706
31055006400,"Census Tract 64, Douglas County, Nebraska",4923.0,3813.0,429.0,0.0,53.0,14.0,614.0,"Omaha city, Nebraska",False,-9.542,4.676,-1.049,-2.149,8.058,0.284,+41.2717996,-096.0153924
31055006503,"Census Tract 65.03, Douglas County, Nebraska",2747.0,2188.0,204.0,0.0,120.0,0.0,155.0,"Omaha city, Nebraska",False,-10.629,1.148,-0.227,3.687,3.298,0.0,+41.3059682,-096.0387934
31055006504,"Census Tract 65.04, Douglas County, Nebraska",3482.0,2862.0,471.0,0.0,12.0,3.0,102.0,"Omaha city, Nebraska",False,-9.921,9.179,-0.864,-0.546,1.228,0.086,+41.2899945,-096.0387970
31055006505,"Census Tract 65.05, Douglas County, Nebraska",1985.0,1357.0,469.0,0.0,44.0,0.0,49.0,"Omaha city, Nebraska",False,-4.219,-0.744,-0.387,1.443,0.631,0.0,+41.3258369,-096.0143014
31055006506,"Census Tract 65.06, Douglas County, Nebraska",4027.0,1886.0,1415.0,13.0,483.0,0.0,85.0,"Omaha city, Nebraska",False,-20.308,6.432,-0.435,10.842,0.019,0.0,+41.3121528,-096.0132988
