GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",4118.0,3237.0,274.0,0.0,234.0,0.0,288.0,"Philadelphia city, Pennsylvania",False,0.153,-6.063,-0.491,1.154,3.522,0.0,+39.9523827,-075.1466629
42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",2860.0,595.0,123.0,8.0,1865.0,0.0,197.0,"Philadelphia city, Pennsylvania",False,9.644,-1.426,0.133,-15.994,5.199,0.0,+39.9553999,-075.1569774
42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",3385.0,2167.0,222.0,0.0,553.0,19.0,180.0,"Philadelphia city, Pennsylvania",False,-6.838,-8.851,-0.467,7.271,1.505,0.561,+39.9568348,-075.1713009
42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",2516.0,1594.0,286.0,0.0,473.0,0.0,96.0,"Philadelphia city, Pennsylvania",True,-10.747,-1.617,-0.348,9.873,0.987,0.0,+39.9541871,-075.1758082
42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",4097.0,3251.0,214.0,0.0,434.0,0.0,105.0,"Philadelphia city, Pennsylvania",True,5.249,-7.761,-0.348,1.666,-0.266,0.0,+39.9532973,-075.1686952
42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",2543.0,794.0,802.0,57.0,364.0,0.0,280.0,"Philadelphia city, Pennsylvania",False,-21.086,2.497,2.063,1.525,5.86,0.0,+39.9519534,-075.1581776
42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",1222.0,903.0,108.0,0.0,120.0,0.0,86.0,"Philadelphia city, Pennsylvania",False,6.443,-7.36,-0.608,-2.043,3.616,0.0,+39.9493845,-075.1583355
42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",3736.0,2328.0,429.0,0.0,672.0,9.0,188.0,"Philadelphia city, Pennsylvania",True,-13.311,5.399,-0.624,6.248,0.469,0.241,+39.9510463,-075.1729143
42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1514.0,1245.0,11.0,0.0,128.0,0.0,92.0,"Philadelphia city, Pennsylvania",False,0.563,-2.476,-0.154,-2.171,2.579,-0.035,+39.9497374,-075.1804054
42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",2774.0,2155.0,81.0,0.0,275.0,0.0,138.0,"Philadelphia city, Pennsylvania",False,-3.983,-0.283,-0.154,-0.712,1.477,-0.035,+39.9493748,-075.1742489
42101000804,"Census Tract 8.04, Philadelphia County, Pennsylvania",4899.0,3797.0,111.0,0.0,599.0,0.0,218.0,"Philadelphia city, Pennsylvania",False,-4.163,-0.937,-0.154,1.602,0.952,-0.035,+39.9485645,-075.1677562
42101000901,"Census Tract 9.01, Philadelphia County, Pennsylvania",2056.0,1522.0,92.0,0.0,330.0,0.0,60.0,"Philadelphia city, Pennsylvania",False,6.931,-5.366,-0.523,-1.417,-1.328,-0.02,+39.9478866,-075.1623004
42101000902,"Census Tract 9.02, Philadelphia County, Pennsylvania",2818.0,1978.0,176.0,36.0,438.0,0.0,121.0,"Philadelphia city, Pennsylvania",False,3.096,-3.595,0.755,-1.925,0.048,-0.02,+39.9471596,-075.1566389
42101001001,"Census Tract 10.01, Philadelphia County, Pennsylvania",2670.0,2410.0,67.0,0.0,83.0,10.0,56.0,"Philadelphia city, Pennsylvania",False,0.748,-0.814,-0.155,-1.144,-0.382,0.358,+39.9456722,-075.1516020
42101001002,"Census Tract 10.02, Philadelphia County, Pennsylvania",3444.0,2967.0,98.0,30.0,163.0,0.0,135.0,"Philadelphia city, Pennsylvania",False,-3.364,-0.477,0.716,0.48,1.441,-0.017,+39.9450045,-075.1466193
42101001101,"Census Tract 11.01, Philadelphia County, Pennsylvania",3750.0,2607.0,372.0,0.0,373.0,0.0,263.0,"Philadelphia city, Pennsylvania",False,-8.623,-0.392,-0.439,3.365,3.114,0.0,+39.9449917,-075.1625240
42101001102,"Census Tract 11.02, Philadelphia County, Pennsylvania",2687.0,1925.0,257.0,0.0,366.0,0.0,42.0,"Philadelphia city, Pennsylvania",False,-6.502,-0.747,-0.439,7.039,-2.336,0.0,+39.9442654,-075.1566960
42101001201,"Census Tract 12.01, Philadelphia County, Pennsylvania",4038.0,2943.0,241.0,13.0,311.0,0.0,246.0,"Philadelphia city, Pennsylvania",False,-10.475,-0.242,-0.022,1.983,2.324,-0.012,+39.9471666,-075.1798721
42101001202,"Census Tract 12.02, Philadelphia County, Pennsylvania",5215.0,3988.0,233.0,7.0,448.0,12.0,431.0,"Philadelphia city, Pennsylvania",False,-6.886,-1.742,-0.21,2.872,4.497,0.218,+39.9459117,-075.1699475
42101001300,"Census Tract 13, Philadelphia County, Pennsylvania",6911.0,4255.0,1555.0,0.0,379.0,0.0,431.0,"Philadelphia city, Pennsylvania",True,39.768,-51.196,-0.253,3.899,4.008,0.0,+39.9436029,-075.1858337
42101001400,"Census Tract 14, Philadelphia County, Pennsylvania",4199.0,2715.0,974.0,0.0,303.0,0.0,88.0,"Philadelphia city, Pennsylvania",True,33.668,-37.334,-0.725,3.729,-1.67,0.0,+39.9429436,-075.1715930
42101001500,"Census Tract 15, Philadelphia County, Pennsylvania",3227.0,2199.0,449.0,0.0,306.0,0.0,223.0,"Philadelphia city, Pennsylvania",False,6.464,-13.759,-0.597,4.158,2.963,0.0,+39.9419037,-075.1591158
42101001600,"Census Tract 16, Philadelphia County, Pennsylvania",2371.0,1937.0,76.0,0.0,117.0,0.0,159.0,"Philadelphia city, Pennsylvania",False,0.776,-5.175,-0.252,0.745,2.011,-0.101,+39.9402546,-075.1483127
42101001700,"Census Tract 17, Philadelphia County, Pennsylvania",3114.0,2520.0,240.0,0.0,18.0,0.0,153.0,"Philadelphia city, Pennsylvania",False,4.301,-8.259,-0.496,-2.075,1.437,0.0,+39.9377594,-075.1483123
42101001800,"Census Tract 18, Philadelphia County, Pennsylvania",3138.0,2316.0,547.0,0.0,156.0,0.0,63.0,"Philadelphia city, Pennsylvania",True,6.749,-4.921,-0.25,-1.326,-0.911,0.0,+39.9400001,-075.1593102
42101001900,"Census Tract 19, Philadelphia County, Pennsylvania",4039.0,2322.0,1252.0,0.0,183.0,0.0,251.0,"Philadelphia city, Pennsylvania",True,53.915,-58.913,-0.633,3.228,1.821,-0.037,+39.9400454,-075.1722270
