GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
04013061011,"Census Tract 610.11, Maricopa County, Arizona",7931.0,3266.0,699.0,111.0,472.0,33.0,3046.0,"Phoenix city, Arizona",False,-26.217,5.995,0.154,3.096,13.0,0.363,+33.5323577,-112.3264989
04013061013,"Census Tract 610.13, Maricopa County, Arizona",6719.0,2736.0,550.0,236.0,702.0,0.0,2169.0,"Phoenix city, Arizona",False,-26.264,2.25,2.425,5.927,11.089,-0.01,+33.5013997,-112.3261467
04013082002,"Census Tract 820.02, Maricopa County, Arizona",7225.0,2618.0,689.0,0.0,55.0,19.0,3750.0,"Phoenix city, Arizona",False,-31.229,3.011,-0.913,-1.618,29.545,0.13,+33.4994539,-112.2802340
04013082007,"Census Tract 820.07, Maricopa County, Arizona",4589.0,929.0,56.0,50.0,25.0,0.0,3530.0,"Phoenix city, Arizona",False,-25.878,-4.975,-0.227,-0.918,32.46,-0.024,+33.5014833,-112.2507274
04013082008,"Census Tract 820.08, Maricopa County, Arizona",5793.0,889.0,268.0,0.0,55.0,309.0,4208.0,"Phoenix city, Arizona",False,-21.077,-3.692,-1.386,-1.408,21.857,5.314,+33.5014783,-112.2420804
04013082009,"Census Tract 820.09, Maricopa County, Arizona",5894.0,832.0,355.0,214.0,38.0,0.0,4318.0,"Phoenix city, Arizona",False,-25.602,-2.095,2.549,-0.696,23.943,-0.024,+33.4869963,-112.2508164
04013082010,"Census Tract 820.10, Maricopa County, Arizona",4996.0,676.0,316.0,46.0,115.0,0.0,3752.0,"Phoenix city, Arizona",False,-26.185,-3.623,-1.141,-0.069,30.177,0.0,+33.4870407,-112.2421267
04013082012,"Census Tract 820.12, Maricopa County, Arizona",7742.0,1747.0,534.0,70.0,322.0,17.0,4907.0,"Phoenix city, Arizona",False,-32.994,1.171,0.268,1.493,28.483,0.22,+33.4999530,-112.3008303
04013082016,"Census Tract 820.16, Maricopa County, Arizona",2843.0,606.0,341.0,0.0,466.0,0.0,1399.0,"Phoenix city, Arizona",False,-15.557,0.47,-1.785,12.105,4.544,-0.025,+33.4920539,-112.2635432
04013082017,"Census Tract 820.17, Maricopa County, Arizona",4721.0,683.0,1309.0,179.0,307.0,0.0,2221.0,"Phoenix city, Arizona",False,-22.406,16.203,2.007,2.217,2.38,-0.025,+33.4722070,-112.2638452
04013082018,"Census Tract 820.18, Maricopa County, Arizona",5881.0,992.0,418.0,109.0,143.0,7.0,4212.0,"Phoenix city, Arizona",False,-20.005,-4.416,0.068,-1.854,26.955,0.094,+33.4760517,-112.2464894
