GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
41005020100,"Census Tract 201, Clackamas County, Oregon",3984.0,3242.0,6.0,0.0,194.0,0.0,363.0,"Portland city, Oregon",False,-10.887,-0.494,-1.031,2.212,5.836,-0.026,+45.4277280,-122.6711637
41005020800,"Census Tract 208, Clackamas County, Oregon",4143.0,3381.0,27.0,23.0,183.0,0.0,443.0,"Portland city, Oregon",False,-8.096,-0.856,-0.95,1.963,6.549,-0.026,+45.4475739,-122.6392020
41005020900,"Census Tract 209, Clackamas County, Oregon",4410.0,3305.0,33.0,0.0,36.0,0.0,860.0,"Portland city, Oregon",False,-14.693,-1.193,-1.683,-1.572,15.41,0.0,+45.4550889,-122.6277083
41005021000,"Census Tract 210, Clackamas County, Oregon",4891.0,3927.0,26.0,36.0,215.0,35.0,450.0,"Portland city, Oregon",False,-9.424,-0.376,-1.295,0.485,6.089,0.673,+45.4533417,-122.6109135
41005021601,"Census Tract 216.01, Clackamas County, Oregon",6515.0,4898.0,19.0,0.0,180.0,0.0,1245.0,"Portland city, Oregon",False,-6.173,-1.725,-1.915,-2.121,9.867,-0.207,+45.4550878,-122.5855438
41005022206,"Census Tract 222.06, Clackamas County, Oregon",6833.0,4939.0,112.0,1.0,1013.0,0.0,304.0,"Portland city, Oregon",False,-10.41,0.113,-0.668,2.349,1.986,-0.079,+45.4506736,-122.5551920
41005022208,"Census Tract 222.08, Clackamas County, Oregon",7473.0,5098.0,101.0,76.0,1342.0,24.0,358.0,"Portland city, Oregon",False,-17.812,0.152,0.434,9.107,2.041,0.271,+45.4468924,-122.5072232
41051000100,"Census Tract 1, Multnomah County, Oregon",6650.0,5847.0,43.0,152.0,282.0,0.0,81.0,"Portland city, Oregon",False,-0.753,-1.598,0.425,0.595,-2.006,-0.077,+45.4661084,-122.6579842
41051000200,"Census Tract 2, Multnomah County, Oregon",6389.0,5259.0,0.0,39.0,354.0,10.0,604.0,"Portland city, Oregon",False,-5.604,-2.32,-0.978,0.865,6.134,0.139,+45.4748886,-122.6443772
41051000301,"Census Tract 3.01, Multnomah County, Oregon",5777.0,4271.0,280.0,23.0,508.0,30.0,394.0,"Portland city, Oregon",False,-8.158,2.148,-1.495,1.415,1.336,0.497,+45.4832521,-122.6327433
41051000302,"Census Tract 3.02, Multnomah County, Oregon",7578.0,6648.0,0.0,0.0,332.0,0.0,359.0,"Portland city, Oregon",False,-4.276,-0.571,-0.721,0.202,2.888,-0.015,+45.4695355,-122.6267273
41051000401,"Census Tract 4.01, Multnomah County, Oregon",3778.0,3286.0,34.0,0.0,163.0,0.0,89.0,"Portland city, Oregon",True,1.684,-0.651,-1.644,-3.319,-1.181,-0.031,+45.4834793,-122.6143322
41051000402,"Census Tract 4.02, Multnomah County, Oregon",3635.0,3001.0,40.0,0.0,287.0,1.0,223.0,"Portland city, Oregon",True,0.562,-1.03,-1.955,-1.209,1.962,0.028,+45.4831734,-122.6041036
41051000501,"Census Tract 5.01, Multnomah County, Oregon",4327.0,3360.0,73.0,0.0,397.0,0.0,254.0,"Portland city, Oregon",True,-0.559,-1.013,-1.991,-0.806,-0.348,-0.055,+45.4822000,-122.5946338
41051000502,"Census Tract 5.02, Multnomah County, Oregon",4924.0,3254.0,12.0,17.0,757.0,0.0,672.0,"Portland city, Oregon",True,-10.016,-2.944,-1.214,5.646,7.48,-0.303,+45.4836969,-122.5849455
41051000601,"Census Tract 6.01, Multnomah County, Oregon",5850.0,3348.0,262.0,53.0,848.0,51.0,1019.0,"Portland city, Oregon",True,-13.008,1.136,-0.897,3.171,5.669,0.791,+45.4847811,-122.5666165
41051000602,"Census Tract 6.02, Multnomah County, Oregon",6079.0,2969.0,212.0,152.0,1167.0,0.0,1133.0,"Portland city, Oregon",False,-21.511,1.617,-0.169,8.375,7.249,-0.042,+45.4747669,-122.5719634
41051000701,"Census Tract 7.01, Multnomah County, Oregon",4744.0,3371.0,128.0,0.0,399.0,0.0,469.0,"Portland city, Oregon",True,-2.623,-0.009,-1.001,-7.854,3.835,-0.182,+45.5013874,-122.5891143
41051000702,"Census Tract 7.02, Multnomah County, Oregon",5632.0,3720.0,163.0,184.0,807.0,0.0,414.0,"Portland city, Oregon",True,-6.344,1.046,1.297,-2.856,1.887,0.0,+45.4939098,-122.5900766
41051000801,"Census Tract 8.01, Multnomah County, Oregon",5061.0,3721.0,231.0,0.0,354.0,0.0,451.0,"Portland city, Oregon",True,-6.218,1.096,-1.536,-3.321,4.543,-0.022,+45.5013677,-122.6109048
41051000802,"Census Tract 8.02, Multnomah County, Oregon",5039.0,3672.0,97.0,0.0,173.0,19.0,517.0,"Portland city, Oregon",True,-1.802,-2.184,-1.565,-7.806,2.39,0.29,+45.4938318,-122.6119783
41051000901,"Census Tract 9.01, Multnomah County, Oregon",4795.0,3592.0,15.0,54.0,331.0,0.0,178.0,"Portland city, Oregon",False,-8.827,-1.35,-0.537,-0.7,-0.881,0.0,+45.5009772,-122.6310058
41051000902,"Census Tract 9.02, Multnomah County, Oregon",4881.0,3616.0,235.0,0.0,385.0,10.0,485.0,"Portland city, Oregon",True,0.53,0.172,-2.086,-3.754,2.96,0.16,+45.4937822,-122.6312455
41051001000,"Census Tract 10, Multnomah County, Oregon",6139.0,4833.0,82.0,18.0,434.0,40.0,389.0,"Portland city, Oregon",False,-2.188,-3.152,-1.664,0.892,0.813,0.594,+45.4979340,-122.6497088
41051001101,"Census Tract 11.01, Multnomah County, Oregon",2705.0,2046.0,231.0,0.0,59.0,0.0,160.0,"Portland city, Oregon",False,-6.612,4.492,-2.703,-1.381,-0.84,-0.104,+45.5133179,-122.6612882
41051001102,"Census Tract 11.02, Multnomah County, Oregon",1474.0,1239.0,18.0,14.0,80.0,0.0,66.0,"Portland city, Oregon",False,1.365,-0.48,-0.603,-3.966,0.854,-0.074,+45.5086055,-122.6559782
41051001201,"Census Tract 12.01, Multnomah County, Oregon",5385.0,4509.0,88.0,0.0,197.0,0.0,410.0,"Portland city, Oregon",False,-0.242,-3.007,-1.948,-0.195,2.71,-0.022,+45.5157105,-122.6421657
41051001202,"Census Tract 12.02, Multnomah County, Oregon",3534.0,3126.0,0.0,2.0,169.0,0.0,143.0,"Portland city, Oregon",False,2.139,-1.907,-1.181,-3.08,2.172,-0.033,+45.5084564,-122.6421276
41051001301,"Census Tract 13.01, Multnomah County, Oregon",4191.0,3727.0,20.0,4.0,145.0,7.0,179.0,"Portland city, Oregon",False,1.467,-1.511,-1.7,-1.152,0.543,0.139,+45.5156755,-122.6288618
41051001302,"Census Tract 13.02, Multnomah County, Oregon",3600.0,3166.0,19.0,0.0,148.0,0.0,116.0,"Portland city, Oregon",False,4.757,-0.901,-1.758,-5.156,-0.221,-0.037,+45.5084190,-122.6287314
41051001400,"Census Tract 14, Multnomah County, Oregon",5866.0,4756.0,170.0,32.0,314.0,0.0,423.0,"Portland city, Oregon",False,-3.947,0.882,-0.798,-1.517,2.985,-0.022,+45.5114473,-122.6176545
41051001500,"Census Tract 15, Multnomah County, Oregon",3648.0,3135.0,20.0,90.0,116.0,14.0,251.0,"Portland city, Oregon",False,-2.851,-0.412,1.352,-3.293,4.526,0.322,+45.5111305,-122.6068211
41051001601,"Census Tract 16.01, Multnomah County, Oregon",6427.0,5037.0,6.0,33.0,498.0,0.0,524.0,"Portland city, Oregon",False,1.716,-2.476,-0.812,-4.981,2.127,-0.016,+45.5136233,-122.5905853
41051001602,"Census Tract 16.02, Multnomah County, Oregon",4545.0,2664.0,188.0,40.0,1044.0,31.0,405.0,"Portland city, Oregon",True,-13.506,1.565,-0.658,7.543,1.248,0.657,+45.5119127,-122.5721528
41051001701,"Census Tract 17.01, Multnomah County, Oregon",6818.0,5030.0,233.0,38.0,716.0,0.0,365.0,"Portland city, Oregon",True,-1.826,-1.373,-1.319,-1.295,0.222,-0.016,+45.5275858,-122.5866706
41051001702,"Census Tract 17.02, Multnomah County, Oregon",4348.0,2609.0,45.0,60.0,479.0,0.0,888.0,"Portland city, Oregon",False,-15.056,-3.612,-0.202,-0.321,13.732,-0.17,+45.5256568,-122.5732495
41051001801,"Census Tract 18.01, Multnomah County, Oregon",4650.0,3665.0,328.0,0.0,206.0,0.0,335.0,"Portland city, Oregon",False,-1.74,2.947,-1.924,-2.434,1.518,-0.029,+45.5262864,-122.6048501
41051001802,"Census Tract 18.02, Multnomah County, Oregon",3845.0,3057.0,35.0,0.0,164.0,0.0,304.0,"Portland city, Oregon",False,-6.935,-1.271,-1.043,-1.993,3.924,-0.032,+45.5199879,-122.6075028
41051001900,"Census Tract 19, Multnomah County, Oregon",5182.0,4409.0,82.0,0.0,317.0,18.0,163.0,"Portland city, Oregon",False,-5.786,-0.282,-1.123,2.346,1.176,0.305,+45.5271011,-122.6239319
41051002000,"Census Tract 20, Multnomah County, Oregon",6426.0,5116.0,41.0,55.0,287.0,0.0,636.0,"Portland city, Oregon",False,-0.124,-4.633,-1.499,-0.282,3.392,-0.112,+45.5252411,-122.6379006
41051002100,"Census Tract 21, Multnomah County, Oregon",2990.0,2282.0,112.0,40.0,165.0,96.0,129.0,"Portland city, Oregon",False,-2.085,-4.401,-2.035,2.101,-0.942,3.123,+45.5239847,-122.6561348
41051002203,"Census Tract 22.03, Multnomah County, Oregon",4243.0,3183.0,487.0,43.0,142.0,8.0,221.0,"Portland city, Oregon",True,29.925,-30.899,-0.821,1.344,-2.737,0.019,+45.5440323,-122.6670925
41051002303,"Census Tract 23.03, Multnomah County, Oregon",2731.0,2078.0,121.0,18.0,121.0,0.0,187.0,"Portland city, Oregon",True,8.368,-15.123,-1.498,0.693,1.527,0.0,+45.5338800,-122.6671541
41051002401,"Census Tract 24.01, Multnomah County, Oregon",2756.0,2440.0,153.0,0.0,46.0,0.0,83.0,"Portland city, Oregon",False,17.47,-17.345,-0.827,-0.739,0.711,-0.108,+45.5437050,-122.6525549
41051002402,"Census Tract 24.02, Multnomah County, Oregon",3378.0,2726.0,180.0,61.0,130.0,0.0,159.0,"Portland city, Oregon",False,3.379,-6.105,0.275,-0.307,-0.323,-0.031,+45.5342042,-122.6519588
41051002501,"Census Tract 25.01, Multnomah County, Oregon",4688.0,4082.0,35.0,0.0,162.0,0.0,192.0,"Portland city, Oregon",False,-3.437,-2.983,-0.64,0.631,2.021,0.0,+45.5435963,-122.6389909
41051002502,"Census Tract 25.02, Multnomah County, Oregon",4774.0,3694.0,180.0,0.0,177.0,0.0,608.0,"Portland city, Oregon",False,-1.111,-7.521,-1.095,0.136,7.495,0.0,+45.5349762,-122.6391678
41051002600,"Census Tract 26, Multnomah County, Oregon",2793.0,2329.0,60.0,0.0,192.0,0.0,43.0,"Portland city, Oregon",False,-9.172,-0.647,-0.512,4.551,-0.035,-0.039,+45.5415407,-122.6264284
