GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
37063001900,"Census Tract 19, Durham County, North Carolina",4418.0,3349.0,552.0,10.0,272.0,0.0,166.0,"Raleigh city, North Carolina",False,-15.842,6.677,0.04,5.848,1.839,0.0,+35.9696578,-078.7574584
37063002028,"Census Tract 20.28, Durham County, North Carolina",10201.0,4125.0,3561.0,24.0,1293.0,12.0,710.0,"Raleigh city, North Carolina",False,-15.403,9.997,-0.639,-1.31,3.086,0.118,+35.8983145,-078.8371376
37183050100,"Census Tract 501, Wake County, North Carolina",4251.0,2716.0,974.0,16.0,92.0,0.0,331.0,"Raleigh city, North Carolina",False,18.033,-22.675,-0.49,0.594,1.83,-0.054,+35.7806867,-078.6392921
37183050300,"Census Tract 503, Wake County, North Carolina",3350.0,2868.0,287.0,0.0,75.0,0.0,56.0,"Raleigh city, North Carolina",False,5.474,-7.993,-0.296,1.549,-0.497,0.0,+35.7905875,-078.6481734
37183050400,"Census Tract 504, Wake County, North Carolina",2045.0,1505.0,333.0,0.0,138.0,0.0,34.0,"Raleigh city, North Carolina",False,9.594,-11.852,-0.61,5.256,-3.422,0.0,+35.7959372,-078.6354870
37183050500,"Census Tract 505, Wake County, North Carolina",3690.0,2580.0,551.0,11.0,92.0,48.0,384.0,"Raleigh city, North Carolina",True,14.322,-24.104,-0.276,1.087,7.164,1.301,+35.7972616,-078.6203634
37183050600,"Census Tract 506, Wake County, North Carolina",3645.0,1358.0,1919.0,10.0,85.0,0.0,204.0,"Raleigh city, North Carolina",True,25.774,-29.749,-0.04,2.227,-0.053,0.0,+35.7849873,-078.6210561
37183050700,"Census Tract 507, Wake County, North Carolina",3142.0,695.0,2149.0,0.0,5.0,0.0,210.0,"Raleigh city, North Carolina",True,19.997,-23.987,-0.573,-0.144,2.235,0.0,+35.7739244,-078.6207333
37183050800,"Census Tract 508, Wake County, North Carolina",4090.0,886.0,2441.0,85.0,7.0,0.0,491.0,"Raleigh city, North Carolina",False,8.284,-12.973,0.79,-0.123,0.05,0.0,+35.7644588,-078.6256548
37183050900,"Census Tract 509, Wake County, North Carolina",3193.0,739.0,2161.0,0.0,58.0,0.0,206.0,"Raleigh city, North Carolina",True,19.463,-22.267,-0.59,1.626,0.929,0.0,+35.7668872,-078.6378660
37183051000,"Census Tract 510, Wake County, North Carolina",2576.0,1948.0,283.0,0.0,83.0,0.0,221.0,"Raleigh city, North Carolina",False,10.402,-13.476,-0.677,2.027,0.452,0.0,+35.7740080,-078.6481695
37183051101,"Census Tract 511.01, Wake County, North Carolina",5363.0,3756.0,972.0,11.0,367.0,0.0,214.0,"Raleigh city, North Carolina",False,12.286,-7.835,-0.919,-0.656,-3.245,-0.03,+35.7880125,-078.6883195
37183051102,"Census Tract 511.02, Wake County, North Carolina",4977.0,3624.0,821.0,33.0,274.0,0.0,172.0,"Raleigh city, North Carolina",False,36.446,-32.804,-1.611,1.454,-4.332,0.0,+35.7819418,-078.6658270
37183051200,"Census Tract 512, Wake County, North Carolina",4805.0,4168.0,203.0,0.0,182.0,0.0,178.0,"Raleigh city, North Carolina",False,4.678,-7.129,-0.873,0.762,1.302,0.0,+35.7898429,-078.6587308
37183051400,"Census Tract 514, Wake County, North Carolina",4937.0,4247.0,372.0,0.0,80.0,47.0,104.0,"Raleigh city, North Carolina",False,2.949,-2.603,-0.533,-0.453,-1.764,0.933,+35.7959575,-078.6731798
37183051501,"Census Tract 515.01, Wake County, North Carolina",3498.0,3317.0,94.0,0.0,55.0,0.0,15.0,"Raleigh city, North Carolina",False,-0.892,1.227,-0.166,-0.287,-0.335,0.0,+35.8229254,-078.6749065
37183051502,"Census Tract 515.02, Wake County, North Carolina",2101.0,1963.0,0.0,6.0,92.0,0.0,33.0,"Raleigh city, North Carolina",False,13.471,-6.513,-0.099,-5.371,-0.471,0.0,+35.8087069,-078.6831384
37183051600,"Census Tract 516, Wake County, North Carolina",4909.0,4738.0,69.0,0.0,23.0,0.0,41.0,"Raleigh city, North Carolina",False,1.791,-2.069,-0.21,0.047,-0.239,0.0,+35.8069390,-078.6593515
37183051700,"Census Tract 517, Wake County, North Carolina",3360.0,3191.0,37.0,0.0,30.0,0.0,77.0,"Raleigh city, North Carolina",False,-3.316,0.842,-0.065,0.02,1.872,0.0,+35.8213404,-078.6579511
37183051800,"Census Tract 518, Wake County, North Carolina",4563.0,4233.0,132.0,16.0,0.0,0.0,157.0,"Raleigh city, North Carolina",False,6.576,-5.378,-0.14,-1.495,0.077,0.0,+35.8088276,-078.6307656
37183051900,"Census Tract 519, Wake County, North Carolina",5216.0,1730.0,2957.0,0.0,49.0,0.0,458.0,"Raleigh city, North Carolina",False,7.733,-12.784,-0.384,0.03,5.407,0.0,+35.7909911,-078.6021439
37183052001,"Census Tract 520.01, Wake County, North Carolina",4323.0,429.0,2815.0,6.0,57.0,0.0,968.0,"Raleigh city, North Carolina",False,-3.22,-2.928,-0.269,0.604,5.164,0.0,+35.7795509,-078.5910813
37183052002,"Census Tract 520.02, Wake County, North Carolina",5931.0,506.0,4229.0,21.0,50.0,0.0,1067.0,"Raleigh city, North Carolina",False,4.59,-13.5,0.152,-0.165,8.072,0.0,+35.7668489,-078.5975489
37183052101,"Census Tract 521.01, Wake County, North Carolina",9240.0,1077.0,6334.0,31.0,101.0,0.0,1458.0,"Raleigh city, North Carolina",False,6.338,-17.947,-0.043,0.894,8.296,-0.04,+35.7439038,-078.6210255
37183052102,"Census Tract 521.02, Wake County, North Carolina",6960.0,271.0,5038.0,9.0,112.0,0.0,1350.0,"Raleigh city, North Carolina",False,1.87,-0.937,-0.073,1.609,-4.987,0.0,+35.7507683,-078.5987045
37183052301,"Census Tract 523.01, Wake County, North Carolina",6438.0,3697.0,1571.0,0.0,988.0,0.0,50.0,"Raleigh city, North Carolina",False,-19.967,15.599,-0.511,5.073,-1.843,0.0,+35.7571349,-078.7042883
37183052302,"Census Tract 523.02, Wake County, North Carolina",9657.0,5820.0,2282.0,41.0,797.0,0.0,335.0,"Raleigh city, North Carolina",False,1.986,-4.527,-0.162,0.236,-1.143,0.0,+35.7623237,-078.6761200
37183052401,"Census Tract 524.01, Wake County, North Carolina",5892.0,4447.0,868.0,39.0,238.0,0.0,214.0,"Raleigh city, North Carolina",False,-5.085,4.355,0.03,-1.967,1.432,0.0,+35.8033747,-078.7221086
37183052404,"Census Tract 524.04, Wake County, North Carolina",4736.0,3065.0,183.0,26.0,934.0,0.0,438.0,"Raleigh city, North Carolina",False,-14.961,-4.89,0.012,13.988,4.462,0.0,+35.7714479,-078.7048399
37183052406,"Census Tract 524.06, Wake County, North Carolina",7507.0,3492.0,1536.0,110.0,565.0,0.0,1688.0,"Raleigh city, North Carolina",False,-14.599,3.853,0.859,1.742,7.513,0.0,+35.7797983,-078.7341299
37183052407,"Census Tract 524.07, Wake County, North Carolina",4291.0,2283.0,1244.0,0.0,245.0,0.0,435.0,"Raleigh city, North Carolina",False,-7.953,12.392,-0.606,-0.079,-4.799,0.0,+35.7846005,-078.7100677
37183052408,"Census Tract 524.08, Wake County, North Carolina",3586.0,1415.0,1088.0,95.0,256.0,0.0,689.0,"Raleigh city, North Carolina",False,-24.218,10.817,1.845,-1.276,12.127,-0.038,+35.7798637,-078.6926895
37183052409,"Census Tract 524.09, Wake County, North Carolina",4286.0,1910.0,492.0,40.0,1092.0,0.0,681.0,"Raleigh city, North Carolina",False,-19.113,-8.044,0.129,17.063,8.802,-0.038,+35.7778912,-078.6840191
37183052503,"Census Tract 525.03, Wake County, North Carolina",7085.0,5266.0,892.0,57.0,205.0,0.0,437.0,"Raleigh city, North Carolina",False,-14.243,7.081,0.434,-0.758,4.679,0.0,+35.8317688,-078.7128163
37183052504,"Census Tract 525.04, Wake County, North Carolina",6774.0,5103.0,496.0,3.0,336.0,0.0,733.0,"Raleigh city, North Carolina",False,-1.455,-5.004,-0.374,2.388,3.426,0.0,+35.8230939,-078.6950589
37183052505,"Census Tract 525.05, Wake County, North Carolina",5296.0,3590.0,361.0,18.0,301.0,0.0,979.0,"Raleigh city, North Carolina",False,-1.127,-11.258,-0.054,2.364,9.748,0.0,+35.8474052,-078.6720351
37183052506,"Census Tract 525.06, Wake County, North Carolina",2677.0,2197.0,244.0,0.0,78.0,0.0,142.0,"Raleigh city, North Carolina",False,13.155,-8.959,-0.394,-0.406,-3.434,0.0,+35.8545202,-078.6899932
37183052507,"Census Tract 525.07, Wake County, North Carolina",3223.0,2346.0,520.0,0.0,48.0,0.0,258.0,"Raleigh city, North Carolina",False,3.875,-1.94,-0.394,-1.831,-0.733,0.0,+35.8493407,-078.7028658
37183052601,"Census Tract 526.01, Wake County, North Carolina",3410.0,3070.0,125.0,7.0,69.0,0.0,20.0,"Raleigh city, North Carolina",False,-4.572,0.949,-0.219,0.888,-0.358,0.0,+35.8440367,-078.6530628
37183052602,"Census Tract 526.02, Wake County, North Carolina",4699.0,3905.0,309.0,0.0,156.0,0.0,268.0,"Raleigh city, North Carolina",False,0.134,-3.672,-0.273,0.633,2.175,0.0,+35.8439384,-078.6343311
37183052603,"Census Tract 526.03, Wake County, North Carolina",2865.0,2563.0,88.0,0.0,68.0,0.0,77.0,"Raleigh city, North Carolina",False,20.87,-12.419,-0.092,-0.265,-9.889,0.0,+35.8291119,-078.6420368
37183052701,"Census Tract 527.01, Wake County, North Carolina",6389.0,3070.0,889.0,0.0,225.0,0.0,2113.0,"Raleigh city, North Carolina",False,-5.289,-4.424,-0.187,0.294,8.464,-0.019,+35.8339214,-078.6206175
37183052704,"Census Tract 527.04, Wake County, North Carolina",6420.0,1320.0,2435.0,22.0,110.0,0.0,2490.0,"Raleigh city, North Carolina",False,-9.011,-13.587,0.064,-3.773,26.612,0.0,+35.8408976,-078.5922622
