GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06067000100,"Census Tract 1, Sacramento County, California",3871.0,3195.0,13.0,12.0,91.0,0.0,417.0,"Sacramento city, California",False,-4.731,-0.282,-0.814,-1.387,3.97,0.0,+38.5764741,-121.4305452
06067000200,"Census Tract 2, Sacramento County, California",3755.0,2801.0,4.0,0.0,190.0,0.0,486.0,"Sacramento city, California",False,-9.245,-1.859,-1.099,1.07,4.415,0.0,+38.5740594,-121.4407580
06067000300,"Census Tract 3, Sacramento County, California",3418.0,2583.0,47.0,26.0,178.0,80.0,449.0,"Sacramento city, California",False,-7.506,0.036,0.108,1.124,3.009,2.341,+38.5773838,-121.4547432
06067000400,"Census Tract 4, Sacramento County, California",3933.0,2483.0,236.0,68.0,95.0,0.0,820.0,"Sacramento city, California",False,-0.644,-1.802,-0.573,-2.062,0.639,-0.051,+38.5800964,-121.4693603
06067000500,"Census Tract 5, Sacramento County, California",3461.0,1853.0,249.0,38.0,110.0,19.0,902.0,"Sacramento city, California",True,2.084,-1.508,-1.328,-2.159,-5.321,0.519,+38.5834331,-121.4823108
06067000600,"Census Tract 6, Sacramento County, California",1123.0,628.0,108.0,0.0,45.0,2.0,305.0,"Sacramento city, California",False,1.296,-0.515,-2.203,-1.83,0.507,0.178,+38.5854811,-121.4916773
06067000700,"Census Tract 7, Sacramento County, California",2567.0,726.0,767.0,53.0,415.0,0.0,485.0,"Sacramento city, California",False,-7.868,2.369,-0.057,1.237,-0.053,-0.265,+38.5818714,-121.5016595
06067000800,"Census Tract 8, Sacramento County, California",1703.0,1190.0,116.0,0.0,151.0,0.0,171.0,"Sacramento city, California",True,-11.658,2.841,-0.927,3.705,2.43,0.0,+38.5770653,-121.5044795
06067001101,"Census Tract 11.01, Sacramento County, California",2583.0,1311.0,536.0,17.0,188.0,0.0,382.0,"Sacramento city, California",True,-10.89,8.168,-2.433,1.759,-0.332,-0.055,+38.5772072,-121.4904629
06067001200,"Census Tract 12, Sacramento County, California",3527.0,2272.0,230.0,31.0,316.0,12.0,627.0,"Sacramento city, California",True,-0.289,-4.18,-1.547,2.744,3.32,0.24,+38.5716422,-121.4870807
06067001300,"Census Tract 13, Sacramento County, California",3231.0,2042.0,141.0,20.0,203.0,23.0,656.0,"Sacramento city, California",False,-3.751,-3.44,-1.877,0.406,5.074,0.617,+38.5684782,-121.4745179
06067001400,"Census Tract 14, Sacramento County, California",2362.0,1595.0,153.0,22.0,116.0,0.0,389.0,"Sacramento city, California",False,-6.335,0.289,-1.194,-0.234,4.687,0.0,+38.5739840,-121.4721306
06067001500,"Census Tract 15, Sacramento County, California",4723.0,3598.0,101.0,0.0,302.0,0.0,462.0,"Sacramento city, California",False,-7.252,0.212,-1.269,2.345,1.049,0.0,+38.5674597,-121.4593774
06067001600,"Census Tract 16, Sacramento County, California",6023.0,4001.0,85.0,17.0,400.0,0.0,1162.0,"Sacramento city, California",False,-17.409,-0.634,-0.941,2.951,11.072,-0.02,+38.5616628,-121.4396846
06067001700,"Census Tract 17, Sacramento County, California",5513.0,3678.0,72.0,29.0,437.0,0.0,961.0,"Sacramento city, California",True,-1.119,-8.379,-1.267,2.755,2.637,-0.041,+38.5519098,-121.4417291
06067001800,"Census Tract 18, Sacramento County, California",5152.0,2546.0,559.0,23.0,520.0,33.0,1203.0,"Sacramento city, California",True,14.157,-13.462,-1.351,-4.206,0.067,0.51,+38.5542221,-121.4637479
06067001900,"Census Tract 19, Sacramento County, California",3123.0,2012.0,82.0,11.0,271.0,0.0,583.0,"Sacramento city, California",True,9.705,-9.669,-1.633,-1.98,-0.594,0.0,+38.5618891,-121.4773744
06067002000,"Census Tract 20, Sacramento County, California",2617.0,1022.0,119.0,8.0,666.0,0.0,557.0,"Sacramento city, California",True,9.89,-2.38,-0.551,-19.504,4.152,-0.223,+38.5652846,-121.4903061
06067002100,"Census Tract 21, Sacramento County, California",2096.0,960.0,145.0,39.0,453.0,0.0,403.0,"Sacramento city, California",True,16.811,-4.562,0.701,-13.486,-2.729,-0.039,+38.5693327,-121.5063658
06067002200,"Census Tract 22, Sacramento County, California",5103.0,1658.0,744.0,26.0,541.0,387.0,1401.0,"Sacramento city, California",False,1.727,-8.475,-0.601,-19.05,12.628,7.395,+38.5601168,-121.5079991
06067002300,"Census Tract 23, Sacramento County, California",3358.0,2345.0,42.0,12.0,121.0,0.0,659.0,"Sacramento city, California",False,-7.148,-0.541,-0.712,-5.076,8.902,-0.094,+38.5571708,-121.4938311
06067002400,"Census Tract 24, Sacramento County, California",4772.0,3469.0,174.0,0.0,322.0,0.0,531.0,"Sacramento city, California",False,-5.264,1.722,-1.018,-3.051,2.686,-0.068,+38.5448312,-121.4973382
06067002500,"Census Tract 25, Sacramento County, California",1613.0,1193.0,41.0,5.0,104.0,0.0,227.0,"Sacramento city, California",False,-5.287,-1.337,-1.106,0.229,5.514,0.0,+38.5455452,-121.4812453
06067002600,"Census Tract 26, Sacramento County, California",2448.0,1558.0,113.0,15.0,229.0,13.0,358.0,"Sacramento city, California",False,0.618,-6.233,-0.693,3.404,-2.285,0.458,+38.5543039,-121.4817038
06067002700,"Census Tract 27, Sacramento County, California",3404.0,1273.0,586.0,157.0,154.0,0.0,1076.0,"Sacramento city, California",True,12.097,-15.94,3.133,-3.841,0.7,-0.051,+38.5476100,-121.4711099
06067002800,"Census Tract 28, Sacramento County, California",3814.0,868.0,800.0,204.0,196.0,0.0,1542.0,"Sacramento city, California",True,10.849,-14.751,3.697,-9.932,5.273,-0.028,+38.5429371,-121.4582463
06067002900,"Census Tract 29, Sacramento County, California",5016.0,3347.0,145.0,6.0,190.0,0.0,1150.0,"Sacramento city, California",True,4.918,-3.833,-1.55,-2.142,0.125,-0.125,+38.5428857,-121.4347594
06067003000,"Census Tract 30, Sacramento County, California",7450.0,2865.0,1042.0,73.0,444.0,181.0,2495.0,"Sacramento city, California",False,-14.041,6.724,-0.832,-1.232,3.453,2.387,+38.5358612,-121.4295849
06067003101,"Census Tract 31.01, Sacramento County, California",3479.0,1028.0,126.0,38.0,213.0,5.0,2013.0,"Sacramento city, California",True,-10.097,-4.907,-1.578,-0.063,15.736,-0.019,+38.5285763,-121.4185986
06067003102,"Census Tract 31.02, Sacramento County, California",3158.0,1007.0,307.0,5.0,191.0,15.0,1345.0,"Sacramento city, California",True,-11.846,1.314,-1.511,-3.573,7.142,0.384,+38.5287219,-121.4359084
06067003202,"Census Tract 32.02, Sacramento County, California",5098.0,1098.0,328.0,23.0,1645.0,0.0,1807.0,"Sacramento city, California",False,-11.781,-0.117,-1.474,2.172,8.174,-0.105,+38.5184590,-121.4335115
06067003203,"Census Tract 32.03, Sacramento County, California",2680.0,216.0,191.0,0.0,1234.0,165.0,738.0,"Sacramento city, California",False,-6.195,-5.685,-1.408,1.598,1.353,6.145,+38.5133060,-121.4182262
06067003204,"Census Tract 32.04, Sacramento County, California",4965.0,423.0,374.0,13.0,2052.0,46.0,1810.0,"Sacramento city, California",False,-5.735,-5.279,-1.146,-3.118,10.271,0.914,+38.5205733,-121.4183309
06067003300,"Census Tract 33, Sacramento County, California",4548.0,2638.0,131.0,29.0,717.0,0.0,885.0,"Sacramento city, California",False,-3.164,-0.293,-0.21,-8.46,9.333,-0.073,+38.5289945,-121.5039421
06067003400,"Census Tract 34, Sacramento County, California",3929.0,1748.0,324.0,52.0,541.0,42.0,1017.0,"Sacramento city, California",False,-0.172,-8.759,-0.387,-4.921,8.317,0.971,+38.5121908,-121.5088949
06067003501,"Census Tract 35.01, Sacramento County, California",2393.0,1124.0,103.0,0.0,419.0,0.0,645.0,"Sacramento city, California",True,2.014,-8.982,-1.687,1.551,3.931,-0.07,+38.5331684,-121.4883176
06067003502,"Census Tract 35.02, Sacramento County, California",2638.0,1138.0,126.0,0.0,507.0,0.0,739.0,"Sacramento city, California",True,-2.141,1.128,-1.6,-5.645,4.494,0.0,+38.5245176,-121.4885738
06067003600,"Census Tract 36, Sacramento County, California",2767.0,944.0,146.0,24.0,292.0,0.0,1320.0,"Sacramento city, California",False,6.382,-3.63,-1.327,-4.706,2.748,-0.065,+38.5327553,-121.4778780
06067003700,"Census Tract 37, Sacramento County, California",4496.0,733.0,441.0,47.0,800.0,32.0,2318.0,"Sacramento city, California",True,4.435,-7.972,-0.847,-6.136,7.33,0.669,+38.5336237,-121.4693182
06067003800,"Census Tract 38, Sacramento County, California",5674.0,862.0,1392.0,26.0,825.0,118.0,2357.0,"Sacramento city, California",False,-7.344,-11.759,-0.748,0.747,15.857,2.061,+38.5073142,-121.4931707
06067003900,"Census Tract 39, Sacramento County, California",3267.0,1556.0,89.0,10.0,575.0,5.0,906.0,"Sacramento city, California",False,-2.989,-5.223,-0.653,-9.339,14.989,0.071,+38.5303294,-121.5186401
06067004001,"Census Tract 40.01, Sacramento County, California",5832.0,1666.0,541.0,81.0,1489.0,16.0,1636.0,"Sacramento city, California",False,-12.2,-4.764,0.386,-4.809,14.792,0.163,+38.4996777,-121.5116580
06067004004,"Census Tract 40.04, Sacramento County, California",5986.0,2487.0,563.0,0.0,1563.0,0.0,996.0,"Sacramento city, California",False,-8.476,0.216,-0.632,-5.668,8.893,-0.045,+38.5037812,-121.5503432
06067004005,"Census Tract 40.05, Sacramento County, California",4367.0,1757.0,761.0,8.0,1173.0,0.0,422.0,"Sacramento city, California",False,-12.524,5.31,-0.486,1.151,1.516,0.0,+38.5110145,-121.5376295
06067004006,"Census Tract 40.06, Sacramento County, California",5346.0,1918.0,669.0,0.0,1260.0,0.0,1135.0,"Sacramento city, California",False,-3.301,-7.818,-1.157,-2.569,8.635,-0.096,+38.5072047,-121.5248771
06067004008,"Census Tract 40.08, Sacramento County, California",3666.0,1608.0,109.0,0.0,960.0,0.0,690.0,"Sacramento city, California",False,-1.233,-6.556,-1.146,-4.692,6.16,-0.051,+38.4899030,-121.5470459
06067004009,"Census Tract 40.09, Sacramento County, California",4991.0,1517.0,444.0,19.0,1488.0,0.0,1184.0,"Sacramento city, California",False,-8.77,-4.312,-0.447,-4.347,11.784,-0.074,+38.4908394,-121.5338650
