GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
48029110100,"Census Tract 1101, Bexar County, Texas",3160.0,1104.0,114.0,9.0,17.0,0.0,1866.0,"San Antonio city, Texas",False,4.287,-5.328,-0.74,-1.059,1.38,-0.03,+29.4270068,-098.4905375
48029110300,"Census Tract 1103, Bexar County, Texas",2977.0,509.0,80.0,5.0,50.0,0.0,2313.0,"San Antonio city, Texas",True,6.433,-4.693,-0.18,1.216,-2.945,0.0,+29.4143332,-098.4808558
48029110500,"Census Tract 1105, Bexar County, Texas",2507.0,70.0,125.0,0.0,67.0,0.0,2245.0,"San Antonio city, Texas",False,0.862,4.262,-0.241,2.48,-7.074,0.0,+29.4170710,-098.5090798
48029110600,"Census Tract 1106, Bexar County, Texas",5293.0,613.0,593.0,249.0,5.0,0.0,4033.0,"San Antonio city, Texas",False,0.351,0.791,4.365,-0.357,-1.33,-0.113,+29.4292110,-098.5078374
48029110700,"Census Tract 1107, Bexar County, Texas",1171.0,95.0,40.0,59.0,6.0,0.0,979.0,"San Antonio city, Texas",True,-0.714,-0.724,4.602,0.131,-2.339,-0.054,+29.4393895,-098.5040375
48029110800,"Census Tract 1108, Bexar County, Texas",2024.0,566.0,102.0,0.0,2.0,0.0,1328.0,"San Antonio city, Texas",False,7.902,-0.082,-0.931,-0.328,-7.301,0.0,+29.4423646,-098.4929891
48029110900,"Census Tract 1109, Bexar County, Texas",1669.0,867.0,46.0,0.0,37.0,0.0,688.0,"San Antonio city, Texas",True,31.289,-1.79,-0.134,-0.048,-31.175,0.0,+29.4389354,-098.4828446
48029111000,"Census Tract 1110, Bexar County, Texas",2948.0,600.0,167.0,3.0,62.0,0.0,1983.0,"San Antonio city, Texas",True,8.584,-3.123,-0.565,0.887,-9.862,0.0,+29.4403477,-098.4708688
48029120100,"Census Tract 1201, Bexar County, Texas",4844.0,2369.0,774.0,24.0,201.0,0.0,1254.0,"San Antonio city, Texas",False,-0.295,-12.126,-0.195,-0.571,8.895,-0.054,+29.4608965,-098.4383400
48029120300,"Census Tract 1203, Bexar County, Texas",8374.0,6169.0,125.0,22.0,21.0,0.0,1585.0,"San Antonio city, Texas",False,-10.304,0.851,-0.161,-0.951,5.373,-0.014,+29.4827827,-098.4680929
48029120400,"Census Tract 1204, Bexar County, Texas",6326.0,4704.0,115.0,0.0,70.0,0.0,1394.0,"San Antonio city, Texas",False,-5.382,0.184,-0.415,0.467,4.728,-0.01,+29.4761140,-098.4467416
48029120501,"Census Tract 1205.01, Bexar County, Texas",9985.0,2550.0,1072.0,38.0,333.0,0.0,5891.0,"San Antonio city, Texas",False,-17.204,-3.05,-0.196,-0.855,20.689,-0.038,+29.4834470,-098.4137358
