GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06073000100,"Census Tract 1, San Diego County, California",3093.0,2389.0,0.0,0.0,112.0,0.0,489.0,"San Diego city, California",False,-11.41,-0.433,-1.028,1.679,8.199,-0.034,+32.7530051,-117.1858954
06073000201,"Census Tract 2.01, San Diego County, California",1891.0,1569.0,10.0,11.0,75.0,0.0,140.0,"San Diego city, California",False,1.271,-1.577,-0.203,0.34,-3.376,-0.05,+32.7540028,-117.1733775
06073000202,"Census Tract 2.02, San Diego County, California",4542.0,3390.0,4.0,0.0,379.0,3.0,616.0,"San Diego city, California",False,-7.064,-2.018,-0.785,4.718,2.783,0.016,+32.7453947,-117.1751539
06073000300,"Census Tract 3, San Diego County, California",5239.0,3820.0,266.0,0.0,146.0,7.0,871.0,"San Diego city, California",False,-7.899,2.468,-1.08,-2.116,6.571,0.022,+32.7447827,-117.1623035
06073000400,"Census Tract 4, San Diego County, California",3801.0,2148.0,228.0,12.0,430.0,0.0,884.0,"San Diego city, California",False,-16.917,0.862,-0.636,3.667,11.168,-0.058,+32.7533382,-117.1630702
06073000500,"Census Tract 5, San Diego County, California",3151.0,2302.0,35.0,28.0,177.0,0.0,558.0,"San Diego city, California",False,-3.613,-2.554,-0.272,0.573,4.647,-0.181,+32.7605296,-117.1518898
06073000600,"Census Tract 6, San Diego County, California",3207.0,1995.0,102.0,8.0,181.0,14.0,718.0,"San Diego city, California",False,-13.391,-0.126,-0.662,0.177,8.417,0.403,+32.7530007,-117.1519124
06073000700,"Census Tract 7, San Diego County, California",4624.0,2993.0,103.0,20.0,350.0,0.0,958.0,"San Diego city, California",False,-13.362,-0.496,-1.002,2.472,8.826,-0.088,+32.7447605,-117.1513507
06073000800,"Census Tract 8, San Diego County, California",5178.0,3410.0,230.0,0.0,165.0,12.0,1234.0,"San Diego city, California",False,-1.498,-2.647,-1.257,-3.736,7.26,0.161,+32.7447840,-117.1420270
06073000900,"Census Tract 9, San Diego County, California",5741.0,2739.0,710.0,29.0,536.0,0.0,1598.0,"San Diego city, California",True,-0.414,-1.559,-0.764,1.739,-0.481,-0.107,+32.7518529,-117.1419570
06073001000,"Census Tract 10, San Diego County, California",4472.0,2330.0,112.0,29.0,230.0,0.0,1387.0,"San Diego city, California",False,-3.112,-7.965,-0.423,-0.475,4.156,-0.101,+32.7602503,-117.1417054
06073001100,"Census Tract 11, San Diego County, California",3168.0,1940.0,283.0,51.0,198.0,0.0,607.0,"San Diego city, California",True,4.937,-3.281,0.708,0.61,-5.3,-0.193,+32.7652836,-117.1335163
06073001200,"Census Tract 12, San Diego County, California",6037.0,2422.0,517.0,36.0,329.0,0.0,2633.0,"San Diego city, California",True,-2.373,-13.294,-0.556,-0.276,15.623,-0.16,+32.7580760,-117.1318126
06073001300,"Census Tract 13, San Diego County, California",6256.0,3219.0,526.0,76.0,354.0,199.0,1873.0,"San Diego city, California",False,9.349,-10.132,0.292,-0.801,-1.604,3.148,+32.7518798,-117.1320090
06073001400,"Census Tract 14, San Diego County, California",3456.0,2295.0,51.0,0.0,178.0,29.0,695.0,"San Diego city, California",False,7.801,-7.54,-1.523,-1.003,-3.832,0.748,+32.7447400,-117.1330809
06073001500,"Census Tract 15, San Diego County, California",3827.0,2264.0,134.0,17.0,217.0,0.0,930.0,"San Diego city, California",False,8.511,-7.172,-0.953,-0.016,-5.475,0.0,+32.7437315,-117.1233878
06073001600,"Census Tract 16, San Diego County, California",5821.0,1487.0,933.0,190.0,378.0,19.0,2861.0,"San Diego city, California",True,2.202,-2.304,2.317,-2.419,1.403,0.244,+32.7521608,-117.1213220
06073001700,"Census Tract 17, San Diego County, California",4448.0,2025.0,370.0,0.0,76.0,0.0,1839.0,"San Diego city, California",True,6.035,-10.298,-0.977,-5.046,8.119,-0.163,+32.7582434,-117.1207284
06073001800,"Census Tract 18, San Diego County, California",5417.0,2193.0,747.0,92.0,333.0,0.0,1943.0,"San Diego city, California",True,1.565,-3.143,0.595,-0.009,-0.604,-0.16,+32.7628808,-117.1186103
06073001900,"Census Tract 19, San Diego County, California",3271.0,2174.0,132.0,12.0,164.0,2.0,703.0,"San Diego city, California",False,-9.64,0.844,-0.855,0.941,6.76,-0.109,+32.7697902,-117.1197686
06073002001,"Census Tract 20.01, San Diego County, California",3306.0,2680.0,83.0,0.0,132.0,15.0,222.0,"San Diego city, California",False,-6.165,1.129,-0.781,1.259,-0.436,0.424,+32.7699011,-117.1043277
06073002002,"Census Tract 20.02, San Diego County, California",2610.0,1857.0,82.0,35.0,132.0,12.0,458.0,"San Diego city, California",False,-5.844,-1.459,0.587,-2.876,8.306,0.301,+32.7645682,-117.0929001
06073002100,"Census Tract 21, San Diego County, California",5471.0,2405.0,650.0,132.0,415.0,0.0,1677.0,"San Diego city, California",True,4.983,-3.312,1.303,-2.687,-2.489,-0.054,+32.7586876,-117.1084657
06073002201,"Census Tract 22.01, San Diego County, California",3328.0,313.0,603.0,15.0,589.0,0.0,1712.0,"San Diego city, California",False,-0.281,4.192,-0.413,4.504,-10.181,-0.052,+32.7524807,-117.1124957
06073002202,"Census Tract 22.02, San Diego County, California",5477.0,470.0,258.0,9.0,755.0,0.0,3888.0,"San Diego city, California",True,0.581,-5.397,-0.191,-9.387,12.919,-0.02,+32.7523973,-117.1051018
06073002301,"Census Tract 23.01, San Diego County, California",3073.0,593.0,468.0,0.0,383.0,37.0,1522.0,"San Diego city, California",False,-0.717,0.184,-0.822,-20.608,18.856,1.17,+32.7573492,-117.0947635
06073002302,"Census Tract 23.02, San Diego County, California",7300.0,680.0,372.0,82.0,996.0,0.0,5190.0,"San Diego city, California",False,0.715,-7.231,0.378,-11.308,18.122,-0.015,+32.7525425,-117.0963988
06073002401,"Census Tract 24.01, San Diego County, California",4791.0,1323.0,176.0,12.0,360.0,0.0,2794.0,"San Diego city, California",True,11.7,-9.825,-0.317,-1.12,-2.776,-0.128,+32.7470748,-117.1152037
06073002402,"Census Tract 24.02, San Diego County, California",5189.0,235.0,534.0,0.0,683.0,0.0,3708.0,"San Diego city, California",False,-3.781,-0.959,-0.47,-2.969,8.288,0.0,+32.7468190,-117.1052234
06073002501,"Census Tract 25.01, San Diego County, California",5406.0,718.0,682.0,36.0,746.0,0.0,3175.0,"San Diego city, California",True,-0.49,2.774,0.06,-1.002,-1.921,-0.016,+32.7400397,-117.1096437
06073002502,"Census Tract 25.02, San Diego County, California",6479.0,1796.0,697.0,144.0,647.0,25.0,3164.0,"San Diego city, California",True,-1.252,-4.565,1.471,-1.664,6.146,0.369,+32.7281529,-117.1080467
06073002601,"Census Tract 26.01, San Diego County, California",5609.0,361.0,93.0,60.0,1343.0,0.0,3590.0,"San Diego city, California",False,-2.558,-5.064,0.403,3.922,0.553,-0.016,+32.7449119,-117.0966252
06073002602,"Census Tract 26.02, San Diego County, California",4452.0,518.0,370.0,97.0,734.0,0.0,2809.0,"San Diego city, California",False,2.407,-4.311,1.684,-4.141,6.325,-0.086,+32.7357595,-117.0972750
06073002702,"Census Tract 27.02, San Diego County, California",6350.0,1850.0,1351.0,56.0,914.0,8.0,1825.0,"San Diego city, California",False,-15.393,3.046,0.247,0.547,6.805,0.105,+32.7542099,-117.0728017
06073002703,"Census Tract 27.03, San Diego County, California",7083.0,1831.0,582.0,18.0,1527.0,0.0,2915.0,"San Diego city, California",False,-12.539,-7.248,-0.491,7.925,10.226,-0.155,+32.7451531,-117.0658524
06073002705,"Census Tract 27.05, San Diego County, California",4133.0,592.0,681.0,67.0,1559.0,0.0,1157.0,"San Diego city, California",True,-12.574,-1.725,1.007,7.237,4.413,-0.025,+32.7338692,-117.0835759
06073002707,"Census Tract 27.07, San Diego County, California",5405.0,637.0,601.0,18.0,1011.0,0.0,3132.0,"San Diego city, California",False,6.013,-8.222,-0.377,-4.232,7.1,-0.076,+32.7529867,-117.0895143
06073002708,"Census Tract 27.08, San Diego County, California",5395.0,433.0,1148.0,62.0,1056.0,23.0,2619.0,"San Diego city, California",False,-0.278,2.81,0.67,-3.942,0.159,0.327,+32.7531727,-117.0830585
