GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06075010100,"Census Tract 101, San Francisco County, California",3889.0,1517.0,236.0,0.0,1534.0,0.0,475.0,"San Francisco city, California",False,-18.548,0.302,-0.278,11.797,4.955,-0.069,+37.8085195,-122.4095545
06075010200,"Census Tract 102, San Francisco County, California",4167.0,3363.0,84.0,0.0,503.0,0.0,136.0,"San Francisco city, California",False,-2.946,1.013,-0.187,1.483,-0.514,-0.047,+37.8058607,-122.4229252
06075010300,"Census Tract 103, San Francisco County, California",4359.0,2591.0,0.0,30.0,1266.0,0.0,407.0,"San Francisco city, California",False,1.4,-0.806,0.15,-7.516,5.916,-0.049,+37.8016201,-122.4156811
06075010400,"Census Tract 104, San Francisco County, California",4536.0,2855.0,9.0,8.0,1024.0,22.0,344.0,"San Francisco city, California",False,0.089,-0.605,-0.174,-9.613,4.168,0.464,+37.8022725,-122.4075581
06075010500,"Census Tract 105, San Francisco County, California",2779.0,1384.0,252.0,0.0,658.0,0.0,210.0,"San Francisco city, California",False,-25.525,7.038,-0.406,5.41,4.354,-0.09,+37.8026835,-122.3990500
06075010600,"Census Tract 106, San Francisco County, California",3429.0,1213.0,64.0,0.0,1910.0,0.0,147.0,"San Francisco city, California",False,3.195,0.674,-0.257,-6.93,1.226,0.0,+37.7993784,-122.4063879
06075010700,"Census Tract 107, San Francisco County, California",5548.0,814.0,0.0,33.0,4308.0,0.0,333.0,"San Francisco city, California",False,1.466,-1.278,0.205,-4.672,3.588,-0.035,+37.7985140,-122.4100466
06075010800,"Census Tract 108, San Francisco County, California",5038.0,2335.0,111.0,0.0,2149.0,0.0,312.0,"San Francisco city, California",False,7.011,1.111,-0.624,-13.192,3.62,-0.039,+37.7964984,-122.4142914
06075010900,"Census Tract 109, San Francisco County, California",4486.0,2954.0,69.0,0.0,1112.0,0.0,195.0,"San Francisco city, California",False,-4.058,-0.082,-0.577,2.196,0.019,-0.067,+37.7980370,-122.4205599
06075011000,"Census Tract 110, San Francisco County, California",5127.0,2644.0,107.0,0.0,2061.0,0.0,315.0,"San Francisco city, California",False,13.339,0.496,-0.438,-16.377,3.338,-0.02,+37.7943766,-122.4197978
06075011100,"Census Tract 111, San Francisco County, California",4835.0,2226.0,202.0,22.0,1727.0,0.0,490.0,"San Francisco city, California",False,-2.153,1.552,-0.337,-6.069,4.252,-0.036,+37.7907434,-122.4190819
06075011200,"Census Tract 112, San Francisco County, California",3329.0,1955.0,169.0,6.0,952.0,0.0,150.0,"San Francisco city, California",False,1.753,3.618,-0.279,-9.16,1.749,-0.054,+37.7929713,-122.4127333
06075011300,"Census Tract 113, San Francisco County, California",2843.0,441.0,0.0,32.0,2223.0,0.0,75.0,"San Francisco city, California",False,2.522,-1.471,0.85,-4.62,0.524,-0.031,+37.7946971,-122.4093492
06075011700,"Census Tract 117, San Francisco County, California",1790.0,562.0,67.0,0.0,860.0,0.0,185.0,"San Francisco city, California",False,1.231,-1.237,-0.859,-6.506,2.092,-0.057,+37.7904975,-122.4034750
06075011800,"Census Tract 118, San Francisco County, California",1570.0,193.0,9.0,8.0,1310.0,0.0,24.0,"San Francisco city, California",False,3.785,-0.212,0.314,-6.221,0.875,0.0,+37.7933506,-122.4061645
06075011901,"Census Tract 119.01, San Francisco County, California",2699.0,1401.0,59.0,0.0,629.0,14.0,363.0,"San Francisco city, California",False,-8.63,-0.828,-0.629,-3.874,5.534,0.443,+37.7904728,-122.4139142
06075011902,"Census Tract 119.02, San Francisco County, California",2712.0,1510.0,25.0,0.0,829.0,12.0,202.0,"San Francisco city, California",False,-4.86,-2.092,-0.629,3.389,-0.467,0.366,+37.7909959,-122.4098067
06075012000,"Census Tract 120, San Francisco County, California",3973.0,1555.0,241.0,74.0,1296.0,0.0,608.0,"San Francisco city, California",False,-12.321,1.987,0.503,3.139,3.344,-0.151,+37.7879645,-122.4185273
06075012100,"Census Tract 121, San Francisco County, California",3859.0,1702.0,175.0,0.0,1133.0,0.0,700.0,"San Francisco city, California",False,-12.048,0.664,-1.011,-0.738,10.716,-0.058,+37.7888066,-122.4118881
06075012201,"Census Tract 122.01, San Francisco County, California",4620.0,1869.0,278.0,0.0,827.0,0.0,1343.0,"San Francisco city, California",False,1.521,-1.36,-1.151,-13.756,10.547,-0.043,+37.7858464,-122.4163535
06075012202,"Census Tract 122.02, San Francisco County, California",3181.0,1149.0,429.0,44.0,762.0,13.0,605.0,"San Francisco city, California",False,-2.813,6.109,0.232,-7.701,0.497,0.366,+37.7854122,-122.4196443
06075012301,"Census Tract 123.01, San Francisco County, California",2117.0,640.0,112.0,0.0,717.0,0.0,596.0,"San Francisco city, California",False,-9.769,-5.894,-1.257,0.589,15.067,-0.097,+37.7859203,-122.4107461
06075012302,"Census Tract 123.02, San Francisco County, California",2713.0,1087.0,137.0,11.0,797.0,0.0,615.0,"San Francisco city, California",False,0.066,-6.135,-0.852,-3.903,9.583,-0.097,+37.7870223,-122.4120970
06075012401,"Census Tract 124.01, San Francisco County, California",4667.0,1497.0,521.0,54.0,1180.0,48.0,1262.0,"San Francisco city, California",False,-6.285,1.991,0.082,-3.588,6.56,0.943,+37.7830510,-122.4157891
06075012402,"Census Tract 124.02, San Francisco County, California",4662.0,1546.0,391.0,4.0,1470.0,47.0,1011.0,"San Francisco city, California",False,-5.199,-0.785,-0.989,2.66,1.205,0.923,+37.7801467,-122.4177690
06075012501,"Census Tract 125.01, San Francisco County, California",4293.0,1012.0,396.0,47.0,1442.0,0.0,1193.0,"San Francisco city, California",False,-5.313,-6.112,-0.898,-5.584,14.796,-0.039,+37.7830137,-122.4109837
06075012502,"Census Tract 125.02, San Francisco County, California",3674.0,727.0,546.0,277.0,1443.0,0.0,592.0,"San Francisco city, California",False,-9.098,-0.475,5.546,0.102,3.12,-0.039,+37.7839330,-122.4125954
