GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06085500100,"Census Tract 5001, Santa Clara County, California",8306.0,1107.0,231.0,15.0,1996.0,0.0,4595.0,"San Jose city, California",False,-0.683,0.43,-0.267,4.852,-7.459,-0.075,+37.3584848,-121.8927600
06085500200,"Census Tract 5002, Santa Clara County, California",5969.0,1810.0,405.0,107.0,1178.0,0.0,2208.0,"San Jose city, California",False,-2.708,-0.476,1.201,6.002,-7.721,-0.039,+37.3499085,-121.9021695
06085500300,"Census Tract 5003, Santa Clara County, California",3788.0,1477.0,202.0,15.0,625.0,15.0,1199.0,"San Jose city, California",True,8.294,1.24,-0.586,9.754,-25.192,0.352,+37.3395991,-121.9079506
06085500400,"Census Tract 5004, Santa Clara County, California",2657.0,1038.0,135.0,20.0,289.0,0.0,1024.0,"San Jose city, California",False,-14.249,2.572,-0.14,2.076,5.547,0.0,+37.3401522,-121.9220248
06085500500,"Census Tract 5005, Santa Clara County, California",5500.0,3135.0,189.0,41.0,865.0,0.0,1130.0,"San Jose city, California",False,-10.836,0.757,-0.106,6.632,2.376,0.0,+37.3299506,-121.9279069
06085500600,"Census Tract 5006, Santa Clara County, California",5884.0,2578.0,342.0,104.0,1184.0,0.0,1056.0,"San Jose city, California",False,-20.397,2.849,0.798,10.893,-3.762,-0.052,+37.3334140,-121.9145346
06085500800,"Census Tract 5008, Santa Clara County, California",4180.0,1692.0,284.0,0.0,809.0,0.0,1189.0,"San Jose city, California",True,14.132,3.119,-0.776,7.708,-27.921,0.0,+37.3303972,-121.8954308
06085500901,"Census Tract 5009.01, Santa Clara County, California",4197.0,1314.0,214.0,0.0,1605.0,16.0,849.0,"San Jose city, California",False,-2.34,-2.771,-0.63,11.904,-10.551,0.241,+37.3351802,-121.8840965
06085500902,"Census Tract 5009.02, Santa Clara County, California",5659.0,1303.0,448.0,89.0,1731.0,58.0,1796.0,"San Jose city, California",False,-0.216,-0.579,0.545,-7.913,3.68,0.971,+37.3330150,-121.8796398
06085501000,"Census Tract 5010, Santa Clara County, California",5414.0,1239.0,495.0,0.0,1102.0,30.0,2280.0,"San Jose city, California",True,0.753,4.976,-1.01,4.446,-14.236,0.446,+37.3416421,-121.8880715
06085501101,"Census Tract 5011.01, Santa Clara County, California",4695.0,1216.0,253.0,77.0,1327.0,26.0,1703.0,"San Jose city, California",False,4.604,2.238,0.805,13.029,-22.072,0.478,+37.3480957,-121.8919669
06085501102,"Census Tract 5011.02, Santa Clara County, California",4305.0,1181.0,81.0,0.0,391.0,0.0,2389.0,"San Jose city, California",False,6.137,-1.269,-0.835,-6.153,-2.851,-0.076,+37.3540383,-121.8812234
