GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
53033000100,"Census Tract 1, King County, Washington",8202.0,4226.0,1343.0,39.0,1202.0,0.0,872.0,"Seattle city, Washington",False,-7.988,4.71,-0.809,-1.891,1.355,-0.054,+47.7247297,-122.2845705
53033000200,"Census Tract 2, King County, Washington",8779.0,5377.0,613.0,36.0,1168.0,0.0,953.0,"Seattle city, Washington",False,-7.397,1.632,-0.979,-5.702,6.389,-0.082,+47.7266401,-122.3099963
53033000300,"Census Tract 3, King County, Washington",2953.0,1973.0,114.0,0.0,484.0,0.0,143.0,"Seattle city, Washington",False,-3.69,-2.297,-2.817,1.42,0.135,-0.121,+47.7305259,-122.3329277
53033000401,"Census Tract 4.01, King County, Washington",7145.0,4228.0,1201.0,0.0,970.0,0.0,373.0,"Seattle city, Washington",False,-11.126,11.824,-1.563,-2.372,-1.582,-0.169,+47.7288710,-122.3509939
53033000402,"Census Tract 4.02, King County, Washington",5190.0,4210.0,71.0,0.0,406.0,23.0,145.0,"Seattle city, Washington",False,3.204,-3.826,-1.855,-1.954,-2.051,0.356,+47.7168585,-122.3523664
53033000500,"Census Tract 5, King County, Washington",3143.0,2636.0,24.0,0.0,278.0,0.0,73.0,"Seattle city, Washington",False,-3.843,-0.51,-1.153,1.381,0.442,-0.121,+47.7224094,-122.3710555
53033000600,"Census Tract 6, King County, Washington",8203.0,4879.0,812.0,70.0,1094.0,0.0,866.0,"Seattle city, Washington",False,-4.073,3.514,-1.307,-7.407,4.063,0.0,+47.7193841,-122.3315095
53033000700,"Census Tract 7, King County, Washington",5452.0,2865.0,636.0,63.0,997.0,0.0,692.0,"Seattle city, Washington",False,-11.976,4.957,-0.229,-1.073,5.293,-0.095,+47.7156893,-122.3018631
53033000800,"Census Tract 8, King County, Washington",2839.0,2116.0,98.0,0.0,412.0,8.0,22.0,"Seattle city, Washington",False,-2.159,0.183,-1.731,0.935,-3.417,0.205,+47.7112491,-122.2860820
53033000900,"Census Tract 9, King County, Washington",2161.0,1554.0,113.0,5.0,323.0,9.0,84.0,"Seattle city, Washington",False,-13.803,3.859,-0.258,5.945,1.392,0.367,+47.7080031,-122.2748976
53033001000,"Census Tract 10, King County, Washington",2036.0,1445.0,152.0,4.0,219.0,0.0,29.0,"Seattle city, Washington",False,-2.166,1.601,-1.505,-4.845,-1.567,-0.059,+47.7064068,-122.2960647
53033001100,"Census Tract 11, King County, Washington",2580.0,1917.0,7.0,8.0,365.0,18.0,141.0,"Seattle city, Washington",False,-0.666,-3.866,-1.336,0.428,0.864,0.656,+47.7065470,-122.3068073
53033001200,"Census Tract 12, King County, Washington",6984.0,4190.0,696.0,29.0,1056.0,0.0,532.0,"Seattle city, Washington",False,-3.894,1.663,-1.255,-3.73,1.688,-0.098,+47.7071214,-122.3228194
53033001300,"Census Tract 13, King County, Washington",4698.0,2433.0,264.0,124.0,894.0,0.0,725.0,"Seattle city, Washington",True,-12.52,-2.437,0.583,2.342,7.304,-0.096,+47.7022815,-122.3421789
53033001400,"Census Tract 14, King County, Washington",5664.0,4365.0,52.0,71.0,416.0,13.0,152.0,"Seattle city, Washington",False,-2.583,-3.661,-0.565,-0.979,-2.452,0.144,+47.7078795,-122.3674088
53033001500,"Census Tract 15, King County, Washington",2733.0,2252.0,56.0,7.0,213.0,0.0,19.0,"Seattle city, Washington",False,-9.174,1.028,-0.638,3.071,-0.922,0.0,+47.6946324,-122.3949744
53033001600,"Census Tract 16, King County, Washington",4769.0,3759.0,29.0,16.0,582.0,0.0,187.0,"Seattle city, Washington",False,-9.546,-0.76,-1.337,5.868,2.02,-0.025,+47.7004764,-122.3799022
53033001701,"Census Tract 17.01, King County, Washington",4218.0,2955.0,336.0,9.0,361.0,24.0,337.0,"Seattle city, Washington",False,-1.761,2.582,-2.62,-4.935,2.056,0.556,+47.6963619,-122.3544843
53033001702,"Census Tract 17.02, King County, Washington",5111.0,3484.0,251.0,61.0,516.0,0.0,488.0,"Seattle city, Washington",False,-3.651,-0.473,-1.639,-3.398,3.614,-0.013,+47.6965212,-122.3639488
53033001800,"Census Tract 18, King County, Washington",4980.0,3711.0,37.0,0.0,643.0,31.0,291.0,"Seattle city, Washington",False,3.558,-5.922,-2.606,0.76,-1.423,0.572,+47.6940453,-122.3419781
53033001900,"Census Tract 19, King County, Washington",5079.0,3632.0,166.0,15.0,822.0,0.0,195.0,"Seattle city, Washington",False,-6.784,0.376,-0.903,3.388,-0.251,-0.204,+47.6965349,-122.3262160
53033002000,"Census Tract 20, King County, Washington",3854.0,3037.0,54.0,9.0,431.0,0.0,134.0,"Seattle city, Washington",False,-2.746,-2.514,-0.825,1.491,0.524,-0.16,+47.6953310,-122.3108025
53033002100,"Census Tract 21, King County, Washington",4453.0,3422.0,73.0,6.0,593.0,0.0,216.0,"Seattle city, Washington",False,-3.219,-1.605,-1.102,1.769,1.634,-0.082,+47.6953673,-122.2980453
53033002200,"Census Tract 22, King County, Washington",5891.0,4320.0,0.0,19.0,854.0,10.0,269.0,"Seattle city, Washington",False,-8.265,-2.187,-0.474,2.933,0.971,0.17,+47.6941159,-122.2754574
53033002400,"Census Tract 24, King County, Washington",3391.0,2637.0,12.0,0.0,477.0,10.0,126.0,"Seattle city, Washington",False,-5.156,-1.202,-0.636,2.186,1.559,0.26,+47.6866808,-122.2878263
53033002500,"Census Tract 25, King County, Washington",3451.0,2648.0,40.0,10.0,345.0,0.0,120.0,"Seattle city, Washington",False,-6.779,-1.871,-1.048,1.418,0.486,0.0,+47.6838969,-122.3022793
53033002600,"Census Tract 26, King County, Washington",5377.0,4115.0,38.0,0.0,516.0,0.0,324.0,"Seattle city, Washington",False,-8.853,-0.996,-0.973,1.502,2.687,-0.088,+47.6822031,-122.3113993
53033002700,"Census Tract 27, King County, Washington",6393.0,4768.0,74.0,0.0,777.0,0.0,291.0,"Seattle city, Washington",False,-11.762,-1.027,-1.012,4.709,1.942,-0.04,+47.6868671,-122.3311548
53033002800,"Census Tract 28, King County, Washington",5144.0,3940.0,182.0,0.0,365.0,0.0,171.0,"Seattle city, Washington",False,-10.173,1.813,-1.536,0.834,0.205,-0.165,+47.6851140,-122.3499450
53033002900,"Census Tract 29, King County, Washington",4856.0,4056.0,1.0,1.0,276.0,13.0,225.0,"Seattle city, Washington",False,-2.368,-2.288,-1.686,0.714,0.391,0.268,+47.6850872,-122.3606466
53033003000,"Census Tract 30, King County, Washington",6328.0,5199.0,2.0,0.0,382.0,17.0,374.0,"Seattle city, Washington",False,-4.717,-2.101,-1.81,1.713,1.567,0.212,+47.6850958,-122.3740444
53033003100,"Census Tract 31, King County, Washington",6551.0,5505.0,0.0,97.0,278.0,0.0,449.0,"Seattle city, Washington",False,-5.748,-1.292,0.007,0.6,3.707,-0.05,+47.6877574,-122.3964308
53033003200,"Census Tract 32, King County, Washington",9140.0,7645.0,54.0,25.0,423.0,0.0,541.0,"Seattle city, Washington",False,-4.753,-0.976,-1.404,0.33,2.176,-0.055,+47.6753292,-122.4022855
53033003300,"Census Tract 33, King County, Washington",8205.0,6251.0,132.0,56.0,622.0,0.0,553.0,"Seattle city, Washington",False,-7.611,-0.877,-1.769,2.454,1.699,-0.034,+47.6759715,-122.3768118
