GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
12057000101,"Census Tract 1.01, Hillsborough County, Florida",4414.0,1637.0,1029.0,0.0,461.0,0.0,1173.0,"Tampa city, Florida",False,-9.521,-5.267,-0.529,7.323,6.456,0.0,+28.0484773,-082.4131381
12057000102,"Census Tract 1.02, Hillsborough County, Florida",6437.0,1605.0,2487.0,15.0,286.0,0.0,2031.0,"Tampa city, Florida",False,-21.674,10.057,-0.296,1.322,11.433,0.0,+28.0380365,-082.4109883
12057000201,"Census Tract 2.01, Hillsborough County, Florida",3664.0,539.0,2247.0,0.0,10.0,0.0,849.0,"Tampa city, Florida",False,-18.829,21.346,-0.793,-2.984,1.236,-0.012,+28.0515195,-082.4466455
12057000202,"Census Tract 2.02, Hillsborough County, Florida",6009.0,814.0,2598.0,44.0,28.0,0.0,2300.0,"Tampa city, Florida",False,-19.994,3.255,-0.061,-2.791,16.341,-0.012,+28.0478249,-082.4330986
12057000300,"Census Tract 3, Hillsborough County, Florida",8219.0,1311.0,2823.0,0.0,39.0,0.0,3951.0,"Tampa city, Florida",False,-24.06,-1.583,-0.955,-0.867,26.932,-0.042,+28.0376886,-082.4387824
12057000401,"Census Tract 4.01, Hillsborough County, Florida",2654.0,1095.0,544.0,0.0,42.0,37.0,859.0,"Tampa city, Florida",False,-18.402,4.71,-0.638,-0.417,10.749,1.394,+28.0515226,-082.4614512
12057000402,"Census Tract 4.02, Hillsborough County, Florida",3323.0,1334.0,507.0,20.0,14.0,0.0,1399.0,"Tampa city, Florida",False,-35.455,9.022,-0.348,-0.529,26.288,0.0,+28.0381828,-082.4594723
12057000500,"Census Tract 5, Hillsborough County, Florida",4361.0,2538.0,125.0,18.0,68.0,0.0,1579.0,"Tampa city, Florida",False,-26.098,0.741,-0.364,0.263,25.194,0.0,+28.0434003,-082.4730957
12057000601,"Census Tract 6.01, Hillsborough County, Florida",5660.0,1252.0,873.0,99.0,190.0,0.0,3162.0,"Tampa city, Florida",False,-28.342,0.123,0.781,0.154,26.381,-0.03,+28.0295881,-082.4765398
12057000602,"Census Tract 6.02, Hillsborough County, Florida",2793.0,761.0,287.0,13.0,133.0,0.0,1607.0,"Tampa city, Florida",False,-23.215,-5.025,-0.503,1.559,28.052,-0.03,+28.0290218,-082.4595138
12057000700,"Census Tract 7, Hillsborough County, Florida",6054.0,1000.0,3222.0,40.0,0.0,0.0,1569.0,"Tampa city, Florida",False,-8.577,-5.577,-0.1,-0.444,11.507,0.0,+28.0246393,-082.4446021
12057000800,"Census Tract 8, Hillsborough County, Florida",3608.0,819.0,1596.0,0.0,0.0,19.0,1073.0,"Tampa city, Florida",False,-15.912,0.398,-0.68,-2.367,15.78,0.527,+28.0272386,-082.4356620
12057000901,"Census Tract 9.01, Hillsborough County, Florida",2826.0,827.0,994.0,0.0,129.0,0.0,815.0,"Tampa city, Florida",False,-11.226,-3.155,-0.469,2.206,11.059,-0.121,+28.0289804,-082.4108652
12057000902,"Census Tract 9.02, Hillsborough County, Florida",4494.0,806.0,2453.0,0.0,50.0,0.0,1135.0,"Tampa city, Florida",False,-22.555,16.256,-0.469,-1.246,7.476,-0.121,+28.0242562,-082.4065185
12057001001,"Census Tract 10.01, Hillsborough County, Florida",4464.0,346.0,2689.0,8.0,0.0,0.0,1250.0,"Tampa city, Florida",False,-3.481,-17.869,-0.079,-0.746,18.588,0.0,+28.0177786,-082.4274642
12057001002,"Census Tract 10.02, Hillsborough County, Florida",5407.0,267.0,4277.0,0.0,50.0,0.0,718.0,"Tampa city, Florida",False,-6.294,0.995,-0.258,0.179,3.865,0.0,+28.0023042,-082.4172624
12057001100,"Census Tract 11, Hillsborough County, Florida",2759.0,1575.0,670.0,5.0,14.0,0.0,500.0,"Tampa city, Florida",False,-8.287,4.284,-0.672,-0.772,6.225,0.0,+28.0140191,-082.4461143
12057001200,"Census Tract 12, Hillsborough County, Florida",2943.0,1002.0,503.0,0.0,117.0,0.0,1193.0,"Tampa city, Florida",True,-5.874,-20.936,-0.965,3.368,20.38,-0.071,+28.0156612,-082.4586636
12057001300,"Census Tract 13, Hillsborough County, Florida",6333.0,1605.0,465.0,0.0,64.0,60.0,3811.0,"Tampa city, Florida",False,-35.521,0.044,-0.551,-1.121,31.353,0.947,+28.0194445,-082.4719263
12057001400,"Census Tract 14, Hillsborough County, Florida",4893.0,1532.0,536.0,39.0,0.0,0.0,2699.0,"Tampa city, Florida",False,-19.586,0.899,0.128,-0.86,17.735,-0.024,+28.0037546,-082.4772015
12057001500,"Census Tract 15, Hillsborough County, Florida",2632.0,1960.0,0.0,0.0,28.0,0.0,554.0,"Tampa city, Florida",False,-2.744,-5.717,-0.94,0.242,5.857,0.0,+28.0027970,-082.4655029
12057001600,"Census Tract 16, Hillsborough County, Florida",1729.0,1264.0,137.0,6.0,0.0,5.0,271.0,"Tampa city, Florida",False,-1.781,-0.062,-1.26,-1.457,2.264,0.289,+28.0033718,-082.4553647
12057001700,"Census Tract 17, Hillsborough County, Florida",4557.0,1970.0,1006.0,21.0,49.0,0.0,1392.0,"Tampa city, Florida",False,-11.99,-3.86,-0.288,-0.798,15.026,0.0,+28.0037955,-082.4439883
12057001800,"Census Tract 18, Hillsborough County, Florida",4854.0,91.0,3752.0,0.0,14.0,0.0,972.0,"Tampa city, Florida",False,-7.213,-8.336,-0.36,0.108,15.406,0.0,+27.9900018,-082.4131115
12057001900,"Census Tract 19, Hillsborough County, Florida",3224.0,178.0,2370.0,0.0,20.0,0.0,551.0,"Tampa city, Florida",False,4.501,-20.369,-0.567,0.62,12.633,0.0,+27.9877415,-082.4275954
12057002000,"Census Tract 20, Hillsborough County, Florida",3474.0,443.0,2274.0,0.0,0.0,0.0,689.0,"Tampa city, Florida",False,-7.301,0.636,-0.417,-0.72,6.148,0.0,+27.9891174,-082.4393627
12057002100,"Census Tract 21, Hillsborough County, Florida",3317.0,1232.0,1260.0,8.0,35.0,0.0,714.0,"Tampa city, Florida",True,5.465,-3.695,-1.018,0.34,-2.633,0.0,+27.9887785,-082.4470567
12057002200,"Census Tract 22, Hillsborough County, Florida",1668.0,1002.0,116.0,13.0,0.0,35.0,484.0,"Tampa city, Florida",False,2.371,-7.431,0.084,-0.481,3.188,2.098,+27.9887927,-082.4552746
12057002300,"Census Tract 23, Hillsborough County, Florida",3288.0,2135.0,503.0,0.0,57.0,0.0,519.0,"Tampa city, Florida",True,7.623,-0.873,-0.696,0.12,-7.981,0.0,+27.9874353,-082.4644384
12057002400,"Census Tract 24, Hillsborough County, Florida",4078.0,1445.0,632.0,21.0,0.0,0.0,1949.0,"Tampa city, Florida",False,-15.23,-0.39,0.146,-1.402,16.435,-0.025,+27.9895135,-082.4774143
12057002500,"Census Tract 25, Hillsborough County, Florida",6623.0,1175.0,532.0,0.0,66.0,0.0,4844.0,"Tampa city, Florida",False,-15.772,-3.647,-0.445,-2.451,22.718,0.0,+27.9855208,-082.4936965
12057002600,"Census Tract 26, Hillsborough County, Florida",1169.0,198.0,107.0,14.0,13.0,0.0,828.0,"Tampa city, Florida",False,-15.917,-2.468,0.863,-6.396,23.532,-0.048,+27.9806033,-082.5129537
12057002700,"Census Tract 27, Hillsborough County, Florida",7504.0,1565.0,346.0,17.0,139.0,0.0,5218.0,"Tampa city, Florida",False,-6.344,-1.093,-0.001,0.547,4.381,0.0,+27.9743747,-082.4899645
12057002800,"Census Tract 28, Hillsborough County, Florida",3311.0,1825.0,362.0,34.0,45.0,0.0,1018.0,"Tampa city, Florida",False,0.742,-1.666,0.546,0.569,-0.905,0.0,+27.9742037,-082.4727120
12057002900,"Census Tract 29, Hillsborough County, Florida",2322.0,873.0,512.0,6.0,0.0,0.0,827.0,"Tampa city, Florida",True,6.262,-10.051,-0.148,-0.676,0.63,0.0,+27.9742256,-082.4635453
12057003000,"Census Tract 30, Hillsborough County, Florida",2997.0,454.0,2055.0,5.0,11.0,0.0,445.0,"Tampa city, Florida",False,5.449,-2.928,-0.372,0.112,-2.736,0.0,+27.9740046,-082.4538188
12057003100,"Census Tract 31, Hillsborough County, Florida",2919.0,318.0,1770.0,0.0,0.0,0.0,787.0,"Tampa city, Florida",True,0.766,6.354,-0.32,-0.24,-7.787,0.0,+27.9773534,-082.4436539
12057003200,"Census Tract 32, Hillsborough County, Florida",2725.0,391.0,1005.0,5.0,13.0,0.0,1271.0,"Tampa city, Florida",False,5.007,-3.329,-0.051,0.243,-3.105,0.0,+27.9696358,-082.4470715
12057003300,"Census Tract 33, Hillsborough County, Florida",1817.0,233.0,1157.0,5.0,21.0,0.0,401.0,"Tampa city, Florida",False,7.639,-4.668,0.023,1.156,-4.0,0.0,+27.9697247,-082.4389002
12057003400,"Census Tract 34, Hillsborough County, Florida",2990.0,100.0,2437.0,0.0,0.0,0.0,433.0,"Tampa city, Florida",False,2.255,-13.763,-0.251,-0.084,11.928,0.0,+27.9778310,-082.4264086
12057003500,"Census Tract 35, Hillsborough County, Florida",2582.0,219.0,2038.0,0.0,52.0,0.0,177.0,"Tampa city, Florida",False,5.897,-15.981,-0.083,1.847,4.77,-0.042,+27.9687918,-082.4268590
12057003600,"Census Tract 36, Hillsborough County, Florida",4924.0,574.0,3150.0,36.0,32.0,0.0,1040.0,"Tampa city, Florida",False,-6.062,-7.491,0.118,0.17,11.609,0.0,+27.9771191,-082.4037453
12057003700,"Census Tract 37, Hillsborough County, Florida",880.0,325.0,216.0,0.0,11.0,0.0,278.0,"Tampa city, Florida",False,-15.092,-8.002,-1.02,0.644,18.075,0.0,+27.9572549,-082.3894916
12057003800,"Census Tract 38, Hillsborough County, Florida",1040.0,345.0,550.0,4.0,0.0,7.0,122.0,"Tampa city, Florida",False,20.629,-25.357,0.172,0.0,3.014,0.673,+27.9605810,-082.4246769
12057003900,"Census Tract 39, Hillsborough County, Florida",2193.0,858.0,700.0,0.0,25.0,0.0,567.0,"Tampa city, Florida",True,31.473,-38.02,-0.12,1.14,4.048,0.0,+27.9604830,-082.4429907
12057004000,"Census Tract 40, Hillsborough County, Florida",923.0,234.0,435.0,12.0,0.0,0.0,242.0,"Tampa city, Florida",False,22.918,-41.85,0.962,-2.569,20.539,0.0,+27.9573648,-082.4533250
12057004100,"Census Tract 41, Hillsborough County, Florida",1543.0,334.0,720.0,0.0,25.0,0.0,458.0,"Tampa city, Florida",False,4.895,-15.074,-0.34,1.28,9.275,0.0,+27.9624597,-082.4563061
12057004200,"Census Tract 42, Hillsborough County, Florida",1396.0,475.0,565.0,0.0,0.0,0.0,289.0,"Tampa city, Florida",False,11.281,-19.658,-0.654,-0.327,4.624,0.0,+27.9628570,-082.4652534
12057004300,"Census Tract 43, Hillsborough County, Florida",1154.0,110.0,636.0,0.0,0.0,0.0,408.0,"Tampa city, Florida",False,8.059,-25.811,-0.368,-1.539,19.86,0.0,+27.9602984,-082.4711251
12057004400,"Census Tract 44, Hillsborough County, Florida",2094.0,254.0,966.0,7.0,0.0,0.0,827.0,"Tampa city, Florida",False,8.99,-30.25,-0.02,-0.221,19.636,0.0,+27.9614081,-082.4807917
12057004500,"Census Tract 45, Hillsborough County, Florida",3914.0,282.0,803.0,53.0,13.0,0.0,2736.0,"Tampa city, Florida",False,-6.927,4.667,1.231,-1.165,1.944,0.0,+27.9614833,-082.4931798
12057004600,"Census Tract 46, Hillsborough County, Florida",5199.0,1905.0,1663.0,0.0,434.0,0.0,988.0,"Tampa city, Florida",True,25.389,-37.167,-0.2,6.034,2.563,0.0,+27.9550924,-082.5263135
12057004700,"Census Tract 47, Hillsborough County, Florida",2605.0,1233.0,188.0,0.0,59.0,36.0,1081.0,"Tampa city, Florida",False,-6.48,-2.312,-0.598,-0.5,8.874,1.233,+27.9480885,-082.5170390
12057004800,"Census Tract 48, Hillsborough County, Florida",3974.0,1359.0,306.0,0.0,92.0,0.0,2139.0,"Tampa city, Florida",False,-1.012,-7.021,-0.512,0.152,6.965,0.0,+27.9503088,-082.4948314
12057004900,"Census Tract 49, Hillsborough County, Florida",4900.0,2832.0,994.0,0.0,196.0,0.0,752.0,"Tampa city, Florida",False,13.788,-21.104,-0.175,2.487,3.043,0.0,+27.9465907,-082.4805137
12057005000,"Census Tract 50, Hillsborough County, Florida",6476.0,3745.0,1248.0,0.0,168.0,0.0,1111.0,"Tampa city, Florida",True,18.036,-31.734,-0.408,0.835,10.466,-0.628,+27.9479042,-082.4706974
12057005101,"Census Tract 51.01, Hillsborough County, Florida",1951.0,1273.0,173.0,0.0,56.0,0.0,404.0,"Tampa city, Florida",False,18.281,-13.559,-0.423,0.613,-7.22,-0.987,+27.9484920,-082.4568348
12057005102,"Census Tract 51.02, Hillsborough County, Florida",4025.0,3147.0,143.0,0.0,248.0,0.0,413.0,"Tampa city, Florida",False,-10.417,2.033,-0.409,3.706,3.832,0.0,+27.9336935,-082.4484335
12057005301,"Census Tract 53.01, Hillsborough County, Florida",3668.0,2530.0,240.0,0.0,216.0,0.0,520.0,"Tampa city, Florida",False,61.324,-63.397,-0.12,5.889,-7.63,0.0,+27.9496228,-082.4461325
12057005302,"Census Tract 53.02, Hillsborough County, Florida",1891.0,464.0,130.0,0.0,0.0,0.0,1266.0,"Tampa city, Florida",False,-1.882,0.702,-1.135,-0.409,1.493,0.0,+27.9233761,-082.4369068
12057005401,"Census Tract 54.01, Hillsborough County, Florida",5452.0,4551.0,17.0,0.0,174.0,0.0,667.0,"Tampa city, Florida",False,-4.017,-0.902,-0.423,0.689,4.103,0.0,+27.9215781,-082.4558733
12057005500,"Census Tract 55, Hillsborough County, Florida",2851.0,2063.0,162.0,0.0,173.0,0.0,423.0,"Tampa city, Florida",False,-9.259,1.143,-0.375,3.205,4.858,0.0,+27.9401470,-082.4679013
12057005700,"Census Tract 57, Hillsborough County, Florida",4083.0,3055.0,96.0,52.0,106.0,0.0,740.0,"Tampa city, Florida",False,6.504,-7.957,0.658,0.297,0.588,0.0,+27.9409044,-082.4957989
12057005800,"Census Tract 58, Hillsborough County, Florida",5082.0,3718.0,32.0,12.0,307.0,0.0,897.0,"Tampa city, Florida",False,-9.691,-1.344,-0.338,3.125,6.402,0.0,+27.9337097,-082.5119638
12057005900,"Census Tract 59, Hillsborough County, Florida",6465.0,5075.0,0.0,0.0,284.0,0.0,1005.0,"Tampa city, Florida",False,-10.95,-0.799,-0.436,2.868,7.937,0.0,+27.9320417,-082.5307263
