GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
04019000100,"Census Tract 1, Pima County, Arizona",896.0,572.0,23.0,64.0,17.0,0.0,213.0,"Tucson city, Arizona",False,-0.624,-4.375,4.333,0.409,0.136,0.0,+32.2208655,-110.9710287
04019000200,"Census Tract 2, Pima County, Arizona",4751.0,1158.0,43.0,210.0,127.0,0.0,3236.0,"Tucson city, Arizona",False,3.628,-2.316,-0.178,1.02,-1.225,-0.254,+32.2246886,-110.9871294
04019000300,"Census Tract 3, Pima County, Arizona",1432.0,594.0,74.0,0.0,115.0,0.0,582.0,"Tucson city, Arizona",False,2.897,-1.641,-2.751,6.518,-8.808,0.0,+32.2323100,-110.9771941
04019000400,"Census Tract 4, Pima County, Arizona",3149.0,2182.0,98.0,31.0,115.0,0.0,641.0,"Tucson city, Arizona",False,-0.977,0.758,-0.936,-2.635,2.208,-0.062,+32.2308642,-110.9662498
04019000500,"Census Tract 5, Pima County, Arizona",12176.0,6935.0,726.0,351.0,924.0,39.0,2717.0,"Tucson city, Arizona",False,-16.162,2.682,1.112,-2.475,11.143,0.3,+32.2300551,-110.9526249
04019000600,"Census Tract 6, Pima County, Arizona",5248.0,3688.0,197.0,8.0,203.0,0.0,1072.0,"Tucson city, Arizona",False,-12.219,2.359,-0.899,-0.702,10.708,-0.043,+32.2337244,-110.9360708
04019000700,"Census Tract 7, Pima County, Arizona",5493.0,2561.0,80.0,116.0,200.0,0.0,2377.0,"Tucson city, Arizona",True,-0.02,-2.115,0.18,0.675,-0.911,-0.039,+32.2161545,-110.9386269
04019000800,"Census Tract 8, Pima County, Arizona",1705.0,738.0,45.0,171.0,13.0,0.0,726.0,"Tucson city, Arizona",True,9.396,-4.352,7.499,-3.632,-8.95,0.0,+32.2121452,-110.9563600
04019000900,"Census Tract 9, Pima County, Arizona",2589.0,1141.0,65.0,33.0,0.0,0.0,1309.0,"Tucson city, Arizona",False,12.076,-0.927,-1.993,-1.157,-9.277,0.0,+32.2107031,-110.9692003
04019001000,"Census Tract 10, Pima County, Arizona",1165.0,385.0,72.0,99.0,37.0,0.0,594.0,"Tucson city, Arizona",False,8.849,4.285,2.813,2.156,-15.34,0.0,+32.2129037,-110.9771935
04019001100,"Census Tract 11, Pima County, Arizona",2892.0,284.0,74.0,291.0,5.0,0.0,2346.0,"Tucson city, Arizona",False,4.844,1.95,7.455,-0.538,-9.808,0.0,+32.2325808,-110.9927473
04019001200,"Census Tract 12, Pima County, Arizona",3934.0,532.0,187.0,626.0,71.0,0.0,2684.0,"Tucson city, Arizona",False,-0.949,-0.098,3.919,1.005,0.689,-0.053,+32.2430038,-110.9956637
04019001302,"Census Tract 13.02, Pima County, Arizona",1758.0,511.0,69.0,304.0,132.0,0.0,812.0,"Tucson city, Arizona",False,-7.28,-4.173,13.667,4.59,-2.399,-0.047,+32.2444096,-110.9754512
04019001303,"Census Tract 13.03, Pima County, Arizona",2709.0,774.0,93.0,226.0,39.0,0.0,1545.0,"Tucson city, Arizona",False,-11.817,-0.332,5.272,-3.948,10.303,-0.082,+32.2556507,-110.9822535
04019001304,"Census Tract 13.04, Pima County, Arizona",5474.0,1770.0,212.0,269.0,275.0,0.0,2853.0,"Tucson city, Arizona",False,-8.053,0.108,1.843,-0.364,5.39,-0.082,+32.2558835,-110.9708547
04019001400,"Census Tract 14, Pima County, Arizona",6410.0,4015.0,237.0,337.0,444.0,0.0,1281.0,"Tucson city, Arizona",True,9.738,-8.228,3.286,-2.872,-2.919,-0.097,+32.2466805,-110.9620427
04019001500,"Census Tract 15, Pima County, Arizona",5309.0,3677.0,74.0,60.0,375.0,47.0,993.0,"Tucson city, Arizona",False,-3.111,-1.325,-1.209,-0.587,4.352,0.864,+32.2473214,-110.9509911
04019001600,"Census Tract 16, Pima County, Arizona",3446.0,2663.0,37.0,10.0,19.0,0.0,697.0,"Tucson city, Arizona",False,-4.466,-0.928,-0.895,-2.426,8.74,0.0,+32.2481593,-110.9383630
04019001700,"Census Tract 17, Pima County, Arizona",2807.0,1830.0,119.0,73.0,117.0,0.0,544.0,"Tucson city, Arizona",False,-14.786,0.985,1.273,2.375,5.967,-0.066,+32.2641319,-110.9313541
04019001801,"Census Tract 18.01, Pima County, Arizona",4755.0,2476.0,221.0,24.0,38.0,356.0,1604.0,"Tucson city, Arizona",False,-15.577,-0.167,-1.627,-3.803,13.169,7.462,+32.2492877,-110.9209011
04019001802,"Census Tract 18.02, Pima County, Arizona",2245.0,1480.0,57.0,67.0,83.0,0.0,574.0,"Tucson city, Arizona",False,-1.725,-2.276,0.852,-0.905,5.004,-0.025,+32.2382255,-110.9212062
04019001900,"Census Tract 19, Pima County, Arizona",3648.0,2710.0,2.0,29.0,285.0,0.0,522.0,"Tucson city, Arizona",False,-4.377,-1.329,-0.074,3.252,0.384,-0.027,+32.2202429,-110.9204630
04019002000,"Census Tract 20, Pima County, Arizona",6333.0,1749.0,771.0,82.0,0.0,0.0,3654.0,"Tucson city, Arizona",False,-3.8,8.651,-0.912,-1.785,-2.908,-0.185,+32.2008452,-110.9255985
04019002100,"Census Tract 21, Pima County, Arizona",6106.0,641.0,408.0,360.0,63.0,0.0,4803.0,"Tucson city, Arizona",False,-2.837,-5.582,4.071,-0.703,8.016,-0.015,+32.1865119,-110.9279680
04019002201,"Census Tract 22.01, Pima County, Arizona",3562.0,567.0,109.0,361.0,59.0,0.0,2639.0,"Tucson city, Arizona",False,4.905,-5.918,7.902,0.708,-2.342,-0.015,+32.1727642,-110.9531268
04019002202,"Census Tract 22.02, Pima County, Arizona",3213.0,301.0,200.0,287.0,208.0,0.0,2191.0,"Tucson city, Arizona",False,-1.645,-2.753,6.699,5.526,-8.238,-0.015,+32.1927418,-110.9519364
04019002400,"Census Tract 24, Pima County, Arizona",5565.0,437.0,73.0,259.0,85.0,0.0,4683.0,"Tucson city, Arizona",False,-0.342,0.41,1.208,1.087,-2.637,0.0,+32.1780324,-110.9687003
04019002501,"Census Tract 25.01, Pima County, Arizona",5993.0,948.0,253.0,749.0,43.0,0.0,4360.0,"Tucson city, Arizona",False,-7.48,-1.198,9.033,0.06,5.718,-0.107,+32.1897906,-110.9843394
04019002503,"Census Tract 25.03, Pima County, Arizona",4323.0,705.0,39.0,63.0,9.0,0.0,3546.0,"Tucson city, Arizona",False,-17.805,-1.463,-2.166,-0.673,23.133,0.0,+32.1877205,-110.9946412
04019002504,"Census Tract 25.04, Pima County, Arizona",5945.0,1232.0,65.0,197.0,28.0,0.0,4451.0,"Tucson city, Arizona",False,-21.487,-1.195,0.858,-0.251,22.763,0.0,+32.1698818,-110.9985872
04019002505,"Census Tract 25.05, Pima County, Arizona",6608.0,835.0,172.0,743.0,0.0,0.0,5145.0,"Tucson city, Arizona",False,-9.47,-1.481,8.723,-1.509,8.631,-0.036,+32.1554437,-111.0001052
04019002506,"Census Tract 25.06, Pima County, Arizona",8274.0,1009.0,133.0,341.0,65.0,0.0,6890.0,"Tucson city, Arizona",False,-18.198,-2.514,1.856,-0.763,21.993,0.0,+32.1337396,-111.0022850
04019002602,"Census Tract 26.02, Pima County, Arizona",4703.0,2348.0,190.0,184.0,373.0,124.0,1502.0,"Tucson city, Arizona",False,-8.468,-0.152,0.39,3.646,3.374,2.562,+32.2692028,-110.9582158
04019002603,"Census Tract 26.03, Pima County, Arizona",3451.0,976.0,407.0,199.0,93.0,38.0,1741.0,"Tucson city, Arizona",False,-14.636,5.225,1.677,-0.81,8.186,1.044,+32.2639168,-110.9670778
04019002604,"Census Tract 26.04, Pima County, Arizona",3537.0,1077.0,150.0,315.0,161.0,0.0,1798.0,"Tucson city, Arizona",False,-12.468,-2.328,4.817,1.047,8.571,-0.057,+32.2691453,-110.9766651
04019002702,"Census Tract 27.02, Pima County, Arizona",4530.0,3391.0,158.0,71.0,95.0,0.0,664.0,"Tucson city, Arizona",False,0.855,0.069,-0.562,-2.12,-0.736,-0.061,+32.2722880,-110.9366015
04019002703,"Census Tract 27.03, Pima County, Arizona",3944.0,2096.0,93.0,69.0,157.0,39.0,1321.0,"Tucson city, Arizona",False,-16.781,-1.327,-0.912,1.098,13.126,0.887,+32.2641229,-110.9493710
04019002704,"Census Tract 27.04, Pima County, Arizona",2174.0,1099.0,33.0,16.0,75.0,0.0,933.0,"Tucson city, Arizona",False,,,,,,,+32.2792400,-110.9482516
04019002801,"Census Tract 28.01, Pima County, Arizona",2032.0,965.0,140.0,0.0,43.0,0.0,771.0,"Tucson city, Arizona",False,-16.389,2.864,-2.4,-1.059,12.159,-0.039,+32.2682506,-110.9184398
04019002802,"Census Tract 28.02, Pima County, Arizona",4020.0,2055.0,240.0,232.0,225.0,0.0,1217.0,"Tucson city, Arizona",False,-11.635,0.632,3.428,3.592,3.293,0.0,+32.2614084,-110.9182965
04019002803,"Census Tract 28.03, Pima County, Arizona",2322.0,1363.0,139.0,2.0,31.0,0.0,678.0,"Tucson city, Arizona",False,-13.705,2.986,-2.36,-0.142,8.618,0.0,+32.2561090,-110.9206905
04019002901,"Census Tract 29.01, Pima County, Arizona",6327.0,3603.0,607.0,339.0,78.0,0.0,1601.0,"Tucson city, Arizona",False,-13.064,5.05,3.709,-1.207,4.503,-0.017,+32.2506628,-110.9011702
04019002904,"Census Tract 29.04, Pima County, Arizona",3213.0,2338.0,128.0,19.0,60.0,0.0,600.0,"Tucson city, Arizona",False,-10.2,1.783,-0.352,0.095,6.813,0.0,+32.2535518,-110.8839838
04019002905,"Census Tract 29.05, Pima County, Arizona",3786.0,2583.0,186.0,0.0,138.0,39.0,747.0,"Tucson city, Arizona",False,0.365,0.387,-1.942,-3.752,2.318,0.996,+32.2647271,-110.9033842
04019002906,"Census Tract 29.06, Pima County, Arizona",2547.0,1684.0,78.0,20.0,104.0,0.0,529.0,"Tucson city, Arizona",False,,,,,,,+32.2678701,-110.8903020
04019003002,"Census Tract 30.02, Pima County, Arizona",4855.0,3174.0,26.0,45.0,84.0,0.0,1416.0,"Tucson city, Arizona",False,-9.054,-2.94,0.058,-0.942,10.939,-0.043,+32.2361705,-110.8666888
04019003003,"Census Tract 30.03, Pima County, Arizona",4339.0,2333.0,560.0,24.0,231.0,0.0,1173.0,"Tucson city, Arizona",False,-21.181,8.44,-0.73,2.204,11.547,-0.016,+32.2471612,-110.8661956
04019003004,"Census Tract 30.04, Pima County, Arizona",1618.0,1132.0,48.0,38.0,104.0,0.0,267.0,"Tucson city, Arizona",False,-4.986,-1.499,1.066,3.308,1.015,-0.016,+32.2568440,-110.8685444
04019003101,"Census Tract 31.01, Pima County, Arizona",5424.0,2923.0,544.0,189.0,56.0,0.0,1696.0,"Tucson city, Arizona",False,-8.752,4.985,1.051,-1.386,4.687,-0.048,+32.2387686,-110.9040523
04019003102,"Census Tract 31.02, Pima County, Arizona",3728.0,1961.0,232.0,24.0,84.0,0.0,1225.0,"Tucson city, Arizona",False,-18.486,1.605,-1.049,-0.312,13.285,-0.026,+32.2373117,-110.8828890
04019003200,"Census Tract 32, Pima County, Arizona",5604.0,3401.0,482.0,43.0,194.0,0.0,1235.0,"Tucson city, Arizona",False,-11.336,5.285,-0.826,-0.179,3.036,-0.098,+32.2295599,-110.9002417
04019003302,"Census Tract 33.02, Pima County, Arizona",4138.0,2509.0,154.0,134.0,106.0,10.0,1183.0,"Tucson city, Arizona",False,-16.262,0.627,2.23,0.499,12.154,0.17,+32.2137822,-110.8494662
04019003303,"Census Tract 33.03, Pima County, Arizona",3805.0,2188.0,97.0,243.0,103.0,11.0,1257.0,"Tucson city, Arizona",False,-12.548,-1.591,4.916,-1.514,13.469,0.181,+32.2206105,-110.8666444
04019003304,"Census Tract 33.04, Pima County, Arizona",3196.0,1742.0,302.0,41.0,209.0,0.0,908.0,"Tucson city, Arizona",False,-15.545,5.309,-0.187,2.318,8.845,-0.108,+32.2228661,-110.8821858
04019003400,"Census Tract 34, Pima County, Arizona",6055.0,3101.0,113.0,157.0,271.0,0.0,2376.0,"Tucson city, Arizona",False,-16.913,-0.098,1.032,2.009,13.745,0.0,+32.2162346,-110.8976598
04019003501,"Census Tract 35.01, Pima County, Arizona",7761.0,2144.0,813.0,315.0,174.0,0.0,4240.0,"Tucson city, Arizona",False,-12.637,3.051,2.029,-1.006,8.129,-0.058,+32.2030056,-110.8968812
04019003502,"Census Tract 35.02, Pima County, Arizona",4115.0,2054.0,117.0,99.0,305.0,0.0,1439.0,"Tucson city, Arizona",False,-5.543,-2.23,0.48,5.272,0.317,-0.021,+32.2087025,-110.8755984
04019003503,"Census Tract 35.03, Pima County, Arizona",4288.0,1665.0,420.0,110.0,67.0,0.0,1925.0,"Tucson city, Arizona",False,-11.518,2.872,0.612,-2.084,8.174,-0.043,+32.1992251,-110.8726032
04019003504,"Census Tract 35.04, Pima County, Arizona",2869.0,1251.0,269.0,51.0,69.0,0.0,1195.0,"Tucson city, Arizona",False,-20.792,3.231,0.619,-1.808,17.846,-0.07,+32.1995907,-110.8622294
04019003600,"Census Tract 36, Pima County, Arizona",5557.0,2878.0,397.0,262.0,239.0,75.0,1280.0,"Tucson city, Arizona",False,-6.617,-7.512,3.352,-0.874,3.623,1.133,+32.1612127,-110.8488608
04019003702,"Census Tract 37.02, Pima County, Arizona",6997.0,290.0,95.0,1176.0,100.0,0.0,6034.0,"Tucson city, Arizona",False,-10.375,-0.008,14.554,1.037,4.972,-0.131,+32.1409816,-110.9583137
04019003704,"Census Tract 37.04, Pima County, Arizona",5001.0,120.0,36.0,976.0,121.0,0.0,4445.0,"Tucson city, Arizona",False,-5.569,-1.644,14.968,1.947,4.438,0.0,+32.1412708,-110.9728113
