GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
40113940005,"Census Tract 9400.05, Osage County, Oklahoma",4538.0,3064.0,458.0,334.0,114.0,0.0,111.0,"Tulsa city, Oklahoma",False,-8.746,2.715,-5.537,1.969,-0.356,0.0,+36.2250441,-096.0517330
40113940006,"Census Tract 9400.06, Osage County, Oklahoma",5345.0,505.0,4050.0,184.0,0.0,0.0,281.0,"Tulsa city, Oklahoma",False,-8.011,-0.087,-0.465,-0.264,2.879,0.0,+36.1746627,-096.0147038
40131050405,"Census Tract 504.05, Rogers County, Oklahoma",4159.0,3478.0,33.0,145.0,182.0,0.0,182.0,"Tulsa city, Oklahoma",False,-2.589,0.527,-7.019,3.445,3.179,0.0,+36.2788017,-095.7357640
40131050406,"Census Tract 504.06, Rogers County, Oklahoma",3158.0,2520.0,2.0,189.0,17.0,0.0,106.0,"Tulsa city, Oklahoma",False,-11.791,-0.36,0.346,-0.214,1.853,0.0,+36.2570748,-095.7845040
40131050407,"Census Tract 504.07, Rogers County, Oklahoma",2285.0,1523.0,51.0,225.0,107.0,0.0,205.0,"Tulsa city, Oklahoma",False,-14.052,1.508,-4.721,4.201,5.836,0.0,+36.1963194,-095.7858144
40131050408,"Census Tract 504.08, Rogers County, Oklahoma",3006.0,2118.0,48.0,453.0,9.0,0.0,68.0,"Tulsa city, Oklahoma",False,-6.267,1.119,-4.73,-0.265,-0.083,0.0,+36.2135520,-095.7390255
40143000100,"Census Tract 1, Tulsa County, Oklahoma",2043.0,929.0,234.0,81.0,10.0,0.0,576.0,"Tulsa city, Oklahoma",False,-22.446,2.305,-11.536,-0.35,21.842,-0.04,+36.1880925,-095.9144855
40143000200,"Census Tract 2, Tulsa County, Oklahoma",1351.0,148.0,985.0,8.0,24.0,0.0,130.0,"Tulsa city, Oklahoma",False,6.785,-16.975,-1.107,1.235,5.916,0.0,+36.1956021,-095.9490655
40143000300,"Census Tract 3, Tulsa County, Oklahoma",4089.0,935.0,1279.0,129.0,0.0,11.0,1291.0,"Tulsa city, Oklahoma",False,-12.027,-15.236,-4.83,-0.402,21.533,0.269,+36.1843553,-095.9313948
40143000400,"Census Tract 4, Tulsa County, Oklahoma",4232.0,1194.0,625.0,305.0,1.0,0.0,1859.0,"Tulsa city, Oklahoma",False,-22.507,-7.08,-6.355,-0.259,30.52,0.0,+36.1842953,-095.9491942
40143000500,"Census Tract 5, Tulsa County, Oklahoma",2213.0,126.0,1636.0,83.0,4.0,0.0,135.0,"Tulsa city, Oklahoma",False,4.048,-19.529,2.297,0.028,2.962,0.0,+36.1860193,-095.9688114
40143000600,"Census Tract 6, Tulsa County, Oklahoma",1600.0,305.0,892.0,36.0,0.0,0.0,79.0,"Tulsa city, Oklahoma",False,17.606,-40.156,0.723,-0.171,4.337,0.0,+36.1838300,-095.9804131
40143000700,"Census Tract 7, Tulsa County, Oklahoma",1561.0,86.0,1152.0,16.0,0.0,0.0,95.0,"Tulsa city, Oklahoma",False,2.97,-21.799,0.63,-0.226,4.901,0.0,+36.1845047,-095.9891605
40143000800,"Census Tract 8, Tulsa County, Oklahoma",1360.0,199.0,928.0,17.0,0.0,0.0,80.0,"Tulsa city, Oklahoma",False,4.913,-19.617,-0.093,-0.128,4.987,0.0,+36.1842882,-095.9973920
40143000900,"Census Tract 9, Tulsa County, Oklahoma",1556.0,550.0,698.0,113.0,0.0,67.0,49.0,"Tulsa city, Oklahoma",True,16.856,-27.72,2.168,-0.252,-0.059,4.306,+36.1691227,-095.9973811
40143001000,"Census Tract 10, Tulsa County, Oklahoma",1428.0,178.0,1080.0,49.0,8.0,0.0,12.0,"Tulsa city, Oklahoma",False,7.78,-15.936,0.486,0.493,0.171,0.0,+36.1695096,-095.9886796
40143001200,"Census Tract 12, Tulsa County, Oklahoma",1782.0,376.0,152.0,59.0,0.0,0.0,1078.0,"Tulsa city, Oklahoma",False,-19.137,-3.877,-5.191,-0.395,23.124,-0.247,+36.1686285,-095.9752282
40143001300,"Census Tract 13, Tulsa County, Oklahoma",1981.0,630.0,160.0,178.0,0.0,0.0,892.0,"Tulsa city, Oklahoma",False,-19.08,-3.174,-3.19,-0.252,19.671,0.0,+36.1727539,-095.9624260
40143001400,"Census Tract 14, Tulsa County, Oklahoma",5139.0,1406.0,664.0,330.0,40.0,0.0,2304.0,"Tulsa city, Oklahoma",False,-23.527,-2.61,-5.871,0.17,24.616,0.0,+36.1689713,-095.9492494
40143001500,"Census Tract 15, Tulsa County, Oklahoma",3692.0,1695.0,420.0,188.0,33.0,0.0,821.0,"Tulsa city, Oklahoma",False,-22.575,3.603,-7.464,0.545,11.848,-0.075,+36.1689367,-095.9314123
40143001600,"Census Tract 16, Tulsa County, Oklahoma",5167.0,1849.0,594.0,305.0,0.0,0.0,2002.0,"Tulsa city, Oklahoma",False,-31.579,2.056,-7.489,-0.748,29.901,0.0,+36.1689222,-095.9135392
40143001700,"Census Tract 17, Tulsa County, Oklahoma",2446.0,1527.0,263.0,169.0,71.0,0.0,342.0,"Tulsa city, Oklahoma",False,-18.088,6.253,-2.011,2.003,8.857,0.0,+36.1543151,-095.9135539
40143001800,"Census Tract 18, Tulsa County, Oklahoma",1989.0,1145.0,64.0,121.0,0.0,0.0,472.0,"Tulsa city, Oklahoma",False,-21.421,-1.792,-5.113,-0.409,19.692,0.0,+36.1542699,-095.9269671
40143001900,"Census Tract 19, Tulsa County, Oklahoma",1575.0,1147.0,22.0,131.0,18.0,0.0,137.0,"Tulsa city, Oklahoma",False,5.894,-4.889,-3.358,-1.762,-3.241,0.0,+36.1542856,-095.9358864
40143002000,"Census Tract 20, Tulsa County, Oklahoma",1662.0,945.0,47.0,57.0,158.0,0.0,383.0,"Tulsa city, Oklahoma",True,-13.136,-7.54,-3.928,6.163,14.349,0.0,+36.1577642,-095.9492363
40143002100,"Census Tract 21, Tulsa County, Oklahoma",2485.0,1442.0,346.0,38.0,245.0,0.0,272.0,"Tulsa city, Oklahoma",False,11.606,2.472,-4.528,5.839,-20.522,-0.026,+36.1512727,-095.9493056
40143002301,"Census Tract 23.01, Tulsa County, Oklahoma",2329.0,1125.0,169.0,197.0,7.0,0.0,603.0,"Tulsa city, Oklahoma",False,-5.952,-6.013,-5.416,-0.396,8.563,-0.03,+36.1538373,-095.9690956
40143002500,"Census Tract 25, Tulsa County, Oklahoma",3625.0,2136.0,669.0,208.0,151.0,0.0,306.0,"Tulsa city, Oklahoma",True,1.565,-9.269,-3.674,3.225,4.248,-0.057,+36.1524544,-095.9907295
40143002700,"Census Tract 27, Tulsa County, Oklahoma",2965.0,1713.0,361.0,221.0,0.0,0.0,475.0,"Tulsa city, Oklahoma",False,-5.015,2.612,-6.839,-0.613,3.57,0.0,+36.1543853,-096.0186105
40143002900,"Census Tract 29, Tulsa County, Oklahoma",2767.0,2038.0,94.0,112.0,0.0,0.0,180.0,"Tulsa city, Oklahoma",False,-7.377,0.683,-8.849,-0.385,3.743,-0.041,+36.1546849,-096.0625414
40143003000,"Census Tract 30, Tulsa County, Oklahoma",1861.0,1096.0,70.0,154.0,0.0,4.0,287.0,"Tulsa city, Oklahoma",False,-17.947,0.619,-6.806,-0.628,11.293,0.08,+36.1490655,-096.0380276
