GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
51810040000,"Census Tract 400, Virginia Beach city, Virginia",3372.0,1854.0,426.0,9.0,93.0,13.0,797.0,"Virginia Beach city, Virginia",False,-4.078,-14.964,-0.895,-0.654,15.195,0.335,+36.9153965,-076.1630264
51810040200,"Census Tract 402, Virginia Beach city, Virginia",5456.0,1461.0,2100.0,0.0,264.0,0.0,1492.0,"Virginia Beach city, Virginia",False,-3.785,-22.738,-0.547,2.271,22.421,-0.021,+36.8853799,-076.1872753
51810040402,"Census Tract 404.02, Virginia Beach city, Virginia",7578.0,1669.0,4045.0,3.0,453.0,0.0,1310.0,"Virginia Beach city, Virginia",False,-5.481,-9.635,-0.554,2.716,11.951,-0.029,+36.8667175,-076.1693260
51810040403,"Census Tract 404.03, Virginia Beach city, Virginia",3715.0,1955.0,787.0,0.0,297.0,12.0,360.0,"Virginia Beach city, Virginia",True,-10.184,-3.351,-0.678,0.562,5.371,0.323,+36.8975681,-076.1711589
51810040404,"Census Tract 404.04, Virginia Beach city, Virginia",7977.0,5067.0,1201.0,12.0,715.0,0.0,630.0,"Virginia Beach city, Virginia",False,-7.068,-0.343,-0.168,-1.303,4.901,0.0,+36.8802174,-076.1630300
51810040600,"Census Tract 406, Virginia Beach city, Virginia",7143.0,2506.0,3118.0,0.0,319.0,0.0,793.0,"Virginia Beach city, Virginia",False,1.279,-13.018,-0.902,1.353,5.896,0.0,+36.8524992,-076.1661151
51810040801,"Census Tract 408.01, Virginia Beach city, Virginia",4144.0,2655.0,943.0,43.0,90.0,0.0,377.0,"Virginia Beach city, Virginia",False,-6.484,3.277,0.169,-1.555,4.136,-0.046,+36.8665601,-076.1396442
51810040802,"Census Tract 408.02, Virginia Beach city, Virginia",4609.0,2404.0,1037.0,0.0,352.0,0.0,595.0,"Virginia Beach city, Virginia",False,-7.407,-7.414,-0.791,2.605,8.547,0.0,+36.8572233,-076.1570110
51810041002,"Census Tract 410.02, Virginia Beach city, Virginia",2161.0,1251.0,234.0,17.0,228.0,0.0,403.0,"Virginia Beach city, Virginia",False,-19.398,-2.543,0.123,6.331,14.571,0.0,+36.8396319,-076.1473145
51810041003,"Census Tract 410.03, Virginia Beach city, Virginia",3351.0,2249.0,643.0,6.0,55.0,0.0,269.0,"Virginia Beach city, Virginia",False,-10.757,4.794,-0.414,-1.755,4.604,0.0,+36.8525795,-076.1337231
51810041004,"Census Tract 410.04, Virginia Beach city, Virginia",4119.0,2384.0,715.0,64.0,322.0,22.0,425.0,"Virginia Beach city, Virginia",False,-8.83,-4.918,0.769,2.616,5.73,0.509,+36.8487195,-076.1462805
51810041200,"Census Tract 412, Virginia Beach city, Virginia",5980.0,5269.0,386.0,0.0,80.0,0.0,184.0,"Virginia Beach city, Virginia",False,1.081,-0.292,-0.649,-1.481,0.606,0.0,+36.8896844,-076.1487529
51810041400,"Census Tract 414, Virginia Beach city, Virginia",5462.0,4441.0,397.0,28.0,303.0,0.0,144.0,"Virginia Beach city, Virginia",False,-0.941,-1.158,-0.071,0.503,-0.439,0.0,+36.8961042,-076.1165703
51810041600,"Census Tract 416, Virginia Beach city, Virginia",3490.0,2846.0,138.0,0.0,323.0,0.0,109.0,"Virginia Beach city, Virginia",False,-4.821,-0.562,-0.714,2.996,1.122,-0.029,+36.8684322,-076.1195567
51810041801,"Census Tract 418.01, Virginia Beach city, Virginia",4579.0,3272.0,308.0,0.0,316.0,0.0,319.0,"Virginia Beach city, Virginia",False,0.318,-10.369,-1.108,3.515,0.3,0.0,+36.9113691,-076.1352686
51810041802,"Census Tract 418.02, Virginia Beach city, Virginia",5189.0,4630.0,134.0,0.0,52.0,0.0,203.0,"Virginia Beach city, Virginia",False,-3.928,0.306,-0.801,-0.818,2.183,-0.018,+36.9111149,-076.1122809
51810042000,"Census Tract 420, Virginia Beach city, Virginia",3473.0,3159.0,12.0,0.0,86.0,0.0,102.0,"Virginia Beach city, Virginia",False,-2.421,-1.776,-0.17,-0.636,1.777,0.0,+36.8811571,-076.0856813
51810042201,"Census Tract 422.01, Virginia Beach city, Virginia",3668.0,2983.0,217.0,0.0,133.0,0.0,202.0,"Virginia Beach city, Virginia",False,-10.57,3.101,-0.313,1.463,2.849,0.0,+36.8620354,-076.0998748
51810042202,"Census Tract 422.02, Virginia Beach city, Virginia",4376.0,3648.0,185.0,19.0,146.0,13.0,144.0,"Virginia Beach city, Virginia",False,-8.329,0.729,-0.04,1.688,0.876,0.297,+36.8539215,-076.0792991
51810042400,"Census Tract 424, Virginia Beach city, Virginia",4717.0,3500.0,488.0,0.0,172.0,0.0,424.0,"Virginia Beach city, Virginia",False,-4.482,-3.292,-0.662,0.664,5.299,-0.019,+36.8471357,-076.1003870
51810042600,"Census Tract 426, Virginia Beach city, Virginia",2843.0,1912.0,578.0,32.0,57.0,0.0,165.0,"Virginia Beach city, Virginia",False,-13.38,8.597,0.192,-0.878,2.394,0.0,+36.8403153,-076.0760405
51810042801,"Census Tract 428.01, Virginia Beach city, Virginia",5898.0,3322.0,1072.0,0.0,351.0,0.0,899.0,"Virginia Beach city, Virginia",False,-15.267,-1.653,-0.889,2.74,11.042,-0.049,+36.8266826,-076.0879245
51810042802,"Census Tract 428.02, Virginia Beach city, Virginia",4459.0,1976.0,1327.0,0.0,239.0,0.0,639.0,"Virginia Beach city, Virginia",False,-14.727,0.75,-1.001,0.546,8.751,0.0,+36.8313907,-076.0776850
51810043002,"Census Tract 430.02, Virginia Beach city, Virginia",4064.0,3490.0,7.0,0.0,225.0,37.0,72.0,"Virginia Beach city, Virginia",False,-6.366,-2.398,-0.489,2.697,0.034,0.91,+36.8918736,-076.0617545
51810043003,"Census Tract 430.03, Virginia Beach city, Virginia",5009.0,4697.0,21.0,0.0,180.0,0.0,32.0,"Virginia Beach city, Virginia",False,-0.701,-0.492,-0.337,1.298,-1.008,-0.012,+36.9075853,-076.0777218
51810043004,"Census Tract 430.04, Virginia Beach city, Virginia",3569.0,3073.0,6.0,10.0,85.0,0.0,248.0,"Virginia Beach city, Virginia",False,-8.369,-0.743,-0.057,0.086,5.302,-0.012,+36.9073816,-076.0530678
51810043200,"Census Tract 432, Virginia Beach city, Virginia",1452.0,1050.0,203.0,0.0,18.0,0.0,111.0,"Virginia Beach city, Virginia",False,32.219,-29.621,-0.853,-0.751,-5.53,0.0,+36.9045704,-076.0172855
51810043400,"Census Tract 434, Virginia Beach city, Virginia",2242.0,2119.0,0.0,0.0,38.0,0.0,15.0,"Virginia Beach city, Virginia",False,-2.197,-0.32,-0.32,0.325,-0.427,0.0,+36.9017705,-075.9912773
51810043600,"Census Tract 436, Virginia Beach city, Virginia",1811.0,1738.0,4.0,0.0,6.0,0.0,29.0,"Virginia Beach city, Virginia",False,0.342,-0.354,-0.806,-1.107,0.278,0.0,+36.8826119,-075.9901227
51810043800,"Census Tract 438, Virginia Beach city, Virginia",4019.0,3649.0,114.0,11.0,34.0,0.0,77.0,"Virginia Beach city, Virginia",False,-6.402,1.902,0.118,0.119,1.059,-0.026,+36.8724968,-075.9943668
51810044001,"Census Tract 440.01, Virginia Beach city, Virginia",5642.0,4287.0,834.0,0.0,59.0,22.0,335.0,"Virginia Beach city, Virginia",True,-2.07,3.119,-1.221,-1.732,0.264,0.39,+36.8509915,-075.9921540
51810044003,"Census Tract 440.03, Virginia Beach city, Virginia",5512.0,4542.0,393.0,95.0,241.0,0.0,186.0,"Virginia Beach city, Virginia",False,-6.543,1.557,0.839,2.549,1.134,-0.039,+36.8322280,-075.9749690
51810044004,"Census Tract 440.04, Virginia Beach city, Virginia",2031.0,1755.0,97.0,0.0,9.0,0.0,86.0,"Virginia Beach city, Virginia",False,-2.534,-0.797,-0.885,-1.38,1.994,-0.039,+36.8507102,-075.9795673
51810044200,"Census Tract 442, Virginia Beach city, Virginia",7180.0,3940.0,1645.0,0.0,72.0,0.0,870.0,"Virginia Beach city, Virginia",False,-1.725,-13.072,-1.09,-1.024,8.217,-0.015,+36.8308315,-075.9909799
51810044401,"Census Tract 444.01, Virginia Beach city, Virginia",3591.0,3209.0,0.0,4.0,51.0,0.0,228.0,"Virginia Beach city, Virginia",False,-4.609,-1.206,-0.237,-1.072,4.42,0.0,+36.8665863,-076.0543382
51810044402,"Census Tract 444.02, Virginia Beach city, Virginia",5984.0,4319.0,600.0,9.0,403.0,0.0,183.0,"Virginia Beach city, Virginia",False,-11.263,0.052,-0.327,3.919,-0.219,-0.08,+36.8664291,-076.0367679
51810044600,"Census Tract 446, Virginia Beach city, Virginia",5623.0,5095.0,255.0,0.0,2.0,33.0,55.0,"Virginia Beach city, Virginia",False,-4.928,2.63,-0.287,-0.983,-0.138,0.571,+36.8744566,-076.0214234
51810044805,"Census Tract 448.05, Virginia Beach city, Virginia",3443.0,1820.0,1042.0,31.0,110.0,0.0,363.0,"Virginia Beach city, Virginia",False,-13.613,9.345,-0.146,-0.659,3.221,0.0,+36.8475037,-076.0220792
51810044806,"Census Tract 448.06, Virginia Beach city, Virginia",3298.0,1734.0,1110.0,145.0,125.0,0.0,122.0,"Virginia Beach city, Virginia",True,-6.925,2.632,3.378,1.827,-2.189,-0.019,+36.8420258,-076.0203088
51810044807,"Census Tract 448.07, Virginia Beach city, Virginia",5273.0,3042.0,1088.0,19.0,182.0,0.0,531.0,"Virginia Beach city, Virginia",False,-13.759,3.707,-0.29,0.55,2.322,-0.085,+36.8473770,-076.0379285
51810044808,"Census Tract 448.08, Virginia Beach city, Virginia",4322.0,2593.0,1090.0,28.0,116.0,0.0,344.0,"Virginia Beach city, Virginia",False,-14.581,7.261,0.381,-0.2,3.936,-0.024,+36.8476907,-076.0542851
51810045000,"Census Tract 450, Virginia Beach city, Virginia",2574.0,1502.0,451.0,0.0,125.0,0.0,406.0,"Virginia Beach city, Virginia",False,-5.738,-3.188,-2.028,1.743,6.036,0.0,+36.8180371,-076.0308570
51810045200,"Census Tract 452, Virginia Beach city, Virginia",3933.0,2462.0,558.0,0.0,144.0,18.0,590.0,"Virginia Beach city, Virginia",False,-3.028,-7.539,-1.062,0.095,7.305,0.435,+36.7964783,-075.9745704
51810045405,"Census Tract 454.05, Virginia Beach city, Virginia",4661.0,1853.0,1759.0,0.0,354.0,0.0,473.0,"Virginia Beach city, Virginia",False,-15.06,8.523,-1.016,-0.816,4.033,-0.061,+36.8023240,-076.0909706
51810045406,"Census Tract 454.06, Virginia Beach city, Virginia",8884.0,2982.0,2621.0,68.0,1496.0,0.0,1010.0,"Virginia Beach city, Virginia",False,-16.189,-1.965,0.219,6.346,4.188,-0.013,+36.7873430,-076.0871360
51810045407,"Census Tract 454.07, Virginia Beach city, Virginia",4598.0,3088.0,703.0,0.0,400.0,0.0,226.0,"Virginia Beach city, Virginia",False,6.588,-11.954,-0.942,3.062,-0.354,-0.027,+36.8125025,-076.0645540
