GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
11001000100,"Census Tract 1, District of Columbia, District of Columbia",4888.0,3739.0,33.0,0.0,296.0,0.0,682.0,"Washington city, District of Columbia",False,-10.349,-3.497,-0.3,1.991,9.845,-0.021,+38.9060174,-077.0601874
11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3922.0,2223.0,238.0,32.0,831.0,0.0,438.0,"Washington city, District of Columbia",False,-29.552,0.718,0.794,14.494,9.489,-1.209,+38.9092067,-077.0743257
11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4709.0,3574.0,286.0,0.0,262.0,16.0,426.0,"Washington city, District of Columbia",False,-10.181,4.229,-0.156,-0.54,4.112,0.34,+38.9063048,-077.0696362
11001000300,"Census Tract 3, District of Columbia, District of Columbia",6585.0,4820.0,559.0,0.0,529.0,0.0,517.0,"Washington city, District of Columbia",False,-9.646,5.019,-0.351,1.093,2.173,0.0,+38.9179099,-077.0748728
11001000400,"Census Tract 4, District of Columbia, District of Columbia",1413.0,1033.0,31.0,0.0,101.0,0.0,210.0,"Washington city, District of Columbia",False,-5.635,-2.243,-0.132,0.989,6.716,0.0,+38.9227989,-077.0649214
11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3434.0,2401.0,258.0,0.0,260.0,0.0,466.0,"Washington city, District of Columbia",False,-11.926,2.305,-0.398,1.242,7.892,-0.036,+38.9264548,-077.0514340
11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3396.0,2528.0,76.0,39.0,106.0,9.0,584.0,"Washington city, District of Columbia",False,-10.135,-0.461,0.923,-1.667,10.063,0.265,+38.9283547,-077.0595624
11001000600,"Census Tract 6, District of Columbia, District of Columbia",4966.0,3508.0,328.0,0.0,334.0,0.0,674.0,"Washington city, District of Columbia",False,-3.948,-6.772,-0.325,2.315,6.843,0.0,+38.9368114,-077.0675114
11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",5786.0,3940.0,584.0,50.0,668.0,0.0,367.0,"Washington city, District of Columbia",False,-11.837,6.179,0.523,4.969,-2.189,0.0,+38.9295498,-077.0766614
11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2972.0,1936.0,241.0,23.0,248.0,0.0,386.0,"Washington city, District of Columbia",False,-4.763,1.134,0.263,-0.795,2.224,-0.06,+38.9241127,-077.0778193
11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",6195.0,4308.0,568.0,0.0,445.0,0.0,704.0,"Washington city, District of Columbia",False,-9.898,4.467,-0.164,0.116,3.895,0.0,+38.9221746,-077.0918347
11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",3470.0,2343.0,292.0,0.0,264.0,0.0,474.0,"Washington city, District of Columbia",False,-14.588,5.101,-0.321,-0.197,7.851,0.0,+38.9112783,-077.0871196
11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",7270.0,5220.0,518.0,20.0,505.0,0.0,820.0,"Washington city, District of Columbia",False,-6.652,1.437,0.011,1.674,5.591,-0.042,+38.9384363,-077.1004240
11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",2416.0,1829.0,95.0,0.0,60.0,0.0,302.0,"Washington city, District of Columbia",False,-9.648,-1.947,-0.101,-1.116,7.989,0.0,+38.9285125,-077.1077517
11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",7213.0,5666.0,268.0,0.0,455.0,0.0,446.0,"Washington city, District of Columbia",False,-7.491,0.037,-0.231,1.904,0.855,0.0,+38.9489546,-077.0884650
11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3428.0,2247.0,203.0,0.0,296.0,0.0,472.0,"Washington city, District of Columbia",False,-4.149,-1.12,-0.404,-2.534,3.812,0.0,+38.9384216,-077.0788872
11001001100,"Census Tract 11, District of Columbia, District of Columbia",4823.0,3800.0,235.0,44.0,285.0,15.0,342.0,"Washington city, District of Columbia",False,-2.534,-1.451,0.618,-0.505,2.574,0.311,+38.9572432,-077.0776732
11001001200,"Census Tract 12, District of Columbia, District of Columbia",5362.0,3699.0,393.0,0.0,457.0,0.0,576.0,"Washington city, District of Columbia",False,-8.095,0.76,-0.412,0.821,3.123,-0.103,+38.9462264,-077.0705239
11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",4334.0,2843.0,650.0,0.0,376.0,0.0,346.0,"Washington city, District of Columbia",False,-11.61,7.258,-0.214,0.189,2.432,-0.027,+38.9519215,-077.0520508
11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",7166.0,5067.0,581.0,0.0,344.0,0.0,949.0,"Washington city, District of Columbia",False,-8.652,1.626,-0.254,-1.714,6.729,0.0,+38.9420430,-077.0556067
11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",3659.0,2371.0,236.0,9.0,316.0,0.0,585.0,"Washington city, District of Columbia",False,-14.757,1.148,-0.04,1.525,8.94,-0.032,+38.9653036,-077.0706075
11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",3370.0,2124.0,327.0,0.0,203.0,16.0,600.0,"Washington city, District of Columbia",False,-12.081,-5.125,-0.408,2.1,12.556,0.475,+38.9606051,-077.0630933
11001001500,"Census Tract 15, District of Columbia, District of Columbia",6094.0,4762.0,603.0,0.0,139.0,0.0,435.0,"Washington city, District of Columbia",False,-2.651,-2.213,-0.071,-0.799,3.863,0.0,+38.9741576,-077.0558797
11001001600,"Census Tract 16, District of Columbia, District of Columbia",4959.0,1297.0,2996.0,0.0,116.0,0.0,370.0,"Washington city, District of Columbia",False,5.211,-13.481,-0.273,1.495,4.235,0.0,+38.9849725,-077.0382324
11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3482.0,1669.0,1325.0,0.0,23.0,0.0,381.0,"Washington city, District of Columbia",False,30.477,-36.858,-0.357,-0.589,5.228,0.0,+38.9717231,-077.0160682
11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",4231.0,180.0,2487.0,0.0,1.0,0.0,1495.0,"Washington city, District of Columbia",False,-1.323,-12.257,-0.196,-1.705,14.264,0.0,+38.9672267,-077.0419399
11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",5894.0,375.0,3579.0,0.0,59.0,0.0,1682.0,"Washington city, District of Columbia",False,4.076,-11.221,-0.168,-0.01,4.403,-0.048,+38.9670945,-077.0304334
11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",4183.0,803.0,2430.0,0.0,127.0,0.0,738.0,"Washington city, District of Columbia",True,17.171,-33.146,-0.304,2.783,11.49,-0.025,+38.9646853,-077.0236327
11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",2544.0,428.0,1376.0,0.0,25.0,0.0,638.0,"Washington city, District of Columbia",False,11.926,-37.28,-0.242,0.644,22.024,0.0,+38.9639299,-077.0156458
11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",3490.0,397.0,1419.0,0.0,106.0,0.0,1254.0,"Washington city, District of Columbia",False,-3.327,-21.969,-0.205,1.517,15.561,0.0,+38.9597034,-077.0351061
11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",4781.0,903.0,2350.0,11.0,104.0,0.0,1261.0,"Washington city, District of Columbia",False,10.291,-24.32,-0.352,0.985,10.956,-0.026,+38.9525009,-077.0310824
11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",5531.0,657.0,3477.0,33.0,114.0,0.0,1154.0,"Washington city, District of Columbia",True,10.637,-18.714,0.329,0.972,5.347,0.0,+38.9559119,-077.0241312
11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",5660.0,637.0,3428.0,114.0,40.0,0.0,1348.0,"Washington city, District of Columbia",True,9.656,-29.524,1.712,0.275,16.366,0.0,+38.9557854,-077.0142356
11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",3264.0,877.0,1591.0,20.0,99.0,0.0,548.0,"Washington city, District of Columbia",True,26.042,-36.762,0.527,2.577,3.779,0.0,+38.9491337,-077.0232932
11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",3332.0,559.0,1792.0,11.0,24.0,0.0,845.0,"Washington city, District of Columbia",True,15.815,-37.157,-0.301,0.454,18.39,0.0,+38.9479653,-077.0118821
11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",3608.0,920.0,1879.0,0.0,75.0,0.0,573.0,"Washington city, District of Columbia",True,24.063,-36.802,-0.334,1.278,7.734,0.0,+38.9425896,-077.0165738
11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",1612.0,662.0,736.0,0.0,66.0,0.0,64.0,"Washington city, District of Columbia",False,12.294,-18.431,-0.743,2.458,0.104,0.0,+38.9341270,-077.0095843
11001002400,"Census Tract 24, District of Columbia, District of Columbia",4104.0,1404.0,1675.0,0.0,128.0,0.0,775.0,"Washington city, District of Columbia",True,31.334,-42.817,-0.084,2.588,6.258,0.0,+38.9417839,-077.0224053
11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",3260.0,679.0,1307.0,0.0,47.0,0.0,1152.0,"Washington city, District of Columbia",False,13.094,-28.763,-0.084,0.773,13.013,0.0,+38.9446515,-077.0317348
11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",6734.0,1731.0,2122.0,0.0,274.0,0.0,2324.0,"Washington city, District of Columbia",True,22.697,-24.886,-0.273,3.085,-4.315,0.0,+38.9390573,-077.0301448
11001002600,"Census Tract 26, District of Columbia, District of Columbia",2652.0,1124.0,790.0,9.0,172.0,13.0,468.0,"Washington city, District of Columbia",False,11.98,-33.26,-0.027,4.471,14.213,0.49,+38.9464323,-077.0404553
11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",5802.0,2467.0,1301.0,44.0,121.0,0.0,1816.0,"Washington city, District of Columbia",False,12.095,-9.674,0.201,-5.56,2.948,-0.017,+38.9344503,-077.0416857
11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",6049.0,3185.0,789.0,0.0,319.0,0.0,1332.0,"Washington city, District of Columbia",False,15.343,-7.314,-0.496,-1.633,-12.299,-0.017,+38.9301680,-077.0421774
11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",4048.0,1197.0,1374.0,0.0,153.0,0.0,1199.0,"Washington city, District of Columbia",True,24.142,-18.055,-0.413,1.465,-9.344,-0.055,+38.9349477,-077.0345166
11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",5056.0,1428.0,1193.0,4.0,287.0,0.0,1851.0,"Washington city, District of Columbia",True,20.499,-9.021,-0.41,-1.813,-14.411,-0.17,+38.9294344,-077.0346327
11001002900,"Census Tract 29, District of Columbia, District of Columbia",4416.0,2079.0,867.0,11.0,196.0,0.0,1103.0,"Washington city, District of Columbia",True,42.854,-35.392,-0.109,3.292,-13.457,0.0,+38.9338478,-077.0299131
11001003000,"Census Tract 30, District of Columbia, District of Columbia",3732.0,1431.0,1599.0,1.0,162.0,0.0,508.0,"Washington city, District of Columbia",False,30.815,-24.563,-0.185,3.281,-9.824,0.0,+38.9288689,-077.0299525
11001003100,"Census Tract 31, District of Columbia, District of Columbia",3605.0,1106.0,1056.0,35.0,256.0,0.0,1023.0,"Washington city, District of Columbia",True,27.704,-36.515,0.717,6.448,-1.532,0.0,+38.9306187,-077.0254232
11001003200,"Census Tract 32, District of Columbia, District of Columbia",5301.0,1371.0,2259.0,0.0,187.0,0.0,1432.0,"Washington city, District of Columbia",True,24.323,-39.885,-0.58,3.305,12.059,0.0,+38.9322648,-077.0211710
